FECHA,SUM_CONSUMO
2019-1,9257894
2019-2,8415031
2019-3,9431632
2019-4,8775716
2019-5,9325650
2019-6,8943501
2019-7,9159432
2019-8,7951921
2019-9,9265480
2019-10,9617244
2019-11,9352566
2019-12,9646390
2020-1,9744734
2020-2,9999507
2020-3,11460402
2020-4,11453660
2020-5,11691582
2020-6,10928699
2020-7,10481234
2020-8,10166126
2020-9,10529356
2020-10,11466821
2020-11,11334451
2020-12,11956839
2021-1,12186846
2021-2,11007826
2021-3,12058846
2021-4,11662066
2021-5,12148356
2021-6,11513808
2021-7,11711016
2021-8,10234234
2021-9,11325502
2021-10,11788636
2021-11,11531298
2021-12,5271498
