FECHA,SUM_CONSUMO
2019-1,25177517
2019-2,23562768
2019-3,26523243
2019-4,25215885
2019-5,30431887
2019-6,38528987
2019-7,37928431
2019-8,30045237
2019-9,38845743
2019-10,41787813
2019-11,41266821
2019-12,42624808
2020-1,43466076
2020-2,50186718
2020-3,58604146
2020-4,57433709
2020-5,59526331
2020-6,54245171
2020-7,50205360
2020-8,42532462
2020-9,49771394
2020-10,56764925
2020-11,58980561
2020-12,63675013
2021-1,64581797
2021-2,58858475
2021-3,63509827
2021-4,60973791
2021-5,63456451
2021-6,59181409
2021-7,58056927
2021-8,48076637
2021-9,61059667
2021-10,68438286
2021-11,68117390
2021-12,30851943
