FECHA,SUM_CONSUMO
2019-1,61562966
2019-2,56351086
2019-3,62976765
2019-4,60145905
2019-5,63751654
2019-6,62339771
2019-7,62245440
2019-8,56009790
2019-9,61515653
2019-10,64583668
2019-11,62978370
2019-12,64889970
2020-1,65586271
2020-2,85339879
2020-3,92329632
2020-4,53390417
2020-5,96127452
2020-6,87536005
2020-7,83642901
2020-8,90185698
2020-9,92569013
2020-10,101859076
2020-11,99087233
2020-12,101771585
2021-1,101629565
2021-2,93097374
2021-3,102112706
2021-4,98423550
2021-5,101398477
2021-6,95083741
2021-7,95724723
2021-8,86630283
2021-9,94872055
2021-10,98595802
2021-11,97114058
2021-12,44570334
