FECHA,SUM_CONSUMO
2019-1,471879
2019-2,522597
2019-3,612653
2019-4,586643
2019-5,638625
2019-6,901520
2019-7,1707646
2019-8,1516282
2019-9,1660359
2019-10,1735700
2019-11,1688938
2019-12,1699160
2020-1,1770999
2020-2,1838085
2020-3,2168057
2020-4,2187860
2020-5,2337210
2020-6,2162839
2020-7,2011916
2020-8,1833305
2020-9,1882492
2020-10,2131182
2020-11,2602331
2020-12,2709948
2021-1,2930310
2021-2,308933
2021-3,104717
2021-4,2169988
2021-5,2990052
2021-6,2867605
2021-7,2878895
2021-8,2645946
2021-9,2731964
2021-10,2913295
2021-11,2744895
2021-12,1257311
