FECHA,SUM_CONSUMO
2019-1,76039942
2019-2,69658856
2019-3,81001129
2019-4,78473267
2019-5,84809855
2019-6,82245514
2019-7,82128419
2019-8,71095954
2019-9,82315909
2019-10,89914563
2019-11,90721268
2019-12,94486148
2020-1,95300086
2020-2,97738822
2020-3,110058392
2020-4,92147629
2020-5,110429747
2020-6,101968929
2020-7,87507291
2020-8,94759704
2020-9,99699006
2020-10,112477646
2020-11,111395865
2020-12,113586053
2021-1,114447069
2021-2,104228403
2021-3,114295270
2021-4,110260164
2021-5,114126631
2021-6,108467758
2021-7,106217984
2021-8,92060262
2021-9,104092052
2021-10,110946058
2021-11,108752436
2021-12,50220034
