FECHA,SUM_CONSUMO
2019-1,14110040
2019-2,12889165
2019-3,14425240
2019-4,15722187
2019-5,25320183
2019-6,27388759
2019-7,27421392
2019-8,23850146
2019-9,29677718
2019-10,37576286
2019-11,41737006
2019-12,46410216
2020-1,46734548
2020-2,51938393
2020-3,59104235
2020-4,58967758
2020-5,61033645
2020-6,55627132
2020-7,52865535
2020-8,49827748
2020-9,53710770
2020-10,59694374
2020-11,59269580
2020-12,59969890
2021-1,60758901
2021-2,55080374
2021-3,60936880
2021-4,58276108
2021-5,60970759
2021-6,57274014
2021-7,56258866
2021-8,48355641
2021-9,55724229
2021-10,59588621
2021-11,58524766
2021-12,27124661
