FECHA,SUM_CONSUMO
2019-1,489489
2019-2,493998
2019-3,757927
2019-4,720358
2019-5,1486472
2019-6,4161627
2019-7,4373156
2019-8,3811733
2019-9,4185738
2019-10,5708425
2019-11,6022642
2019-12,10513893
2020-1,11095146
2020-2,16684155
2020-3,19224717
2020-4,19136277
2020-5,19562067
2020-6,17699910
2020-7,17260771
2020-8,16348996
2020-9,17379345
2020-10,19520348
2020-11,19779726
2020-12,20913141
2021-1,21171069
2021-2,19221118
2021-3,20540084
2021-4,19873871
2021-5,20677844
2021-6,20250029
2021-7,20868137
2021-8,17942650
2021-9,20559932
2021-10,21768692
2021-11,22428818
2021-12,10440574
