FECHA,SUM_CONSUMO
2019-1,9473428
2019-2,8529835
2019-3,9559044
2019-4,9144304
2019-5,10038268
2019-6,9428058
2019-7,9396233
2019-8,7926125
2019-9,9718566
2019-10,10185678
2019-11,10060443
2019-12,10121665
2020-1,10642169
2020-2,10685677
2020-3,12238700
2020-4,5331312
2020-5,12270995
2020-6,11215071
2020-7,10377759
2020-8,9754788
2020-9,10685894
2020-10,12252997
2020-11,12487641
2020-12,12773413
2021-1,13052263
2021-2,11843333
2021-3,12945961
2021-4,12415338
2021-5,13131654
2021-6,12035136
2021-7,11661855
2021-8,10115764
2021-9,11823830
2021-10,12472576
2021-11,12323063
2021-12,5626893
