FECHA,SUM_CONSUMO
2019-1,49277998
2019-2,44798073
2019-3,49670459
2019-4,47512791
2019-5,51046632
2019-6,51554377
2019-7,51437915
2019-8,44791221
2019-9,50844215
2019-10,53139334
2019-11,51931728
2019-12,54000467
2020-1,53553119
2020-2,57572625
2020-3,65024963
2020-4,63747162
2020-5,66218808
2020-6,61367324
2020-7,56447422
2020-8,57290380
2020-9,59805700
2020-10,66229977
2020-11,66178646
2020-12,66871956
2021-1,66566227
2021-2,60698565
2021-3,66634772
2021-4,65586203
2021-5,67441392
2021-6,64151201
2021-7,63229802
2021-8,55768051
2021-9,62967889
2021-10,67430703
2021-11,66844928
2021-12,30891994
