FECHA,SUM_CONSUMO
2019-1,3612439
2019-2,3321205
2019-3,3916158
2019-4,3816651
2019-5,4117878
2019-6,3981653
2019-7,3897160
2019-8,3377270
2019-9,4121537
2019-10,4233997
2019-11,4171849
2019-12,4350588
2020-1,4380099
2020-2,10070682
2020-3,11470511
2020-4,7697351
2020-5,7435161
2020-6,8594790
2020-7,8946556
2020-8,10073838
2020-9,10309958
2020-10,11448866
2020-11,11149368
2020-12,11550842
2021-1,11669117
2021-2,10633302
2021-3,11590285
2021-4,11237981
2021-5,11786136
2021-6,11132926
2021-7,10922991
2021-8,9837459
2021-9,10683581
2021-10,11115369
2021-11,10702434
2021-12,4958589
