FECHA,SUM_CONSUMO
2019-1,92082190
2019-2,84559468
2019-3,92874886
2019-4,86910228
2019-5,94388760
2019-6,89240898
2019-7,87431316
2019-8,70622229
2019-9,88257960
2019-10,93994418
2019-11,91194655
2019-12,94726605
2020-1,96889211
2020-2,104084392
2020-3,119170607
2020-4,65612873
2020-5,119240036
2020-6,109876389
2020-7,96879228
2020-8,89711381
2020-9,105016195
2020-10,117698258
2020-11,117052616
2020-12,119893373
2021-1,120579016
2021-2,110015384
2021-3,119897359
2021-4,114824716
2021-5,119506315
2021-6,111889538
2021-7,108158672
2021-8,86639278
2021-9,107263282
2021-10,113423361
2021-11,111719478
2021-12,50621021
