FECHA,SUM_CONSUMO
2019-1,75689630
2019-2,69049422
2019-3,76116480
2019-4,71379767
2019-5,77295480
2019-6,74013182
2019-7,72517183
2019-8,58484884
2019-9,72430138
2019-10,76738374
2019-11,75179099
2019-12,77384588
2020-1,78608809
2020-2,78777326
2020-3,90081402
2020-4,56308022
2020-5,91525150
2020-6,84401371
2020-7,77045045
2020-8,70477573
2020-9,81067916
2020-10,89587164
2020-11,89364274
2020-12,90666531
2021-1,91127383
2021-2,82802614
2021-3,89694183
2021-4,86067377
2021-5,89953433
2021-6,84832683
2021-7,82215635
2021-8,66702590
2021-9,80777904
2021-10,85406310
2021-11,84492280
2021-12,38254476
