FECHA,SUM_CONSUMO
2019-1,6553115
2019-2,6222131
2019-3,6841367
2019-4,6360975
2019-5,7096960
2019-6,6781898
2019-7,6830775
2019-8,5831621
2019-9,7664250
2019-10,8463905
2019-11,9809179
2019-12,13135015
2020-1,13689954
2020-2,14298228
2020-3,17313076
2020-4,12204020
2020-5,17895740
2020-6,16633538
2020-7,15083208
2020-8,10496823
2020-9,12865762
2020-10,15902688
2020-11,19196039
2020-12,19336974
2021-1,19903095
2021-2,18456099
2021-3,20345124
2021-4,19478956
2021-5,20413210
2021-6,18838306
2021-7,17931996
2021-8,14307386
2021-9,19310813
2021-10,22113974
2021-11,25254669
2021-12,11473409
