FECHA,SUM_CONSUMO
2019-1,15966
2019-2,16638
2019-3,23678
2019-4,21072
2019-5,22918
2019-6,18092
2019-7,18654
2019-8,20414
2019-9,8724
2019-10,6350
2019-11,19572
2019-12,28850
2020-1,34846
2020-2,41718
2020-3,21969
2020-4,24932
2020-5,36997
2020-6,36776
2020-7,25265
2020-8,11020
2020-9,30960
2020-10,22784
2020-11,8486
2020-12,6097
2021-1,26329
2021-2,15016
2021-3,13036
2021-4,15668
2021-5,20476
2021-6,42505442
2021-7,58850065
2021-8,51361804
2021-9,57193873
2021-10,63284468
2021-11,62927094
2021-12,28648542
