FECHA,SUM_CONSUMO
2019-1,3778919
2019-2,3448905
2019-3,3876859
2019-4,3649208
2019-5,3897539
2019-6,3914709
2019-7,4008549
2019-8,3558799
2019-9,4090289
2019-10,4672337
2019-11,5667742
2019-12,6877560
2020-1,7600207
2020-2,8025550
2020-3,9481412
2020-4,8112689
2020-5,9935683
2020-6,9086860
2020-7,9043029
2020-8,9876733
2020-9,10804385
2020-10,13017635
2020-11,13250704
2020-12,13655727
2021-1,13694280
2021-2,12389213
2021-3,13587023
2021-4,13082753
2021-5,13749098
2021-6,12983643
2021-7,13011139
2021-8,11992282
2021-9,12530661
2021-10,13006839
2021-11,12615584
2021-12,5851378
