FECHA,SUM_CONSUMO
2019-1,11731949
2019-2,11060506
2019-3,12535891
2019-4,12197096
2019-5,14231755
2019-6,15963713
2019-7,18081797
2019-8,17451484
2019-9,20359082
2019-10,23746284
2019-11,26230800
2019-12,28868848
2020-1,29343004
2020-2,46588781
2020-3,54028486
2020-4,46296983
2020-5,57113530
2020-6,48467345
2020-7,42927079
2020-8,48171139
2020-9,52043387
2020-10,59693517
2020-11,78907170
2020-12,105272726
2021-1,120314768
2021-2,109624091
2021-3,118340653
2021-4,114640862
2021-5,117627235
2021-6,109900293
2021-7,108243403
2021-8,95626272
2021-9,105895954
2021-10,114093598
2021-11,113610722
2021-12,52977549
