FECHA,USO,CONSUMO,ID_CONTADOR
2021-05-30,INDUSTRIAL,1,171
2021-06-14,INDUSTRIAL,276,195
2019-02-24,INDUSTRIAL,220,109
2021-02-11,INDUSTRIAL,12550,333
2019-02-28,INDUSTRIAL,3110,128
2019-10-09,INDUSTRIAL,3575,249
2021-06-24,INDUSTRIAL,7,17
2020-01-31,INDUSTRIAL,89250,1
2019-09-27,INDUSTRIAL,2280,254
2021-06-09,INDUSTRIAL,1992,225
2019-04-25,INDUSTRIAL,1130,80
2020-12-10,INDUSTRIAL,4244,346
2021-05-29,INDUSTRIAL,347,83
2021-06-10,INDUSTRIAL,2439,263
2021-06-26,INDUSTRIAL,301,89
2021-05-31,INDUSTRIAL,432,191
2020-10-08,INDUSTRIAL,-403050,399
2021-05-27,INDUSTRIAL,368,348
2021-05-27,INDUSTRIAL,550,337
2021-06-28,INDUSTRIAL,206,409
2019-08-14,INDUSTRIAL,33780,398
2019-06-28,INDUSTRIAL,96600,394
2019-01-28,INDUSTRIAL,8748,238
2019-11-28,INDUSTRIAL,5341,245
2019-05-31,INDUSTRIAL,3793,121
2019-01-07,INDUSTRIAL,45,237
2019-08-08,INDUSTRIAL,20,84
2019-01-14,INDUSTRIAL,42800,388
2019-01-17,INDUSTRIAL,845,4
2019-09-26,INDUSTRIAL,3237,133
2019-10-20,INDUSTRIAL,59,226
2021-06-17,INDUSTRIAL,38,172
2019-02-23,INDUSTRIAL,1359,236
2021-05-26,INDUSTRIAL,16,12
2019-03-04,INDUSTRIAL,345,239
2019-10-04,INDUSTRIAL,2442,256
2021-05-27,INDUSTRIAL,2493,297
2019-03-13,INDUSTRIAL,1030,392
2021-05-27,INDUSTRIAL,3688,247
2019-02-18,INDUSTRIAL,390700,387
2021-06-27,INDUSTRIAL,510,173
2020-03-11,INDUSTRIAL,15182,316
2019-03-18,INDUSTRIAL,3410,136
2019-08-04,INDUSTRIAL,26076,229
2021-05-28,INDUSTRIAL,53,132
2021-05-27,INDUSTRIAL,124,328
2021-06-10,INDUSTRIAL,141,317
2019-03-10,INDUSTRIAL,25610,391
2019-03-31,INDUSTRIAL,238,233
2021-06-15,INDUSTRIAL,307,340
2021-05-29,INDUSTRIAL,1043,122
2021-06-11,INDUSTRIAL,6,199
2021-05-26,INDUSTRIAL,1414,240
2021-05-26,INDUSTRIAL,29,339
2019-03-31,INDUSTRIAL,23913,382
2021-06-29,INDUSTRIAL,260,347
2019-02-20,INDUSTRIAL,1269,0
2019-01-17,INDUSTRIAL,30150,383
2019-10-04,INDUSTRIAL,12,92
2021-05-28,INDUSTRIAL,155,198
2021-05-30,INDUSTRIAL,1515,44
2021-06-15,INDUSTRIAL,274,195
2019-02-01,INDUSTRIAL,9,109
2021-03-03,INDUSTRIAL,8470,333
2019-02-11,INDUSTRIAL,2910,128
2019-10-30,INDUSTRIAL,8579,249
2021-06-29,INDUSTRIAL,150,17
2020-04-30,INDUSTRIAL,5560,1
2019-09-30,INDUSTRIAL,3737,254
2021-06-09,INDUSTRIAL,6,26
2019-04-17,INDUSTRIAL,660,80
2020-12-11,INDUSTRIAL,3356,346
2021-05-30,INDUSTRIAL,2191,264
2021-06-16,INDUSTRIAL,1233,263
2021-06-15,INDUSTRIAL,21,89
2021-05-30,INDUSTRIAL,2,156
2020-10-07,INDUSTRIAL,41300,399
2021-05-28,INDUSTRIAL,276,348
2020-03-27,INDUSTRIAL,1612,232
2021-06-29,INDUSTRIAL,643,409
2019-08-13,INDUSTRIAL,46436,398
