FECHA,USO,CONSUMO,ID_CONTADOR
2019-02-10,INDUSTRIAL,14,69
2019-03-07,INDUSTRIAL,162,61
2019-02-06,INDUSTRIAL,32,59
2019-02-03,INDUSTRIAL,258,57
2019-02-27,INDUSTRIAL,55,55
2019-02-08,INDUSTRIAL,825,93
2019-03-02,INDUSTRIAL,1770,96
2019-01-06,INDUSTRIAL,189,71
2019-02-03,INDUSTRIAL,2939,51
2020-10-05,INDUSTRIAL,250,19
2020-02-17,INDUSTRIAL,525,28
2019-03-16,INDUSTRIAL,669,83
2019-01-30,INDUSTRIAL,422,50
2019-02-12,INDUSTRIAL,277,97
2019-02-24,INDUSTRIAL,1656,76
2019-01-27,INDUSTRIAL,16,48
2019-03-18,INDUSTRIAL,1637,91
2020-02-17,INDUSTRIAL,169,22
2019-02-01,INDUSTRIAL,31560,15
2019-02-14,INDUSTRIAL,263,5
2019-02-09,INDUSTRIAL,1481,99
2019-07-19,INDUSTRIAL,138,87
2019-01-19,INDUSTRIAL,16,62
2019-01-03,INDUSTRIAL,105,66
2019-01-06,INDUSTRIAL,595,74
2020-10-03,INDUSTRIAL,30,40
2020-09-20,INDUSTRIAL,13,102
2019-02-25,INDUSTRIAL,2,3
2019-02-18,INDUSTRIAL,141,1
2019-01-18,INDUSTRIAL,163,6
2019-01-27,INDUSTRIAL,13,79
2020-10-16,INDUSTRIAL,996,39
2020-12-22,INDUSTRIAL,84,106
2019-02-07,INDUSTRIAL,487,53
2019-05-22,INDUSTRIAL,936,12
2019-01-27,INDUSTRIAL,34,78
2019-02-04,INDUSTRIAL,34,81
2019-01-10,INDUSTRIAL,270,10
2019-01-27,INDUSTRIAL,368,7
2020-06-23,INDUSTRIAL,2911,23
2019-01-21,INDUSTRIAL,409,46
2021-02-26,INDUSTRIAL,103,100
2019-03-08,INDUSTRIAL,429,84
2019-03-05,INDUSTRIAL,51,88
2019-02-10,INDUSTRIAL,218,82
2020-04-28,INDUSTRIAL,344,16
2019-01-28,INDUSTRIAL,3,47
2019-02-24,INDUSTRIAL,11,75
2020-03-01,INDUSTRIAL,2,35
2019-02-21,INDUSTRIAL,9391,92
2019-02-04,INDUSTRIAL,13,69
2019-03-11,INDUSTRIAL,116,61
2019-02-06,INDUSTRIAL,32,59
2019-02-10,INDUSTRIAL,91,57
2019-02-11,INDUSTRIAL,9,55
2019-02-05,INDUSTRIAL,952,93
2019-03-16,INDUSTRIAL,2811,96
2019-01-17,INDUSTRIAL,571,71
2019-02-08,INDUSTRIAL,3584,51
2020-10-21,INDUSTRIAL,279,19
2020-02-24,INDUSTRIAL,881,28
2019-03-26,INDUSTRIAL,74,83
2019-01-28,INDUSTRIAL,453,50
2019-02-02,INDUSTRIAL,678,97
2019-02-17,INDUSTRIAL,2151,76
2019-01-13,INDUSTRIAL,17,48
2019-03-31,INDUSTRIAL,2789,91
2020-02-14,INDUSTRIAL,160,22
2019-02-22,INDUSTRIAL,37250,15
2019-02-15,INDUSTRIAL,347,5
2019-02-17,INDUSTRIAL,1229,99
2020-05-26,INDUSTRIAL,468,45
2019-01-16,INDUSTRIAL,44,62
2019-01-12,INDUSTRIAL,109,66
2019-01-02,INDUSTRIAL,155,74
2020-10-14,INDUSTRIAL,16,40
2020-02-24,INDUSTRIAL,3,43
2019-02-10,INDUSTRIAL,2,3
2019-02-27,INDUSTRIAL,207,1
2019-01-01,INDUSTRIAL,433,6
2019-01-21,INDUSTRIAL,4,79
2020-10-10,INDUSTRIAL,1266,39
2021-01-25,INDUSTRIAL,428,106
2019-02-03,INDUSTRIAL,384,53
2019-05-03,INDUSTRIAL,1097,12
2019-01-23,INDUSTRIAL,82,78
2019-02-14,INDUSTRIAL,24,81
2019-01-04,INDUSTRIAL,192,10
2019-01-06,INDUSTRIAL,26,7
2019-01-28,INDUSTRIAL,255,46
2021-02-27,INDUSTRIAL,1,100
2019-03-16,INDUSTRIAL,278,84
2019-03-08,INDUSTRIAL,21,88
2019-02-02,INDUSTRIAL,132,82
2020-04-22,INDUSTRIAL,260,16
2019-01-14,INDUSTRIAL,12,47
2019-02-17,INDUSTRIAL,356,73
2020-03-13,INDUSTRIAL,4,35
2019-02-05,INDUSTRIAL,1790,92
2019-02-24,INDUSTRIAL,13,69
2019-03-15,INDUSTRIAL,138,61
2019-02-03,INDUSTRIAL,5,59
2019-02-24,INDUSTRIAL,588,77
2019-02-24,INDUSTRIAL,37,55
2019-02-01,INDUSTRIAL,809,93
2019-03-25,INDUSTRIAL,3487,96
2019-01-13,INDUSTRIAL,195,71
2019-02-07,INDUSTRIAL,3166,51
2020-10-26,INDUSTRIAL,305,19
2020-02-28,INDUSTRIAL,1963,28
2019-03-12,INDUSTRIAL,115,83
2019-01-19,INDUSTRIAL,287,50
2019-02-10,INDUSTRIAL,866,97
2019-02-14,INDUSTRIAL,1449,76
2019-01-30,INDUSTRIAL,33,48
2019-03-18,INDUSTRIAL,1,70
2020-02-15,INDUSTRIAL,19,22
2019-02-05,INDUSTRIAL,19480,15
2019-02-04,INDUSTRIAL,520,5
