FECHA,USO,CONSUMO,ID_CONTADOR
2021-03-27,INDUSTRIAL,24430,118
2021-01-31,INDUSTRIAL,19,100
2021-01-31,INDUSTRIAL,229,27
2021-11-15,INDUSTRIAL,32418,16
2020-10-05,INDUSTRIAL,2723,73
2019-11-09,INDUSTRIAL,3341,81
2021-01-31,INDUSTRIAL,1,66
2019-02-07,INDUSTRIAL,438,0
2021-01-25,INDUSTRIAL,163,51
2021-02-27,INDUSTRIAL,48349,114
2021-02-18,INDUSTRIAL,1314,79
2021-07-22,INDUSTRIAL,326,150
2020-03-29,INDUSTRIAL,142100,17
2021-06-18,INDUSTRIAL,7677,103
2021-02-01,INDUSTRIAL,570,2
2021-01-28,INDUSTRIAL,2203,46
2021-01-30,INDUSTRIAL,21,56
2019-07-31,INDUSTRIAL,23251,58
2019-06-27,INDUSTRIAL,43670,133
2021-01-25,INDUSTRIAL,20,87
2019-06-27,INDUSTRIAL,52220,135
2019-01-22,INDUSTRIAL,579,10
2020-07-31,INDUSTRIAL,99812,123
2019-03-31,INDUSTRIAL,39655,128
2019-07-31,INDUSTRIAL,19828,48
2019-12-31,INDUSTRIAL,462,140
2021-01-31,INDUSTRIAL,1,24
2019-08-26,INDUSTRIAL,260,132
2020-02-18,INDUSTRIAL,22530,138
2019-03-31,INDUSTRIAL,39222,121
2021-01-26,INDUSTRIAL,403,60
2021-02-27,INDUSTRIAL,2,61
2021-01-21,INDUSTRIAL,205,53
2019-03-17,INDUSTRIAL,7826,75
2021-01-28,INDUSTRIAL,269,102
2019-11-04,INDUSTRIAL,79,12
2021-01-29,INDUSTRIAL,235,63
2020-11-09,INDUSTRIAL,1100,23
2020-04-27,INDUSTRIAL,394,72
2021-01-24,INDUSTRIAL,2,69
2021-01-27,INDUSTRIAL,293,29
2019-02-14,INDUSTRIAL,56120,1
2021-01-29,INDUSTRIAL,31,34
2020-10-30,INDUSTRIAL,4990,131
2021-02-14,INDUSTRIAL,857,18
2019-06-10,INDUSTRIAL,610,139
2020-03-06,INDUSTRIAL,270,21
2019-12-23,INDUSTRIAL,2456,88
2019-03-18,INDUSTRIAL,23571,125
2019-02-18,INDUSTRIAL,24190,130
2021-02-14,INDUSTRIAL,2477,115
2021-02-28,INDUSTRIAL,37,4
2021-05-30,INDUSTRIAL,560,105
2021-01-31,INDUSTRIAL,5550,136
2021-06-29,INDUSTRIAL,37,26
2021-03-29,INDUSTRIAL,150,118
2021-01-30,INDUSTRIAL,765,100
2021-01-29,INDUSTRIAL,265,9
2021-11-17,INDUSTRIAL,25563,16
2020-10-06,INDUSTRIAL,2871,73
2019-11-07,INDUSTRIAL,3759,81
2021-01-29,INDUSTRIAL,1,66
2019-02-08,INDUSTRIAL,382,0
2021-02-16,INDUSTRIAL,140,51
2021-02-26,INDUSTRIAL,42350,114
2021-02-21,INDUSTRIAL,25,79
2021-07-21,INDUSTRIAL,585,150
2020-03-28,INDUSTRIAL,136230,17
2021-06-21,INDUSTRIAL,2604,103
2021-02-03,INDUSTRIAL,915,2
2021-01-29,INDUSTRIAL,2177,46
2021-01-31,INDUSTRIAL,1,25
2019-07-30,INDUSTRIAL,20592,58
2019-06-29,INDUSTRIAL,30940,133
2021-01-31,INDUSTRIAL,20,87
2019-06-22,INDUSTRIAL,21000,135
2019-01-31,INDUSTRIAL,529,10
2019-02-11,INDUSTRIAL,1,123
2019-03-18,INDUSTRIAL,70221,128
2019-07-24,INDUSTRIAL,5843,48
2019-12-17,INDUSTRIAL,955,140
2021-01-29,INDUSTRIAL,356,24
2019-08-10,INDUSTRIAL,244,132
2020-02-29,INDUSTRIAL,16630,138
2019-03-15,INDUSTRIAL,41045,121
2021-02-03,INDUSTRIAL,412,60
2021-02-26,INDUSTRIAL,8,61
2021-01-20,INDUSTRIAL,173,53
2019-03-18,INDUSTRIAL,11246,75
2021-01-22,INDUSTRIAL,251,102
2019-11-09,INDUSTRIAL,351,12
2021-01-20,INDUSTRIAL,147,63
2020-11-11,INDUSTRIAL,410,23
2020-04-26,INDUSTRIAL,285,72
2021-01-29,INDUSTRIAL,20,69
2021-02-24,INDUSTRIAL,72,29
2019-02-15,INDUSTRIAL,98730,1
2021-01-28,INDUSTRIAL,15,34
2020-10-31,INDUSTRIAL,2140,131
2021-01-22,INDUSTRIAL,35,91
2019-06-25,INDUSTRIAL,18698,139
2020-03-25,INDUSTRIAL,70,21
2019-12-07,INDUSTRIAL,173,88
2019-03-20,INDUSTRIAL,23729,125
2019-02-10,INDUSTRIAL,9710,130
2021-02-21,INDUSTRIAL,2485,115
2021-02-28,INDUSTRIAL,447,144
2021-06-06,INDUSTRIAL,170,105
2021-01-24,INDUSTRIAL,11140,136
2021-06-30,INDUSTRIAL,9,26
2021-03-28,INDUSTRIAL,160,118
2021-02-02,INDUSTRIAL,225,100
2021-01-29,INDUSTRIAL,85,14
2021-11-21,INDUSTRIAL,4,16
2020-10-03,INDUSTRIAL,2949,73
2019-11-30,INDUSTRIAL,1450,81
2021-01-30,INDUSTRIAL,1,66
2019-02-25,INDUSTRIAL,71,0
2021-02-10,INDUSTRIAL,328,51
2021-02-28,INDUSTRIAL,44479,114
2021-02-23,INDUSTRIAL,1376,79
2021-07-24,INDUSTRIAL,590,150
2020-03-27,INDUSTRIAL,134120,17
2021-06-23,INDUSTRIAL,3235,103
2021-02-04,INDUSTRIAL,607,2
2021-01-02,INDUSTRIAL,1849,77
2021-01-29,INDUSTRIAL,29,56
2019-07-28,INDUSTRIAL,13519,58
2019-06-24,INDUSTRIAL,69220,133
2021-01-29,INDUSTRIAL,44,7
2019-06-30,INDUSTRIAL,19260,135
2019-01-19,INDUSTRIAL,221,10
2019-02-16,INDUSTRIAL,1,123
2019-03-23,INDUSTRIAL,36135,128
2019-07-25,INDUSTRIAL,11953,48
2019-12-13,INDUSTRIAL,1548,140
2021-01-27,INDUSTRIAL,138,24
2019-08-19,INDUSTRIAL,222,132
2020-02-22,INDUSTRIAL,18640,138
2019-03-13,INDUSTRIAL,42953,121
2021-02-02,INDUSTRIAL,424,60
2021-02-28,INDUSTRIAL,8,61
2021-01-22,INDUSTRIAL,3808,65
2019-03-07,INDUSTRIAL,31549,75
2021-01-23,INDUSTRIAL,102,102
2019-11-24,INDUSTRIAL,124,12
2021-02-04,INDUSTRIAL,293,63
2020-11-10,INDUSTRIAL,3620,23
2020-04-23,INDUSTRIAL,375,72
2021-01-30,INDUSTRIAL,23,69
2021-02-22,INDUSTRIAL,113,29
2019-02-06,INDUSTRIAL,95090,1
2021-01-23,INDUSTRIAL,8,34
2020-10-29,INDUSTRIAL,4890,131
2021-01-28,INDUSTRIAL,1588,18
2019-06-26,INDUSTRIAL,9182,139
2020-03-27,INDUSTRIAL,327,21
2019-12-02,INDUSTRIAL,13383,88
2019-03-22,INDUSTRIAL,25236,125
2019-02-17,INDUSTRIAL,9070,130
2021-02-25,INDUSTRIAL,1213,115
2021-02-26,INDUSTRIAL,225,4
2021-06-09,INDUSTRIAL,22160,105
2021-01-26,INDUSTRIAL,200630,136
2021-06-09,INDUSTRIAL,3,26
2021-03-30,INDUSTRIAL,1010,118
2021-02-01,INDUSTRIAL,202,100
2021-01-29,INDUSTRIAL,804,27
2021-11-16,INDUSTRIAL,33207,16
2020-10-04,INDUSTRIAL,2820,73
2019-11-05,INDUSTRIAL,2709,81
2021-01-26,INDUSTRIAL,1,66
2019-02-19,INDUSTRIAL,249,0
2021-02-11,INDUSTRIAL,202,51
2021-03-25,INDUSTRIAL,7974,114
2021-02-24,INDUSTRIAL,1363,79
2021-07-26,INDUSTRIAL,333,150
2020-03-26,INDUSTRIAL,132260,17
2021-07-01,INDUSTRIAL,2971,103
2021-02-04,INDUSTRIAL,950,98
2021-01-15,INDUSTRIAL,1562,77
2021-01-29,INDUSTRIAL,1,25
2019-07-27,INDUSTRIAL,18501,58
2019-06-30,INDUSTRIAL,40190,133
2021-01-30,INDUSTRIAL,11,7
2019-06-09,INDUSTRIAL,19600,135
2019-01-02,INDUSTRIAL,539,10
2019-02-28,INDUSTRIAL,2,123
2019-03-04,INDUSTRIAL,62180,128
2019-07-29,INDUSTRIAL,10968,48
2019-12-22,INDUSTRIAL,73,140
2021-01-25,INDUSTRIAL,105,24
2019-08-11,INDUSTRIAL,172,132
2020-02-10,INDUSTRIAL,15996,138
2019-03-20,INDUSTRIAL,48788,121
2021-02-04,INDUSTRIAL,417,60
2021-03-12,INDUSTRIAL,13,61
2021-01-24,INDUSTRIAL,706,65
2019-03-09,INDUSTRIAL,1622,75
2021-01-25,INDUSTRIAL,214,102
2019-11-06,INDUSTRIAL,69,12
2021-02-01,INDUSTRIAL,105,63
2020-11-05,INDUSTRIAL,40,23
2020-11-01,INDUSTRIAL,102,72
2021-01-31,INDUSTRIAL,1,69
2021-02-19,INDUSTRIAL,73,29
2019-02-08,INDUSTRIAL,14550,1
2021-01-27,INDUSTRIAL,17,34
2020-11-01,INDUSTRIAL,2150,131
2021-01-24,INDUSTRIAL,1093,18
2019-06-12,INDUSTRIAL,8236,139
2020-03-30,INDUSTRIAL,126,21
2019-12-04,INDUSTRIAL,13954,88
2019-03-29,INDUSTRIAL,25251,125
2019-02-08,INDUSTRIAL,34130,130
2021-02-20,INDUSTRIAL,3083,115
2021-02-27,INDUSTRIAL,472,144
2021-06-10,INDUSTRIAL,10,105
2021-01-21,INDUSTRIAL,234310,136
2021-08-17,INDUSTRIAL,14,26
2021-03-23,INDUSTRIAL,9140,118
2021-01-29,INDUSTRIAL,793,100
2021-01-30,INDUSTRIAL,374,27
2021-11-18,INDUSTRIAL,28427,16
2020-10-23,INDUSTRIAL,3751,73
2019-11-13,INDUSTRIAL,1638,81
2021-01-27,INDUSTRIAL,1,66
2019-02-01,INDUSTRIAL,555,0
2021-02-09,INDUSTRIAL,142,51
2021-03-20,INDUSTRIAL,27433,114
2021-02-19,INDUSTRIAL,1586,79
2021-07-27,INDUSTRIAL,415,150
2020-03-25,INDUSTRIAL,134510,17
2021-07-02,INDUSTRIAL,5372,103
2021-02-03,INDUSTRIAL,202,42
2021-01-10,INDUSTRIAL,4359,77
2021-01-30,INDUSTRIAL,1,25
2019-07-20,INDUSTRIAL,2924,58
2019-06-28,INDUSTRIAL,37270,133
2021-01-31,INDUSTRIAL,2,7
2019-06-18,INDUSTRIAL,30510,135
2019-01-03,INDUSTRIAL,598,10
2019-02-02,INDUSTRIAL,1,123
2019-03-24,INDUSTRIAL,33672,128
2019-07-23,INDUSTRIAL,48730,48
2019-12-26,INDUSTRIAL,147,140
2021-01-22,INDUSTRIAL,113,24
2019-08-22,INDUSTRIAL,174,132
2020-02-05,INDUSTRIAL,24500,138
2019-03-24,INDUSTRIAL,45382,121
2021-02-05,INDUSTRIAL,560,60
2021-03-14,INDUSTRIAL,53,61
2021-01-24,INDUSTRIAL,686,71
2019-03-20,INDUSTRIAL,12853,75
2021-01-27,INDUSTRIAL,12,102
2019-11-05,INDUSTRIAL,53,12
2021-02-05,INDUSTRIAL,291,63
2020-11-06,INDUSTRIAL,130,23
2021-02-25,INDUSTRIAL,492,78
2021-01-28,INDUSTRIAL,48,69
2021-02-18,INDUSTRIAL,152,29
2019-02-04,INDUSTRIAL,111400,1
2021-01-24,INDUSTRIAL,5,34
2020-11-02,INDUSTRIAL,6730,131
2021-01-21,INDUSTRIAL,1465,18
2019-06-20,INDUSTRIAL,11544,139
2020-04-06,INDUSTRIAL,628,21
2019-12-27,INDUSTRIAL,199,88
2019-03-19,INDUSTRIAL,28,125
2019-02-28,INDUSTRIAL,38240,130
2021-02-13,INDUSTRIAL,284,115
2021-02-27,INDUSTRIAL,40,4
2021-07-23,INDUSTRIAL,4330,105
2021-01-23,INDUSTRIAL,219520,136
2021-09-22,INDUSTRIAL,482,26
2021-03-21,INDUSTRIAL,5120,118
2021-01-20,INDUSTRIAL,106,100
2021-01-25,INDUSTRIAL,58,14
2021-11-19,INDUSTRIAL,23070,16
2020-10-19,INDUSTRIAL,4256,73
2019-11-06,INDUSTRIAL,5145,81
2021-01-25,INDUSTRIAL,1,66
2019-02-13,INDUSTRIAL,364,0
2021-02-15,INDUSTRIAL,119,51
2021-03-23,INDUSTRIAL,8527,114
2021-02-17,INDUSTRIAL,1646,79
2021-07-23,INDUSTRIAL,412,150
2020-03-24,INDUSTRIAL,130690,17
2021-06-14,INDUSTRIAL,8052,103
2021-02-04,INDUSTRIAL,293,42
2021-01-28,INDUSTRIAL,2814,77
2021-01-20,INDUSTRIAL,50,56
2019-07-23,INDUSTRIAL,14739,58
2019-06-26,INDUSTRIAL,38950,133
2021-01-29,INDUSTRIAL,191,90
2019-06-06,INDUSTRIAL,29230,135
2019-01-21,INDUSTRIAL,597,10
2019-02-27,INDUSTRIAL,2,123
2019-03-06,INDUSTRIAL,64618,128
2019-07-19,INDUSTRIAL,34670,48
2019-12-25,INDUSTRIAL,252,140
2021-01-26,INDUSTRIAL,100,24
2019-08-08,INDUSTRIAL,212,132
2020-02-06,INDUSTRIAL,20760,138
2019-03-28,INDUSTRIAL,43680,121
2021-02-25,INDUSTRIAL,205,60
2021-03-09,INDUSTRIAL,2,61
2021-01-26,INDUSTRIAL,682,71
2019-03-16,INDUSTRIAL,1411,75
2021-01-21,INDUSTRIAL,423,102
2019-11-27,INDUSTRIAL,66,12
2021-02-03,INDUSTRIAL,194,63
2020-11-04,INDUSTRIAL,20,23
2021-02-10,INDUSTRIAL,783,78
2021-02-27,INDUSTRIAL,1,69
2021-02-23,INDUSTRIAL,117,29
2019-02-07,INDUSTRIAL,14170,1
2021-01-21,INDUSTRIAL,153,34
2020-11-05,INDUSTRIAL,7050,131
2021-01-20,INDUSTRIAL,34,91
2019-06-28,INDUSTRIAL,4030,139
2020-04-20,INDUSTRIAL,628,21
2019-12-06,INDUSTRIAL,235,88
2019-03-17,INDUSTRIAL,68,125
2019-02-19,INDUSTRIAL,44710,130
2021-02-15,INDUSTRIAL,691,115
