FECHA,USO,CONSUMO,ID_CONTADOR
2021-01-28,INDUSTRIAL,140,95
2019-09-03,INDUSTRIAL,62077,200
2019-11-22,INDUSTRIAL,19,203
2021-01-28,INDUSTRIAL,200,26
2019-01-06,INDUSTRIAL,348,120
2020-05-12,INDUSTRIAL,76741,207
2019-01-19,INDUSTRIAL,8220,289
2019-03-18,INDUSTRIAL,2350,294
2019-11-11,INDUSTRIAL,7952,202
2019-02-04,INDUSTRIAL,6490,279
2019-02-23,INDUSTRIAL,60,179
2019-05-28,INDUSTRIAL,68789,260
2019-03-17,INDUSTRIAL,41246,175
2020-05-17,INDUSTRIAL,12,196
2019-01-17,INDUSTRIAL,37100,277
2021-01-28,INDUSTRIAL,50,48
2019-02-16,INDUSTRIAL,1537,258
2021-01-25,INDUSTRIAL,247,173
2021-02-19,INDUSTRIAL,19,249
2021-01-21,INDUSTRIAL,83,73
2019-02-05,INDUSTRIAL,8330,274
2021-03-06,INDUSTRIAL,8,15
2021-01-21,INDUSTRIAL,25,162
2021-01-26,INDUSTRIAL,21,193
2021-01-28,INDUSTRIAL,111,50
2019-03-27,INDUSTRIAL,13950,125
2021-01-24,INDUSTRIAL,243,24
2020-07-23,INDUSTRIAL,22153,262
2019-06-24,INDUSTRIAL,7880,280
2021-01-20,INDUSTRIAL,2,31
2021-01-28,INDUSTRIAL,494,104
2021-01-21,INDUSTRIAL,133,4
2021-01-31,INDUSTRIAL,6,17
2021-01-28,INDUSTRIAL,186,164
2019-03-17,INDUSTRIAL,104860,296
2019-01-02,INDUSTRIAL,2660,290
2020-02-02,INDUSTRIAL,24510,302
2019-07-21,INDUSTRIAL,5602,170
2021-01-29,INDUSTRIAL,31,63
2021-01-28,INDUSTRIAL,34,80
2019-12-20,INDUSTRIAL,31150,285
2020-01-13,INDUSTRIAL,2068,205
2019-03-09,INDUSTRIAL,40,286
2019-07-29,INDUSTRIAL,1780,292
2019-03-23,INDUSTRIAL,12000,275
2021-01-20,INDUSTRIAL,256,75
2021-01-20,INDUSTRIAL,524,155
2021-01-21,INDUSTRIAL,1386,29
2021-01-26,INDUSTRIAL,223,14
2019-11-09,INDUSTRIAL,6,198
2020-11-20,INDUSTRIAL,1058,266
2020-07-12,INDUSTRIAL,16396,210
2019-01-30,INDUSTRIAL,112560,276
2021-01-28,INDUSTRIAL,68,83
2019-02-01,INDUSTRIAL,1880,295
2019-03-18,INDUSTRIAL,4698,269
2019-02-19,INDUSTRIAL,62320,55
2019-01-22,INDUSTRIAL,79083,264
2019-03-02,INDUSTRIAL,90,288
2019-01-04,INDUSTRIAL,22963,270
2021-01-26,INDUSTRIAL,955,76
2019-09-05,INDUSTRIAL,24853,200
2019-11-16,INDUSTRIAL,18,203
2021-01-25,INDUSTRIAL,145,26
2019-01-09,INDUSTRIAL,179,120
2020-05-08,INDUSTRIAL,50531,207
2019-01-10,INDUSTRIAL,22348,289
2019-03-19,INDUSTRIAL,54230,294
2020-05-01,INDUSTRIAL,9632,202
2019-02-12,INDUSTRIAL,20,279
2019-02-28,INDUSTRIAL,30,179
2019-05-23,INDUSTRIAL,69101,260
2019-03-20,INDUSTRIAL,32434,175
2020-05-23,INDUSTRIAL,1886,196
2019-01-21,INDUSTRIAL,37800,277
2021-01-22,INDUSTRIAL,50,48
2019-02-21,INDUSTRIAL,10072,258
2021-02-01,INDUSTRIAL,350,173
2021-02-20,INDUSTRIAL,46,249
2021-01-24,INDUSTRIAL,2,73
2019-02-04,INDUSTRIAL,4570,274
2021-01-29,INDUSTRIAL,125,224
2021-01-28,INDUSTRIAL,13,162
2021-01-22,INDUSTRIAL,42,193
2021-01-21,INDUSTRIAL,347,1
2019-03-05,INDUSTRIAL,14300,125
2021-01-21,INDUSTRIAL,247,24
2020-07-21,INDUSTRIAL,24691,262
2019-06-23,INDUSTRIAL,7020,280
2021-01-28,INDUSTRIAL,40,22
2021-01-23,INDUSTRIAL,149,104
2021-01-31,INDUSTRIAL,1,38
2021-01-31,INDUSTRIAL,2,174
2021-01-20,INDUSTRIAL,434,164
2019-03-27,INDUSTRIAL,54113,296
2019-01-26,INDUSTRIAL,130,290
2020-02-26,INDUSTRIAL,22360,302
2019-07-31,INDUSTRIAL,7999,170
2021-01-29,INDUSTRIAL,27,40
2021-01-26,INDUSTRIAL,86,80
2019-12-06,INDUSTRIAL,18750,285
2020-01-25,INDUSTRIAL,3,205
2019-03-10,INDUSTRIAL,3910,286
2019-07-04,INDUSTRIAL,2480,292
2019-03-01,INDUSTRIAL,54720,275
2021-01-30,INDUSTRIAL,286,65
2021-01-31,INDUSTRIAL,12,20
2021-01-20,INDUSTRIAL,1349,29
2021-01-22,INDUSTRIAL,158,14
