FECHA,USO,CONSUMO,ID_CONTADOR
2019-03-16,INDUSTRIAL,3296,23
2019-01-01,INDUSTRIAL,13,64
2019-02-12,INDUSTRIAL,2106,100
2019-02-09,INDUSTRIAL,134,143
2019-03-25,INDUSTRIAL,79,30
2019-02-03,INDUSTRIAL,14,70
2019-01-16,INDUSTRIAL,138,114
2019-01-03,INDUSTRIAL,19,62
2019-01-28,INDUSTRIAL,43,103
2019-01-13,INDUSTRIAL,7,76
2019-02-02,INDUSTRIAL,234,106
2019-02-12,INDUSTRIAL,603,81
2019-01-13,INDUSTRIAL,7,107
2019-02-03,INDUSTRIAL,36,115
2019-01-02,INDUSTRIAL,18,108
2019-02-10,INDUSTRIAL,73,121
2019-01-20,INDUSTRIAL,39,120
2019-02-11,INDUSTRIAL,49130,189
2019-02-27,INDUSTRIAL,1614,54
2019-01-13,INDUSTRIAL,631,99
2019-01-02,INDUSTRIAL,45,85
2019-01-01,INDUSTRIAL,287,77
2019-01-06,INDUSTRIAL,18,124
2019-01-14,INDUSTRIAL,3,93
2019-01-02,INDUSTRIAL,2525,142
2019-03-17,INDUSTRIAL,2,78
2019-01-20,INDUSTRIAL,11,112
2019-01-01,INDUSTRIAL,84,92
2019-01-09,INDUSTRIAL,591,56
2019-01-06,INDUSTRIAL,15,131
2020-12-20,INDUSTRIAL,6,182
2019-01-28,INDUSTRIAL,62,105
2019-03-09,INDUSTRIAL,79,134
2019-03-09,INDUSTRIAL,246,86
2019-01-15,INDUSTRIAL,351,66
2019-01-01,INDUSTRIAL,18,60
2019-02-06,INDUSTRIAL,783,74
2019-01-06,INDUSTRIAL,147,73
2019-02-15,INDUSTRIAL,631,141
2019-01-21,INDUSTRIAL,2878,144
2020-07-14,INDUSTRIAL,47,47
2019-02-06,INDUSTRIAL,118,91
2019-03-25,INDUSTRIAL,244,151
2021-01-19,INDUSTRIAL,224,166
2019-03-21,INDUSTRIAL,22,113
2019-02-03,INDUSTRIAL,3,138
2019-02-28,INDUSTRIAL,345,28
2019-01-03,INDUSTRIAL,204,61
2019-01-11,INDUSTRIAL,287,80
2019-01-06,INDUSTRIAL,6,57
2019-02-06,INDUSTRIAL,487,101
2019-02-10,INDUSTRIAL,28,96
2019-01-14,INDUSTRIAL,63,59
2019-01-24,INDUSTRIAL,1304,152
2019-01-02,INDUSTRIAL,37,128
2019-02-06,INDUSTRIAL,76,109
2019-03-21,INDUSTRIAL,171,116
2019-03-19,INDUSTRIAL,5198,23
2019-01-05,INDUSTRIAL,17,64
2019-02-14,INDUSTRIAL,1343,100
2019-02-08,INDUSTRIAL,290,143
2019-03-19,INDUSTRIAL,85,30
2019-02-17,INDUSTRIAL,42,70
2019-01-23,INDUSTRIAL,120,114
2019-01-14,INDUSTRIAL,3,62
2019-01-28,INDUSTRIAL,136,111
2019-01-01,INDUSTRIAL,12,76
2019-02-01,INDUSTRIAL,513,106
2019-02-04,INDUSTRIAL,169,98
2019-01-05,INDUSTRIAL,6,107
2019-02-10,INDUSTRIAL,35,115
2019-01-14,INDUSTRIAL,19,108
2019-02-06,INDUSTRIAL,11,117
2019-01-28,INDUSTRIAL,728,120
2019-02-06,INDUSTRIAL,47340,189
2019-02-06,INDUSTRIAL,804,54
2019-01-20,INDUSTRIAL,546,99
2019-01-02,INDUSTRIAL,24,118
2019-01-27,INDUSTRIAL,413,77
2019-01-20,INDUSTRIAL,8,124
2019-01-09,INDUSTRIAL,3,93
2019-01-01,INDUSTRIAL,2513,142
2019-03-31,INDUSTRIAL,3,78
2019-01-30,INDUSTRIAL,276,112
2019-01-01,INDUSTRIAL,13,126
2019-01-03,INDUSTRIAL,497,56
2019-01-02,INDUSTRIAL,81,65
2020-12-19,INDUSTRIAL,7,182
2019-01-07,INDUSTRIAL,63,105
2019-03-05,INDUSTRIAL,122,134
2019-03-05,INDUSTRIAL,345,86
2019-01-28,INDUSTRIAL,346,66
2019-01-09,INDUSTRIAL,380,130
2019-02-27,INDUSTRIAL,842,74
2019-01-01,INDUSTRIAL,209,73
2019-02-08,INDUSTRIAL,404,141
2019-01-14,INDUSTRIAL,3655,144
2020-07-13,INDUSTRIAL,2,47
2019-02-07,INDUSTRIAL,166,91
2019-03-27,INDUSTRIAL,304,151
2021-01-25,INDUSTRIAL,70,166
2019-03-05,INDUSTRIAL,43,113
2019-02-06,INDUSTRIAL,142,123
2019-02-02,INDUSTRIAL,23,28
2019-01-02,INDUSTRIAL,319,61
2019-01-30,INDUSTRIAL,394,80
2019-01-14,INDUSTRIAL,281,57
2019-02-27,INDUSTRIAL,294,101
2019-02-12,INDUSTRIAL,229,96
2019-01-02,INDUSTRIAL,162,68
2019-01-29,INDUSTRIAL,983,152
2019-01-24,INDUSTRIAL,47,128
2019-02-27,INDUSTRIAL,63,109
2019-03-05,INDUSTRIAL,201,116
2019-03-04,INDUSTRIAL,5817,23
2019-01-03,INDUSTRIAL,476,11
2019-02-04,INDUSTRIAL,1617,100
2019-02-13,INDUSTRIAL,305,143
2019-03-03,INDUSTRIAL,1,30
2019-02-11,INDUSTRIAL,190,70
2019-01-19,INDUSTRIAL,86,137
2019-01-09,INDUSTRIAL,10,62
2019-01-02,INDUSTRIAL,130,111
2019-01-16,INDUSTRIAL,6,76
2019-02-08,INDUSTRIAL,468,106
2019-02-17,INDUSTRIAL,23,98
2019-01-02,INDUSTRIAL,27,122
2019-02-24,INDUSTRIAL,480,135
2019-01-29,INDUSTRIAL,6,108
2019-02-06,INDUSTRIAL,223,121
2019-01-07,INDUSTRIAL,438,120
2019-02-18,INDUSTRIAL,88420,189
2019-02-12,INDUSTRIAL,329,54
2019-01-27,INDUSTRIAL,628,99
2019-01-03,INDUSTRIAL,46,85
2019-01-13,INDUSTRIAL,504,77
2019-01-01,INDUSTRIAL,9,124
2019-01-30,INDUSTRIAL,3,93
2019-01-03,INDUSTRIAL,1404,142
2019-03-21,INDUSTRIAL,2,90
2019-01-31,INDUSTRIAL,179,112
2019-01-06,INDUSTRIAL,29,87
2019-01-02,INDUSTRIAL,420,56
2019-01-02,INDUSTRIAL,26,131
2020-12-12,INDUSTRIAL,8,182
2019-01-09,INDUSTRIAL,185,105
2019-03-17,INDUSTRIAL,169,134
2019-03-05,INDUSTRIAL,568,133
2019-01-07,INDUSTRIAL,315,66
2019-01-09,INDUSTRIAL,62,60
2019-02-12,INDUSTRIAL,847,74
2019-01-17,INDUSTRIAL,65,73
2019-02-23,INDUSTRIAL,3,141
2019-01-22,INDUSTRIAL,4321,144
2020-07-09,INDUSTRIAL,610,47
2019-02-27,INDUSTRIAL,1090,91
2019-03-04,INDUSTRIAL,244,151
2021-02-27,INDUSTRIAL,16,166
2019-03-04,INDUSTRIAL,63,113
2019-02-10,INDUSTRIAL,17,138
2019-02-15,INDUSTRIAL,319,28
2019-01-28,INDUSTRIAL,328,61
2019-01-12,INDUSTRIAL,372,80
2019-01-15,INDUSTRIAL,268,57
2019-02-02,INDUSTRIAL,8,101
2019-02-06,INDUSTRIAL,471,53
2019-01-05,INDUSTRIAL,125,68
2019-01-27,INDUSTRIAL,1,152
2019-01-28,INDUSTRIAL,47,128
2019-02-07,INDUSTRIAL,73,109
2019-03-05,INDUSTRIAL,203,129
2019-03-05,INDUSTRIAL,2657,23
2019-01-28,INDUSTRIAL,425,11
2019-02-18,INDUSTRIAL,1607,100
2019-02-11,INDUSTRIAL,398,143
2019-03-29,INDUSTRIAL,40,30
2019-02-10,INDUSTRIAL,6,70
2019-01-19,INDUSTRIAL,23,136
2019-01-28,INDUSTRIAL,38,62
2019-01-05,INDUSTRIAL,38,103
2019-01-27,INDUSTRIAL,11,76
2019-02-10,INDUSTRIAL,137,106
2019-02-18,INDUSTRIAL,225,98
2019-01-22,INDUSTRIAL,171,107
2019-02-24,INDUSTRIAL,122,115
2019-01-15,INDUSTRIAL,15,108
2019-02-01,INDUSTRIAL,398,121
2019-01-29,INDUSTRIAL,539,120
2019-02-07,INDUSTRIAL,45810,189
2019-02-24,INDUSTRIAL,86,104
2019-01-30,INDUSTRIAL,6,99
2019-01-30,INDUSTRIAL,56,118
2019-01-02,INDUSTRIAL,410,77
2019-01-02,INDUSTRIAL,39,124
2019-01-23,INDUSTRIAL,3,93
2019-05-03,INDUSTRIAL,282,142
2019-03-05,INDUSTRIAL,126,90
2019-01-03,INDUSTRIAL,97,112
2019-01-20,INDUSTRIAL,15,127
2019-01-08,INDUSTRIAL,539,56
2019-01-15,INDUSTRIAL,257,65
2020-12-17,INDUSTRIAL,49,182
2019-01-30,INDUSTRIAL,27,105
2019-03-03,INDUSTRIAL,101,134
2019-03-03,INDUSTRIAL,82,86
2019-01-17,INDUSTRIAL,408,66
2019-01-14,INDUSTRIAL,38,60
2019-02-07,INDUSTRIAL,633,74
2019-01-03,INDUSTRIAL,52,73
2019-02-21,INDUSTRIAL,458,141
2019-01-10,INDUSTRIAL,3002,144
2020-07-15,INDUSTRIAL,64,47
2019-02-18,INDUSTRIAL,175,91
2019-03-11,INDUSTRIAL,308,151
2021-02-28,INDUSTRIAL,1,166
2019-03-20,INDUSTRIAL,28,113
2019-02-20,INDUSTRIAL,328,123
2019-02-26,INDUSTRIAL,417,28
2019-01-30,INDUSTRIAL,271,61
2019-01-22,INDUSTRIAL,265,80
2019-01-09,INDUSTRIAL,487,57
2019-02-14,INDUSTRIAL,245,101
2019-02-06,INDUSTRIAL,212,96
2019-01-08,INDUSTRIAL,117,68
2019-01-12,INDUSTRIAL,4,152
2019-01-03,INDUSTRIAL,38,128
2019-02-12,INDUSTRIAL,68,109
2019-03-04,INDUSTRIAL,83,116
2019-03-08,INDUSTRIAL,1910,23
2019-01-05,INDUSTRIAL,138,11
2019-02-13,INDUSTRIAL,1188,100
2019-02-04,INDUSTRIAL,323,143
2019-03-04,INDUSTRIAL,144,30
2019-02-14,INDUSTRIAL,217,70
2019-01-12,INDUSTRIAL,129,137
2019-01-31,INDUSTRIAL,15,62
2019-01-15,INDUSTRIAL,52,103
2019-01-10,INDUSTRIAL,97,76
2019-02-28,INDUSTRIAL,516,106
2019-02-20,INDUSTRIAL,222,98
2019-01-22,INDUSTRIAL,36,122
2019-02-12,INDUSTRIAL,1334,135
2019-01-07,INDUSTRIAL,27,108
2019-02-27,INDUSTRIAL,17,117
2019-01-27,INDUSTRIAL,77,120
2019-02-19,INDUSTRIAL,78120,189
2019-02-13,INDUSTRIAL,2985,54
2019-01-26,INDUSTRIAL,688,99
2019-01-30,INDUSTRIAL,59,85
2019-01-24,INDUSTRIAL,190,77
2019-01-09,INDUSTRIAL,21,124
2019-01-18,INDUSTRIAL,3,93
2019-05-31,INDUSTRIAL,284,142
2019-03-08,INDUSTRIAL,19,90
2019-01-22,INDUSTRIAL,598,112
2019-01-20,INDUSTRIAL,57,92
2019-01-22,INDUSTRIAL,552,56
2019-01-15,INDUSTRIAL,155,131
2020-12-16,INDUSTRIAL,51,182
2019-01-03,INDUSTRIAL,195,105
2019-03-24,INDUSTRIAL,135,134
2019-03-10,INDUSTRIAL,50,86
2019-01-08,INDUSTRIAL,216,66
2019-01-14,INDUSTRIAL,281,130
2019-02-18,INDUSTRIAL,940,74
2019-01-29,INDUSTRIAL,16,73
2019-02-16,INDUSTRIAL,4,10
2019-01-31,INDUSTRIAL,3232,144
2020-07-10,INDUSTRIAL,22,47
2019-02-11,INDUSTRIAL,338,91
2019-03-19,INDUSTRIAL,130,151
2021-02-26,INDUSTRIAL,136,166
2019-03-08,INDUSTRIAL,22,113
2019-02-20,INDUSTRIAL,27,138
2019-02-11,INDUSTRIAL,384,28
2019-01-31,INDUSTRIAL,298,61
2019-01-05,INDUSTRIAL,637,80
2019-01-23,INDUSTRIAL,455,57
2019-02-04,INDUSTRIAL,242,101
2019-02-24,INDUSTRIAL,22,82
2019-01-09,INDUSTRIAL,163,68
2019-01-25,INDUSTRIAL,1263,152
2019-01-07,INDUSTRIAL,62,128
2019-02-13,INDUSTRIAL,72,109
2019-03-11,INDUSTRIAL,179,116
2019-03-15,INDUSTRIAL,1962,23
2019-01-18,INDUSTRIAL,377,11
2019-02-01,INDUSTRIAL,1226,100
2019-02-25,INDUSTRIAL,402,143
2019-03-15,INDUSTRIAL,62,30
2019-02-09,INDUSTRIAL,68,70
2019-01-25,INDUSTRIAL,131,114
2019-01-04,INDUSTRIAL,1,62
2019-01-23,INDUSTRIAL,215,111
2019-01-07,INDUSTRIAL,31,76
2019-02-09,INDUSTRIAL,154,106
2019-02-27,INDUSTRIAL,245,98
2019-01-14,INDUSTRIAL,73,122
2019-02-12,INDUSTRIAL,147,115
2019-01-09,INDUSTRIAL,34,108
2019-02-18,INDUSTRIAL,21,117
2019-01-24,INDUSTRIAL,822,120
2019-02-14,INDUSTRIAL,141780,189
2019-02-04,INDUSTRIAL,31,104
2019-01-12,INDUSTRIAL,577,99
2019-01-31,INDUSTRIAL,69,85
2019-01-30,INDUSTRIAL,407,77
2019-01-03,INDUSTRIAL,17,124
2019-01-22,INDUSTRIAL,3,93
2019-05-23,INDUSTRIAL,2,142
2019-03-20,INDUSTRIAL,11,90
2019-01-22,INDUSTRIAL,598,112
2019-01-27,INDUSTRIAL,100,92
2019-01-10,INDUSTRIAL,647,56
2019-01-15,INDUSTRIAL,319,139
2020-12-13,INDUSTRIAL,6,182
2019-01-21,INDUSTRIAL,200,105
2019-03-11,INDUSTRIAL,153,134
2019-03-12,INDUSTRIAL,345,86
2019-01-21,INDUSTRIAL,382,66
2019-01-07,INDUSTRIAL,349,130
2019-02-21,INDUSTRIAL,523,74
2019-01-27,INDUSTRIAL,141,73
2019-02-19,INDUSTRIAL,145,10
2019-01-25,INDUSTRIAL,1538,144
2020-07-12,INDUSTRIAL,17,47
2019-02-12,INDUSTRIAL,164,91
2019-03-18,INDUSTRIAL,159,151
2021-03-09,INDUSTRIAL,237,166
2019-03-12,INDUSTRIAL,50,113
2019-02-12,INDUSTRIAL,110,123
2019-02-13,INDUSTRIAL,528,28
2019-01-29,INDUSTRIAL,274,61
2019-01-16,INDUSTRIAL,407,80
2019-01-10,INDUSTRIAL,315,57
2019-02-20,INDUSTRIAL,284,101
2019-02-24,INDUSTRIAL,5,96
