FECHA,USO,CONSUMO,ID_CONTADOR
2019-07-10,INDUSTRIAL,1496,210
2019-09-16,INDUSTRIAL,1550,142
2019-03-28,INDUSTRIAL,176,50
2019-02-02,INDUSTRIAL,64,38
2019-02-04,INDUSTRIAL,1052,1
2019-09-14,INDUSTRIAL,396,148
2020-04-15,INDUSTRIAL,3,182
2019-09-11,INDUSTRIAL,2928,139
2019-05-23,INDUSTRIAL,119,108
2019-01-30,INDUSTRIAL,78,102
2019-03-22,INDUSTRIAL,-72680,226
2019-02-08,INDUSTRIAL,90,66
2019-03-01,INDUSTRIAL,826,75
2019-02-01,INDUSTRIAL,100,216
2020-01-31,INDUSTRIAL,13,152
2019-01-14,INDUSTRIAL,648,60
2019-02-05,INDUSTRIAL,46655,43
2019-02-06,INDUSTRIAL,12,32
2019-02-20,INDUSTRIAL,16,3
2019-02-27,INDUSTRIAL,2345,127
2019-02-03,INDUSTRIAL,207,33
2019-02-26,INDUSTRIAL,4773,45
2020-03-17,INDUSTRIAL,17,177
2019-01-09,INDUSTRIAL,44,51
2019-01-15,INDUSTRIAL,473,83
2020-03-31,INDUSTRIAL,2,120
2021-07-05,INDUSTRIAL,3540,209
2019-03-27,INDUSTRIAL,1832,46
2019-06-25,INDUSTRIAL,3012,131
2019-03-15,INDUSTRIAL,1961,41
2019-02-16,INDUSTRIAL,404,89
2019-01-22,INDUSTRIAL,15020,0
2019-02-17,INDUSTRIAL,46,79
2019-01-01,INDUSTRIAL,56,5
2019-05-31,INDUSTRIAL,5926,161
2019-09-13,INDUSTRIAL,9637,149
2019-02-15,INDUSTRIAL,248,97
2019-03-25,INDUSTRIAL,22273,62
2019-02-27,INDUSTRIAL,2881,74
2019-10-09,INDUSTRIAL,1992,156
2019-03-19,INDUSTRIAL,537,59
2019-02-01,INDUSTRIAL,128,91
2019-01-01,INDUSTRIAL,16,54
2020-05-01,INDUSTRIAL,26137,153
2019-01-01,INDUSTRIAL,3280,223
2019-01-26,INDUSTRIAL,12776,69
2019-01-24,INDUSTRIAL,190275,214
2019-02-24,INDUSTRIAL,18,37
2019-02-14,INDUSTRIAL,139,94
2019-02-15,INDUSTRIAL,918,77
2019-03-06,INDUSTRIAL,85,39
2019-02-12,INDUSTRIAL,67967,213
2019-02-12,INDUSTRIAL,228,84
2019-08-02,INDUSTRIAL,93,121
2019-02-27,INDUSTRIAL,1580,107
2019-01-15,INDUSTRIAL,38528,211
2019-03-08,INDUSTRIAL,3726,101
2019-03-14,INDUSTRIAL,2049,103
2019-02-25,INDUSTRIAL,438,4
2019-07-20,INDUSTRIAL,41808,210
2019-09-18,INDUSTRIAL,1945,142
2019-03-21,INDUSTRIAL,175,50
2019-02-20,INDUSTRIAL,92,38
2019-02-07,INDUSTRIAL,717,1
2019-09-18,INDUSTRIAL,2779,148
2020-04-16,INDUSTRIAL,2,182
2019-09-22,INDUSTRIAL,25,139
2019-05-22,INDUSTRIAL,111,108
2019-01-28,INDUSTRIAL,50,102
2019-03-23,INDUSTRIAL,-108980,226
2019-02-01,INDUSTRIAL,162,66
2019-03-16,INDUSTRIAL,809,75
2019-02-06,INDUSTRIAL,1200,216
2020-03-20,INDUSTRIAL,62,152
2019-01-17,INDUSTRIAL,783,60
2019-02-21,INDUSTRIAL,52380,43
2019-02-07,INDUSTRIAL,2,32
2019-04-09,INDUSTRIAL,69,3
2019-02-20,INDUSTRIAL,1962,127
2019-02-06,INDUSTRIAL,98,33
2019-02-05,INDUSTRIAL,654,42
2020-03-21,INDUSTRIAL,616,177
2019-01-10,INDUSTRIAL,40,51
2019-01-31,INDUSTRIAL,2250,83
2020-03-22,INDUSTRIAL,6,120
2021-07-07,INDUSTRIAL,3600,209
2019-03-13,INDUSTRIAL,1766,46
2019-06-27,INDUSTRIAL,4288,131
2019-03-13,INDUSTRIAL,1883,41
2019-02-28,INDUSTRIAL,260,89
2019-01-21,INDUSTRIAL,14440,0
2019-02-05,INDUSTRIAL,1718,79
2019-01-29,INDUSTRIAL,736,5
2019-05-30,INDUSTRIAL,5220,161
2019-09-14,INDUSTRIAL,9149,149
2019-02-01,INDUSTRIAL,71,97
2019-03-19,INDUSTRIAL,18490,62
2019-02-22,INDUSTRIAL,215,74
2019-10-22,INDUSTRIAL,1951,156
2019-03-18,INDUSTRIAL,560,59
2019-02-27,INDUSTRIAL,38,91
2019-01-09,INDUSTRIAL,507,54
2020-05-15,INDUSTRIAL,25312,153
2019-01-25,INDUSTRIAL,73,86
2019-01-17,INDUSTRIAL,18564,69
2019-01-20,INDUSTRIAL,126408,214
