FECHA,USO,CONSUMO,ID_CONTADOR
2021-07-15,INDUSTRIAL,1159,8
2021-12-07,INDUSTRIAL,270290,5
2020-09-14,INDUSTRIAL,288,3
2021-03-08,INDUSTRIAL,316000,5
2021-09-04,INDUSTRIAL,159170,6
2020-11-12,INDUSTRIAL,340740,5
2021-01-31,INDUSTRIAL,371,1
2020-08-03,INDUSTRIAL,50401,0
2021-07-07,INDUSTRIAL,2682,4
2020-09-15,INDUSTRIAL,4,1
2019-05-10,INDUSTRIAL,4699,0
2020-09-14,INDUSTRIAL,299110,5
2020-09-12,INDUSTRIAL,216820,5
2020-07-31,INDUSTRIAL,383330,5
2020-10-01,INDUSTRIAL,152400,7
2020-09-02,INDUSTRIAL,249590,5
2021-02-08,INDUSTRIAL,314360,5
2020-08-01,INDUSTRIAL,146,3
2020-09-13,INDUSTRIAL,380820,5
2020-10-28,INDUSTRIAL,175870,6
2019-07-10,INDUSTRIAL,155,1
2021-11-21,INDUSTRIAL,80180,6
2021-07-09,INDUSTRIAL,267900,6
2021-07-04,INDUSTRIAL,425,1
2020-09-15,INDUSTRIAL,207,3
2020-09-16,INDUSTRIAL,19813,0
2021-08-10,INDUSTRIAL,203400,7
2021-03-16,INDUSTRIAL,4441,4
2019-03-10,INDUSTRIAL,147920,6
2021-04-22,INDUSTRIAL,3708,4
2021-08-31,INDUSTRIAL,136100,7
2020-10-01,INDUSTRIAL,270400,5
2020-09-15,INDUSTRIAL,7265,0
2020-09-15,INDUSTRIAL,176000,7
2019-09-08,INDUSTRIAL,4738,4
2019-07-16,INDUSTRIAL,519,3
2021-11-09,INDUSTRIAL,456,1
2021-07-04,INDUSTRIAL,188600,7
2021-10-07,INDUSTRIAL,305620,5
2021-08-30,INDUSTRIAL,53,2
2020-07-27,INDUSTRIAL,393000,7
2021-01-20,INDUSTRIAL,4,2
2020-10-01,INDUSTRIAL,171530,6
2020-09-11,INDUSTRIAL,26191,0
2019-09-03,INDUSTRIAL,127000,7
2019-03-12,INDUSTRIAL,287190,5
2021-01-06,INDUSTRIAL,337310,5
2021-03-14,INDUSTRIAL,246,3
2021-01-31,INDUSTRIAL,87800,7
2020-12-09,INDUSTRIAL,164640,6
2020-06-26,INDUSTRIAL,294,2
2020-12-22,INDUSTRIAL,149,3
2020-08-15,INDUSTRIAL,491600,7
2020-08-11,INDUSTRIAL,323500,6
2021-12-03,INDUSTRIAL,25,2
2021-10-02,INDUSTRIAL,123,3
2021-04-08,INDUSTRIAL,5,3
2021-07-14,INDUSTRIAL,4354,8
2021-12-06,INDUSTRIAL,231760,5
2021-09-03,INDUSTRIAL,541,1
2021-03-07,INDUSTRIAL,337440,5
2021-08-07,INDUSTRIAL,232300,6
2020-11-14,INDUSTRIAL,331630,5
2021-01-30,INDUSTRIAL,519,1
2020-08-02,INDUSTRIAL,52052,0
2021-07-06,INDUSTRIAL,2039,4
2019-05-12,INDUSTRIAL,7149,0
2021-04-12,INDUSTRIAL,92200,7
2020-10-01,INDUSTRIAL,37,3
2020-08-11,INDUSTRIAL,356520,5
2020-09-17,INDUSTRIAL,182500,7
2020-09-08,INDUSTRIAL,228200,5
2021-02-07,INDUSTRIAL,326130,5
2020-08-02,INDUSTRIAL,294,3
2020-09-10,INDUSTRIAL,306,3
2020-10-31,INDUSTRIAL,156600,6
2019-07-06,INDUSTRIAL,289,1
2021-11-20,INDUSTRIAL,112190,6
2021-07-08,INDUSTRIAL,269350,6
2021-07-03,INDUSTRIAL,550,1
2021-09-22,INDUSTRIAL,126340,6
2020-09-11,INDUSTRIAL,304,1
2021-08-09,INDUSTRIAL,185200,7
2021-03-11,INDUSTRIAL,3855,4
2019-03-09,INDUSTRIAL,139890,6
2021-04-24,INDUSTRIAL,4764,4
2021-08-29,INDUSTRIAL,154400,7
2020-09-30,INDUSTRIAL,279100,5
2019-07-17,INDUSTRIAL,416,2
2020-09-16,INDUSTRIAL,148900,7
2019-09-28,INDUSTRIAL,4643,4
2019-07-03,INDUSTRIAL,312,3
2021-11-14,INDUSTRIAL,496,1
2021-07-01,INDUSTRIAL,156900,7
2021-10-06,INDUSTRIAL,287710,5
2021-08-31,INDUSTRIAL,56,2
2020-07-28,INDUSTRIAL,342300,7
2021-01-10,INDUSTRIAL,429,2
2020-09-21,INDUSTRIAL,153070,6
2021-01-19,INDUSTRIAL,114800,7
2019-02-06,INDUSTRIAL,77100,7
2019-03-20,INDUSTRIAL,213550,5
2021-01-07,INDUSTRIAL,350950,5
2021-03-13,INDUSTRIAL,206,3
2021-01-30,INDUSTRIAL,99900,7
2020-12-07,INDUSTRIAL,153080,6
2020-06-13,INDUSTRIAL,529,2
2020-12-10,INDUSTRIAL,9,3
2020-08-14,INDUSTRIAL,374500,7
2020-08-06,INDUSTRIAL,321780,6
2021-12-02,INDUSTRIAL,24,2
2021-10-01,INDUSTRIAL,115,3
2021-04-07,INDUSTRIAL,6,3
2021-07-24,INDUSTRIAL,1622,8
2021-12-05,INDUSTRIAL,231790,5
2021-08-30,INDUSTRIAL,299,1
2021-03-06,INDUSTRIAL,343630,5
2021-08-26,INDUSTRIAL,163940,6
2020-11-16,INDUSTRIAL,344010,5
2021-02-01,INDUSTRIAL,474,1
2020-08-01,INDUSTRIAL,45492,0
2021-07-05,INDUSTRIAL,2309,4
2019-05-14,INDUSTRIAL,2042,0
2021-04-11,INDUSTRIAL,82300,7
2020-09-17,INDUSTRIAL,88,3
2020-08-10,INDUSTRIAL,373770,5
2020-09-20,INDUSTRIAL,192100,7
2020-09-01,INDUSTRIAL,305170,5
2021-02-06,INDUSTRIAL,320190,5
2020-08-03,INDUSTRIAL,242,3
2020-10-30,INDUSTRIAL,149920,6
2019-07-17,INDUSTRIAL,395,1
2021-11-19,INDUSTRIAL,101920,6
2021-07-02,INDUSTRIAL,340,1
2021-09-21,INDUSTRIAL,127350,6
2021-08-08,INDUSTRIAL,153200,7
2021-03-10,INDUSTRIAL,2627,4
2019-03-08,INDUSTRIAL,143830,6
2021-04-21,INDUSTRIAL,176,4
2021-08-21,INDUSTRIAL,210900,7
2020-09-16,INDUSTRIAL,408060,5
2019-07-06,INDUSTRIAL,131,2
2020-09-12,INDUSTRIAL,180200,7
2019-09-10,INDUSTRIAL,1770,4
2019-07-21,INDUSTRIAL,341,3
2021-11-13,INDUSTRIAL,568,1
2021-07-07,INDUSTRIAL,291400,7
2021-10-05,INDUSTRIAL,302470,5
2021-08-29,INDUSTRIAL,74,2
2020-07-25,INDUSTRIAL,365000,7
2021-01-02,INDUSTRIAL,17,2
2020-09-19,INDUSTRIAL,145710,6
2021-01-17,INDUSTRIAL,125600,7
2019-02-23,INDUSTRIAL,124900,7
2019-03-18,INDUSTRIAL,284650,5
2021-01-12,INDUSTRIAL,437450,5
2021-03-16,INDUSTRIAL,15,3
2021-02-08,INDUSTRIAL,140400,7
2020-12-01,INDUSTRIAL,139360,6
2020-06-23,INDUSTRIAL,315,2
2020-12-15,INDUSTRIAL,20,3
2020-09-01,INDUSTRIAL,161700,7
2020-08-05,INDUSTRIAL,312240,6
2021-12-01,INDUSTRIAL,24,2
2021-10-03,INDUSTRIAL,194,3
2021-04-06,INDUSTRIAL,8,3
2021-07-09,INDUSTRIAL,1722,8
2021-12-04,INDUSTRIAL,231470,5
2021-08-31,INDUSTRIAL,464,1
2021-03-05,INDUSTRIAL,317710,5
2021-08-24,INDUSTRIAL,181780,6
2020-11-10,INDUSTRIAL,312720,5
2021-02-02,INDUSTRIAL,590,1
2020-07-31,INDUSTRIAL,36670,0
2021-07-25,INDUSTRIAL,4939,4
2019-05-15,INDUSTRIAL,4806,0
2021-04-10,INDUSTRIAL,95000,7
2020-09-26,INDUSTRIAL,49,3
2020-08-09,INDUSTRIAL,303540,5
2020-09-30,INDUSTRIAL,150000,7
2020-09-07,INDUSTRIAL,225840,5
2021-02-05,INDUSTRIAL,313230,5
2020-07-31,INDUSTRIAL,252,3
2020-10-29,INDUSTRIAL,168450,6
2019-07-15,INDUSTRIAL,181,1
2021-11-18,INDUSTRIAL,106750,6
2021-07-01,INDUSTRIAL,218,1
2021-09-20,INDUSTRIAL,126250,6
2021-07-21,INDUSTRIAL,182700,7
2021-03-14,INDUSTRIAL,6329,4
2019-03-14,INDUSTRIAL,132070,6
2021-04-17,INDUSTRIAL,4492,4
2021-08-20,INDUSTRIAL,161500,7
2020-09-18,INDUSTRIAL,308310,5
2019-07-24,INDUSTRIAL,473,2
2020-09-11,INDUSTRIAL,172000,7
2019-09-18,INDUSTRIAL,2286,4
2019-07-28,INDUSTRIAL,245,3
2021-11-12,INDUSTRIAL,244,1
2021-07-06,INDUSTRIAL,157100,7
2021-10-04,INDUSTRIAL,330560,5
2021-08-26,INDUSTRIAL,46,2
2020-07-26,INDUSTRIAL,459000,7
2021-01-04,INDUSTRIAL,53,2
2020-09-20,INDUSTRIAL,170020,6
2021-01-15,INDUSTRIAL,126200,7
2019-02-12,INDUSTRIAL,74000,7
2019-03-13,INDUSTRIAL,273700,5
2021-01-11,INDUSTRIAL,422700,5
2021-03-12,INDUSTRIAL,23,3
2021-02-07,INDUSTRIAL,127100,7
2020-12-03,INDUSTRIAL,140320,6
2020-07-18,INDUSTRIAL,213,2
2020-12-12,INDUSTRIAL,232,3
2020-09-07,INDUSTRIAL,144300,7
2020-08-07,INDUSTRIAL,367160,6
2021-11-05,INDUSTRIAL,33,2
2021-10-06,INDUSTRIAL,20,3
2021-04-04,INDUSTRIAL,170,3
2021-06-25,INDUSTRIAL,1732,8
2021-12-03,INDUSTRIAL,282880,5
2021-08-29,INDUSTRIAL,800,1
2021-03-04,INDUSTRIAL,375720,5
2021-08-23,INDUSTRIAL,189060,6
2020-11-11,INDUSTRIAL,327460,5
