FECHA,USO,CONSUMO,ID_CONTADOR
2019-10-19,INDUSTRIAL,7,63
2019-10-20,INDUSTRIAL,1484,15
2019-10-22,INDUSTRIAL,377,1
2019-10-25,INDUSTRIAL,180,23
2020-12-13,INDUSTRIAL,930,75
2019-10-30,INDUSTRIAL,4,2
2019-11-25,INDUSTRIAL,150,39
2019-11-24,INDUSTRIAL,4,59
2020-07-27,INDUSTRIAL,9773,46
2019-11-19,INDUSTRIAL,5230,13
2019-10-16,INDUSTRIAL,3,16
2019-11-29,INDUSTRIAL,363,32
2020-07-31,INDUSTRIAL,6341,8
2019-10-19,INDUSTRIAL,778,26
2019-10-31,INDUSTRIAL,708,31
2019-12-26,INDUSTRIAL,525,44
2019-11-19,INDUSTRIAL,4,67
2020-09-11,INDUSTRIAL,4,11
2019-12-26,INDUSTRIAL,944,33
2021-02-24,INDUSTRIAL,364,72
2019-11-03,INDUSTRIAL,12,62
2019-10-29,INDUSTRIAL,475,22
2019-11-24,INDUSTRIAL,318,0
2019-11-26,INDUSTRIAL,568,20
2019-11-22,INDUSTRIAL,274,6
2019-12-31,INDUSTRIAL,10,80
2019-12-14,INDUSTRIAL,1,36
2019-11-12,INDUSTRIAL,15,34
2019-10-22,INDUSTRIAL,906,17
2019-11-30,INDUSTRIAL,580,27
2019-11-25,INDUSTRIAL,31,35
2019-12-01,INDUSTRIAL,20,37
2020-09-17,INDUSTRIAL,20681,52
2021-06-23,INDUSTRIAL,644,77
2019-11-15,INDUSTRIAL,2380,53
2021-10-22,INDUSTRIAL,19,83
2019-11-29,INDUSTRIAL,605,24
2019-12-25,INDUSTRIAL,446,29
2019-10-19,INDUSTRIAL,29,30
2019-11-21,INDUSTRIAL,3,18
2019-10-31,INDUSTRIAL,29,57
2020-02-22,INDUSTRIAL,8580,14
2019-11-28,INDUSTRIAL,220,41
2019-11-26,INDUSTRIAL,1645,51
2019-10-24,INDUSTRIAL,98,61
2020-02-21,INDUSTRIAL,1040,10
2019-10-24,INDUSTRIAL,5,63
2019-10-22,INDUSTRIAL,500,15
2019-10-21,INDUSTRIAL,2,1
2019-10-23,INDUSTRIAL,395,23
2020-12-06,INDUSTRIAL,790,75
2019-11-11,INDUSTRIAL,25,2
2019-11-28,INDUSTRIAL,301,39
2019-11-22,INDUSTRIAL,37,59
2020-07-25,INDUSTRIAL,416,46
2019-11-16,INDUSTRIAL,17,13
2019-11-29,INDUSTRIAL,18,16
2019-11-30,INDUSTRIAL,141,32
2020-08-17,INDUSTRIAL,389,8
2019-10-24,INDUSTRIAL,345,26
2019-10-19,INDUSTRIAL,1085,31
2019-12-29,INDUSTRIAL,775,44
2019-11-20,INDUSTRIAL,4,67
2020-09-08,INDUSTRIAL,527,11
2019-12-25,INDUSTRIAL,713,33
2021-02-23,INDUSTRIAL,84,72
2019-11-20,INDUSTRIAL,118,62
2019-10-24,INDUSTRIAL,336,22
2019-11-27,INDUSTRIAL,218,0
2019-11-28,INDUSTRIAL,577,20
2019-11-22,INDUSTRIAL,7,42
2019-12-21,INDUSTRIAL,2076,80
2019-12-06,INDUSTRIAL,1,36
2019-11-29,INDUSTRIAL,73,34
2019-10-23,INDUSTRIAL,842,17
2019-11-28,INDUSTRIAL,238,27
2019-11-28,INDUSTRIAL,1207,35
