FECHA,USO,CONSUMO,ID_CONTADOR
2021-10-21,INDUSTRIAL,12025,8
2021-12-10,INDUSTRIAL,4,4
2021-07-14,INDUSTRIAL,3882,3
2021-10-10,INDUSTRIAL,620,49
2021-07-22,INDUSTRIAL,130,30
2021-07-19,INDUSTRIAL,1,10
2020-09-13,INDUSTRIAL,2506,39
2020-08-01,INDUSTRIAL,820,49
2019-03-20,INDUSTRIAL,184,17
2021-03-16,INDUSTRIAL,1,29
2020-01-08,INDUSTRIAL,1,22
2021-07-19,INDUSTRIAL,169,45
2020-07-14,INDUSTRIAL,63,13
2020-08-11,INDUSTRIAL,2,5
2020-11-16,INDUSTRIAL,192,26
2020-09-09,INDUSTRIAL,67,13
2019-11-27,INDUSTRIAL,11118,27
2020-05-29,INDUSTRIAL,4,32
2021-05-05,INDUSTRIAL,8,41
2021-09-26,INDUSTRIAL,60668,50
2019-09-17,INDUSTRIAL,2157,36
2019-12-31,INDUSTRIAL,124,26
2020-07-30,INDUSTRIAL,330,13
2020-07-26,INDUSTRIAL,1,39
2021-09-05,INDUSTRIAL,565,44
2019-08-01,INDUSTRIAL,2326,12
2020-07-28,INDUSTRIAL,117,35
2021-03-19,INDUSTRIAL,10524,24
2021-07-20,INDUSTRIAL,12587,24
2020-11-19,INDUSTRIAL,20060,15
2019-01-31,INDUSTRIAL,494,11
2020-09-01,INDUSTRIAL,280,32
2020-09-11,INDUSTRIAL,650,49
2021-11-28,INDUSTRIAL,5664,8
2020-12-29,INDUSTRIAL,953,4
2019-12-21,INDUSTRIAL,18,25
2019-03-22,INDUSTRIAL,4880,49
2021-02-27,INDUSTRIAL,135,42
2020-09-23,INDUSTRIAL,3500,18
2021-12-12,INDUSTRIAL,1416,24
2019-11-13,INDUSTRIAL,522,34
2019-11-16,INDUSTRIAL,60,35
2020-10-15,INDUSTRIAL,580,4
2020-07-30,INDUSTRIAL,7297,9
2020-10-29,INDUSTRIAL,4933,47
2019-03-27,INDUSTRIAL,66680,15
2020-09-23,INDUSTRIAL,3485,16
2020-06-07,INDUSTRIAL,3,0
2021-08-07,INDUSTRIAL,3260,8
2020-01-03,INDUSTRIAL,1678,37
2021-07-22,INDUSTRIAL,756,23
2020-06-23,INDUSTRIAL,314,5
2021-12-08,INDUSTRIAL,5318,8
2020-09-20,INDUSTRIAL,5665,9
2020-07-21,INDUSTRIAL,85,0
2020-07-26,INDUSTRIAL,4,33
2020-05-28,INDUSTRIAL,1346,29
2020-12-16,INDUSTRIAL,10875,8
2020-09-10,INDUSTRIAL,12325,27
2020-09-11,INDUSTRIAL,2718,25
2021-10-19,INDUSTRIAL,12366,8
2021-12-09,INDUSTRIAL,45,4
2021-07-21,INDUSTRIAL,2941,3
2021-10-12,INDUSTRIAL,630,49
2021-07-23,INDUSTRIAL,98,30
2021-05-31,INDUSTRIAL,8,10
2020-12-11,INDUSTRIAL,47,1
2020-08-02,INDUSTRIAL,900,49
2019-02-01,INDUSTRIAL,288,17
2021-03-14,INDUSTRIAL,852,29
2020-01-17,INDUSTRIAL,1,22
2021-07-20,INDUSTRIAL,33,45
2020-07-10,INDUSTRIAL,1,13
2020-09-11,INDUSTRIAL,258,5
2020-11-17,INDUSTRIAL,20667,26
2020-09-05,INDUSTRIAL,840,49
2019-11-09,INDUSTRIAL,1910,27
2019-10-02,INDUSTRIAL,15,32
2020-11-20,INDUSTRIAL,5388,18
2021-09-25,INDUSTRIAL,22766,50
2019-09-12,INDUSTRIAL,2161,36
2019-09-04,INDUSTRIAL,11209,26
2020-08-12,INDUSTRIAL,469,13
2020-07-24,INDUSTRIAL,1,39
2021-09-02,INDUSTRIAL,456,44
2019-08-05,INDUSTRIAL,2295,12
2020-07-24,INDUSTRIAL,133,35
2021-03-18,INDUSTRIAL,16993,24
2021-07-19,INDUSTRIAL,9493,24
2020-11-20,INDUSTRIAL,16320,15
2019-01-10,INDUSTRIAL,379,11
2020-09-08,INDUSTRIAL,8,32
2020-09-16,INDUSTRIAL,13,29
2021-11-24,INDUSTRIAL,11617,8
2020-12-02,INDUSTRIAL,1253,4
2019-12-22,INDUSTRIAL,45,25
2019-03-19,INDUSTRIAL,4130,49
2021-02-26,INDUSTRIAL,111,42
2020-09-27,INDUSTRIAL,16876,18
2021-12-10,INDUSTRIAL,30364,24
2019-11-06,INDUSTRIAL,862,34
2019-11-29,INDUSTRIAL,70,35
2020-10-14,INDUSTRIAL,171,4
2020-07-29,INDUSTRIAL,7202,9
2020-10-23,INDUSTRIAL,11898,47
2019-03-16,INDUSTRIAL,4060,15
2020-09-18,INDUSTRIAL,3308,16
2019-02-28,INDUSTRIAL,180,0
2021-08-23,INDUSTRIAL,2951,8
2020-05-12,INDUSTRIAL,34,37
2020-02-26,INDUSTRIAL,391,4
2020-06-22,INDUSTRIAL,118,5
2021-01-26,INDUSTRIAL,156,45
2020-09-30,INDUSTRIAL,4968,9
2020-07-22,INDUSTRIAL,141,0
2020-10-01,INDUSTRIAL,18130,15
2019-05-23,INDUSTRIAL,460,29
2020-12-30,INDUSTRIAL,4700,8
2020-11-19,INDUSTRIAL,6291,14
2020-09-10,INDUSTRIAL,1180,37
2021-10-20,INDUSTRIAL,12384,8
2021-12-14,INDUSTRIAL,36,4
2021-07-16,INDUSTRIAL,11574,3
2021-10-11,INDUSTRIAL,640,49
2021-09-04,INDUSTRIAL,18,30
2021-07-02,INDUSTRIAL,7,10
2020-12-10,INDUSTRIAL,95,1
2020-08-06,INDUSTRIAL,840,49
2019-02-18,INDUSTRIAL,6364,17
2021-03-13,INDUSTRIAL,211,29
2020-01-01,INDUSTRIAL,1,22
2021-07-17,INDUSTRIAL,2,45
2020-07-15,INDUSTRIAL,86,13
