FECHA,USO,CONSUMO,ID_CONTADOR
2021-10-22,INDUSTRIAL,413,90
2019-08-08,INDUSTRIAL,1259,140
2019-03-19,INDUSTRIAL,4,0
2019-01-22,INDUSTRIAL,116,114
2019-01-31,INDUSTRIAL,5,108
2019-01-28,INDUSTRIAL,711,67
2019-04-28,INDUSTRIAL,52,87
2019-02-25,INDUSTRIAL,11812,120
2019-03-09,INDUSTRIAL,138,58
2019-01-01,INDUSTRIAL,13,10
2019-01-28,INDUSTRIAL,20,70
2019-01-13,INDUSTRIAL,15,40
2019-02-22,INDUSTRIAL,147,6
2019-01-06,INDUSTRIAL,136,122
2019-02-17,INDUSTRIAL,122,9
2019-02-27,INDUSTRIAL,2,57
2019-03-11,INDUSTRIAL,29,80
2019-02-06,INDUSTRIAL,56,60
2019-02-03,INDUSTRIAL,9,42
2020-02-23,INDUSTRIAL,41,154
2021-01-08,INDUSTRIAL,3618,166
2020-03-15,INDUSTRIAL,273,150
2019-03-05,INDUSTRIAL,242,35
2020-09-23,INDUSTRIAL,367,13
2019-01-21,INDUSTRIAL,60,55
2019-02-12,INDUSTRIAL,163,64
2019-01-15,INDUSTRIAL,110,4
2019-03-06,INDUSTRIAL,273,61
2019-02-22,INDUSTRIAL,3397,97
2019-01-20,INDUSTRIAL,584,34
2019-02-24,INDUSTRIAL,89,50
2020-03-18,INDUSTRIAL,90,22
2019-03-21,INDUSTRIAL,216,85
2019-02-06,INDUSTRIAL,3244,116
2019-07-28,INDUSTRIAL,17,139
2019-01-15,INDUSTRIAL,172,69
2019-01-06,INDUSTRIAL,220,71
2019-02-06,INDUSTRIAL,16,81
2020-10-09,INDUSTRIAL,17170,159
2019-02-28,INDUSTRIAL,157,126
2019-02-06,INDUSTRIAL,84,79
2020-08-21,INDUSTRIAL,7600,135
2019-03-05,INDUSTRIAL,758,63
2021-10-22,INDUSTRIAL,161,189
2019-01-02,INDUSTRIAL,342,48
2019-02-10,INDUSTRIAL,834,105
2019-02-26,INDUSTRIAL,429,86
2019-07-12,INDUSTRIAL,729,129
2019-01-20,INDUSTRIAL,81,66
2019-01-13,INDUSTRIAL,66,74
2021-09-23,INDUSTRIAL,88,191
2019-02-10,INDUSTRIAL,3,59
2021-02-11,INDUSTRIAL,157,188
2019-01-12,INDUSTRIAL,87,95
2021-04-19,INDUSTRIAL,53,193
2019-01-27,INDUSTRIAL,1,8
2019-02-10,INDUSTRIAL,1317,52
2019-02-13,INDUSTRIAL,387,106
2020-02-29,INDUSTRIAL,8854,28
2020-06-19,INDUSTRIAL,155,33
2021-10-23,INDUSTRIAL,61,90
2019-08-17,INDUSTRIAL,250,140
2019-03-07,INDUSTRIAL,3,0
2019-01-04,INDUSTRIAL,80,114
2019-01-01,INDUSTRIAL,4,108
2019-01-08,INDUSTRIAL,412,67
2019-04-22,INDUSTRIAL,88,87
2019-02-23,INDUSTRIAL,5407,120
2019-03-05,INDUSTRIAL,407,43
2019-01-21,INDUSTRIAL,1609,10
2019-01-08,INDUSTRIAL,17,70
2019-01-27,INDUSTRIAL,10,40
2019-02-18,INDUSTRIAL,243,6
2019-01-20,INDUSTRIAL,253,122
2019-02-01,INDUSTRIAL,21,9
2019-02-12,INDUSTRIAL,6,57
2019-03-13,INDUSTRIAL,5,80
2019-02-05,INDUSTRIAL,43,60
2019-02-02,INDUSTRIAL,102,42
2020-02-27,INDUSTRIAL,2109,154
2021-01-07,INDUSTRIAL,3706,166
2020-03-13,INDUSTRIAL,146,150
2019-03-04,INDUSTRIAL,189,35
