FECHA,USO,CONSUMO,ID_CONTADOR
2020-12-03,INDUSTRIAL,742,12
2019-02-05,INDUSTRIAL,440,192
2020-12-10,INDUSTRIAL,349,13
2019-01-13,INDUSTRIAL,652,92
2019-09-26,INDUSTRIAL,6412,97
2021-01-02,INDUSTRIAL,441,142
2019-09-26,INDUSTRIAL,6297,185
2020-12-03,INDUSTRIAL,95,55
2019-05-30,INDUSTRIAL,5950,95
2020-02-04,INDUSTRIAL,1320,43
2020-12-27,INDUSTRIAL,364,83
2020-12-29,INDUSTRIAL,158,119
2021-02-28,INDUSTRIAL,17,155
2019-03-31,INDUSTRIAL,14594,177
2020-12-11,INDUSTRIAL,842,115
2019-03-25,INDUSTRIAL,30,189
2021-01-19,INDUSTRIAL,59,114
2020-12-02,INDUSTRIAL,24,131
2020-07-22,INDUSTRIAL,587,204
2019-02-25,INDUSTRIAL,30,191
2019-02-27,INDUSTRIAL,14590,183
2021-02-01,INDUSTRIAL,5,17
2020-12-24,INDUSTRIAL,754,156
2019-06-19,INDUSTRIAL,8249,116
2019-05-30,INDUSTRIAL,36850,196
2020-12-10,INDUSTRIAL,35,126
2019-02-17,INDUSTRIAL,14502,94
2020-03-31,INDUSTRIAL,51963,179
2020-12-11,INDUSTRIAL,216,21
2019-08-18,INDUSTRIAL,520,195
2020-12-05,INDUSTRIAL,185,98
2019-07-30,INDUSTRIAL,211,90
2019-01-03,INDUSTRIAL,99,89
2021-05-22,INDUSTRIAL,5,210
2019-02-26,INDUSTRIAL,22626,3
2020-12-21,INDUSTRIAL,2155,152
2021-03-09,INDUSTRIAL,-54,96
2019-03-22,INDUSTRIAL,229,5
2019-03-09,INDUSTRIAL,5144,176
2020-12-27,INDUSTRIAL,10,15
2019-03-31,INDUSTRIAL,23563,4
2021-01-09,INDUSTRIAL,1312,62
2019-07-27,INDUSTRIAL,40520,190
2019-10-05,INDUSTRIAL,4040,201
2019-01-11,INDUSTRIAL,140230,198
2019-03-14,INDUSTRIAL,7685,193
2020-12-13,INDUSTRIAL,411,53
2020-12-21,INDUSTRIAL,126,44
2019-06-22,INDUSTRIAL,3014,194
2019-01-21,INDUSTRIAL,5882,181
2020-12-03,INDUSTRIAL,1,6
2019-03-31,INDUSTRIAL,24153,175
2020-12-18,INDUSTRIAL,1,50
2019-02-17,INDUSTRIAL,34,86
2020-05-27,INDUSTRIAL,9546,182
2020-12-12,INDUSTRIAL,30,52
2020-12-07,INDUSTRIAL,109,28
2019-02-13,INDUSTRIAL,98,0
2021-01-26,INDUSTRIAL,513,12
2019-02-06,INDUSTRIAL,200,192
2020-12-11,INDUSTRIAL,386,13
2019-01-12,INDUSTRIAL,881,92
2019-09-29,INDUSTRIAL,3468,97
2021-01-17,INDUSTRIAL,414,142
2019-09-20,INDUSTRIAL,43403,185
2020-12-14,INDUSTRIAL,51,55
2019-05-31,INDUSTRIAL,10780,95
2020-02-17,INDUSTRIAL,26360,43
2020-12-31,INDUSTRIAL,359,83
2020-12-30,INDUSTRIAL,86,119
2021-02-26,INDUSTRIAL,1281,155
2019-03-26,INDUSTRIAL,10351,177
2020-12-04,INDUSTRIAL,54,147
2020-12-10,INDUSTRIAL,227,49
2021-01-14,INDUSTRIAL,109,114
2021-01-25,INDUSTRIAL,259,131
2020-07-27,INDUSTRIAL,1679,204
2019-02-26,INDUSTRIAL,16137,191
2019-02-19,INDUSTRIAL,8537,183
2021-02-02,INDUSTRIAL,4,17
2020-12-28,INDUSTRIAL,1638,156
2019-06-23,INDUSTRIAL,536,116
2019-05-10,INDUSTRIAL,37400,196
2020-12-11,INDUSTRIAL,43,126
2019-02-09,INDUSTRIAL,14731,94
2020-03-30,INDUSTRIAL,50460,179
2020-12-09,INDUSTRIAL,439,21
2019-08-13,INDUSTRIAL,5860,195
2020-12-03,INDUSTRIAL,414,98
2019-07-20,INDUSTRIAL,1,90
2019-01-05,INDUSTRIAL,12,89
2021-05-23,INDUSTRIAL,4,210
2019-02-10,INDUSTRIAL,31347,3
2021-01-23,INDUSTRIAL,10,152
2021-03-10,INDUSTRIAL,-22,96
2019-03-15,INDUSTRIAL,278,5
2019-03-02,INDUSTRIAL,4400,176
2020-12-29,INDUSTRIAL,577,54
2019-03-06,INDUSTRIAL,28515,4
2021-01-12,INDUSTRIAL,979,62
2019-07-12,INDUSTRIAL,53740,190
2019-10-15,INDUSTRIAL,10270,201
2019-01-21,INDUSTRIAL,146030,198
2019-03-01,INDUSTRIAL,9560,193
2020-12-20,INDUSTRIAL,396,149
2020-12-20,INDUSTRIAL,4,44
2019-06-29,INDUSTRIAL,3410,194
2019-01-31,INDUSTRIAL,5915,181
2020-12-05,INDUSTRIAL,1,6
2019-03-09,INDUSTRIAL,41373,175
2021-04-17,INDUSTRIAL,5,50
2019-02-14,INDUSTRIAL,799,86
2020-05-10,INDUSTRIAL,574,182
2020-12-18,INDUSTRIAL,245,52
2020-12-11,INDUSTRIAL,345,77
2019-02-11,INDUSTRIAL,118,0
2021-01-28,INDUSTRIAL,1435,12
2019-02-20,INDUSTRIAL,945,192
2020-12-06,INDUSTRIAL,18,13
2019-01-27,INDUSTRIAL,642,92
2019-09-28,INDUSTRIAL,4726,97
2021-01-07,INDUSTRIAL,259,142
2019-09-13,INDUSTRIAL,31348,185
2020-12-06,INDUSTRIAL,4,55
2019-05-23,INDUSTRIAL,10300,95
2020-02-19,INDUSTRIAL,38210,43
2020-12-24,INDUSTRIAL,364,83
2020-12-16,INDUSTRIAL,111,119
2021-02-27,INDUSTRIAL,16,155
2019-03-30,INDUSTRIAL,17349,177
2020-12-04,INDUSTRIAL,874,115
2020-12-11,INDUSTRIAL,199,49
2021-01-16,INDUSTRIAL,2,114
2021-01-05,INDUSTRIAL,333,131
2020-07-26,INDUSTRIAL,282,204
2019-02-27,INDUSTRIAL,272,191
2019-02-26,INDUSTRIAL,14584,183
2021-02-04,INDUSTRIAL,4,17
2020-12-22,INDUSTRIAL,1707,156
2019-06-16,INDUSTRIAL,666,116
2019-05-24,INDUSTRIAL,36310,196
2020-12-04,INDUSTRIAL,49,126
2019-02-10,INDUSTRIAL,13506,94
2020-03-29,INDUSTRIAL,48230,179
2020-12-10,INDUSTRIAL,967,21
2019-08-12,INDUSTRIAL,310,195
2020-12-04,INDUSTRIAL,709,98
2019-07-26,INDUSTRIAL,285,90
2019-01-06,INDUSTRIAL,14,89
2021-05-24,INDUSTRIAL,5,210
2019-02-23,INDUSTRIAL,9332,3
2020-12-03,INDUSTRIAL,39,78
2021-03-11,INDUSTRIAL,-3,96
2019-03-17,INDUSTRIAL,254,5
2019-03-12,INDUSTRIAL,5137,176
2020-12-04,INDUSTRIAL,2186,15
2019-03-13,INDUSTRIAL,32948,4
2021-01-02,INDUSTRIAL,2640,62
2019-07-20,INDUSTRIAL,40370,190
2019-10-09,INDUSTRIAL,11240,201
2019-01-15,INDUSTRIAL,125240,198
2019-03-27,INDUSTRIAL,50218,193
2020-12-12,INDUSTRIAL,762,53
2020-12-23,INDUSTRIAL,114,44
2019-06-30,INDUSTRIAL,4194,194
2019-01-03,INDUSTRIAL,6103,181
2020-12-04,INDUSTRIAL,1,6
2019-03-10,INDUSTRIAL,19100,175
2021-04-22,INDUSTRIAL,12,50
2019-02-28,INDUSTRIAL,634,86
2020-05-14,INDUSTRIAL,586,182
2020-12-10,INDUSTRIAL,132,52
2020-12-07,INDUSTRIAL,3,77
2019-02-25,INDUSTRIAL,199,0
2021-01-24,INDUSTRIAL,15,12
2019-02-27,INDUSTRIAL,1809,192
2020-12-08,INDUSTRIAL,41,13
2019-01-07,INDUSTRIAL,957,92
2019-09-27,INDUSTRIAL,8478,97
2021-01-03,INDUSTRIAL,218,142
2019-09-16,INDUSTRIAL,52514,185
2020-12-12,INDUSTRIAL,4,55
2019-05-28,INDUSTRIAL,9350,95
2020-02-16,INDUSTRIAL,41560,43
2020-12-21,INDUSTRIAL,365,83
2020-12-05,INDUSTRIAL,86,51
2021-03-12,INDUSTRIAL,1284,155
2019-03-08,INDUSTRIAL,5866,177
2020-12-09,INDUSTRIAL,63,147
2020-12-11,INDUSTRIAL,562,99
2021-01-11,INDUSTRIAL,79,114
2021-02-26,INDUSTRIAL,92,131
2020-07-28,INDUSTRIAL,3731,204
2019-02-24,INDUSTRIAL,1,191
2019-02-05,INDUSTRIAL,4256,183
2021-02-06,INDUSTRIAL,3,17
2020-12-21,INDUSTRIAL,567,156
2019-06-30,INDUSTRIAL,686,116
2019-05-27,INDUSTRIAL,36930,196
2020-12-09,INDUSTRIAL,63,126
2019-02-23,INDUSTRIAL,12684,94
2020-03-28,INDUSTRIAL,50094,179
2020-12-04,INDUSTRIAL,946,21
2020-03-07,INDUSTRIAL,280,195
2020-12-08,INDUSTRIAL,2,98
2019-07-08,INDUSTRIAL,60425,90
2019-01-16,INDUSTRIAL,3311,89
2021-05-25,INDUSTRIAL,31,210
2019-02-28,INDUSTRIAL,48295,3
2020-12-04,INDUSTRIAL,54,78
2021-03-12,INDUSTRIAL,-10,96
2019-03-26,INDUSTRIAL,288,5
2019-03-04,INDUSTRIAL,4310,176
2020-12-15,INDUSTRIAL,1852,15
2019-03-30,INDUSTRIAL,20486,4
2021-01-23,INDUSTRIAL,2920,62
2019-07-18,INDUSTRIAL,42350,190
2019-10-21,INDUSTRIAL,10410,201
2019-01-31,INDUSTRIAL,153910,198
2019-03-22,INDUSTRIAL,5976,193
2020-12-16,INDUSTRIAL,566,53
2020-12-25,INDUSTRIAL,5,44
2019-06-20,INDUSTRIAL,828,194
2019-01-09,INDUSTRIAL,5968,181
2020-12-11,INDUSTRIAL,152,122
2019-03-07,INDUSTRIAL,86663,175
2021-04-21,INDUSTRIAL,58,50
2019-02-19,INDUSTRIAL,527,86
2020-05-01,INDUSTRIAL,3377,182
2020-12-08,INDUSTRIAL,24,52
2020-12-03,INDUSTRIAL,469,77
2019-02-15,INDUSTRIAL,192,0
2021-01-06,INDUSTRIAL,44,12
2019-02-19,INDUSTRIAL,1869,192
2020-12-03,INDUSTRIAL,498,13
2019-01-03,INDUSTRIAL,1150,92
2019-09-30,INDUSTRIAL,7496,97
2021-01-16,INDUSTRIAL,354,142
2019-09-22,INDUSTRIAL,66,185
2020-12-04,INDUSTRIAL,46,55
2019-05-26,INDUSTRIAL,310,95
2020-02-14,INDUSTRIAL,40390,43
2020-12-25,INDUSTRIAL,361,83
2020-12-12,INDUSTRIAL,85,119
2021-03-10,INDUSTRIAL,1572,155
2019-03-11,INDUSTRIAL,7863,177
2020-12-03,INDUSTRIAL,106,147
2020-12-21,INDUSTRIAL,562,99
2021-01-18,INDUSTRIAL,105,114
2021-03-09,INDUSTRIAL,275,131
2020-07-25,INDUSTRIAL,2630,204
2019-02-21,INDUSTRIAL,2,191
2019-02-12,INDUSTRIAL,5312,183
2021-02-08,INDUSTRIAL,5,17
2020-12-27,INDUSTRIAL,2716,156
2019-06-09,INDUSTRIAL,399,116
2019-05-02,INDUSTRIAL,37890,196
2020-12-03,INDUSTRIAL,124,126
2019-02-18,INDUSTRIAL,16658,94
2020-03-27,INDUSTRIAL,51633,179
2020-12-16,INDUSTRIAL,277,21
2020-08-26,INDUSTRIAL,260,195
2020-12-07,INDUSTRIAL,10,98
2019-07-27,INDUSTRIAL,1,90
2019-01-07,INDUSTRIAL,17,89
2021-05-30,INDUSTRIAL,4,210
2019-02-05,INDUSTRIAL,24095,3
2020-12-08,INDUSTRIAL,5,78
2021-03-15,INDUSTRIAL,-5,96
2019-03-11,INDUSTRIAL,172,5
2019-03-11,INDUSTRIAL,5358,176
2020-12-18,INDUSTRIAL,2177,15
2019-03-27,INDUSTRIAL,29528,4
2021-01-16,INDUSTRIAL,2662,62
2019-07-24,INDUSTRIAL,27360,190
2019-10-08,INDUSTRIAL,11200,201
2019-01-04,INDUSTRIAL,181360,198
2019-03-03,INDUSTRIAL,3650,193
2020-12-25,INDUSTRIAL,450,53
2020-12-10,INDUSTRIAL,73,44
2019-06-25,INDUSTRIAL,2647,194
2019-01-29,INDUSTRIAL,5908,181
2020-12-11,INDUSTRIAL,114,118
2019-03-08,INDUSTRIAL,57723,175
2021-04-09,INDUSTRIAL,85,50
2019-02-11,INDUSTRIAL,962,86
2020-05-24,INDUSTRIAL,649,182
2020-12-07,INDUSTRIAL,65,52
2020-12-06,INDUSTRIAL,3,77
2019-02-04,INDUSTRIAL,139,0
2021-01-22,INDUSTRIAL,768,12
2019-02-26,INDUSTRIAL,1774,192
2020-12-09,INDUSTRIAL,389,13
2019-01-24,INDUSTRIAL,1362,92
2019-11-08,INDUSTRIAL,22366,101
2021-01-18,INDUSTRIAL,643,142
2019-09-30,INDUSTRIAL,62941,185
2020-12-13,INDUSTRIAL,4,55
2019-05-27,INDUSTRIAL,5730,95
2020-02-09,INDUSTRIAL,71970,43
2020-12-19,INDUSTRIAL,373,83
2020-12-04,INDUSTRIAL,69,119
2021-03-09,INDUSTRIAL,1544,155
2019-03-15,INDUSTRIAL,13975,177
2020-12-18,INDUSTRIAL,644,115
2020-12-04,INDUSTRIAL,224,49
2021-01-28,INDUSTRIAL,15,114
2021-03-10,INDUSTRIAL,485,131
2020-07-23,INDUSTRIAL,2059,204
2019-02-18,INDUSTRIAL,3,191
2019-02-21,INDUSTRIAL,1,183
2020-12-23,INDUSTRIAL,45,17
2020-12-02,INDUSTRIAL,812,156
2019-06-10,INDUSTRIAL,197,116
2019-05-01,INDUSTRIAL,36180,196
2020-12-18,INDUSTRIAL,729,57
2019-02-12,INDUSTRIAL,15196,94
2020-03-26,INDUSTRIAL,53590,179
2020-12-15,INDUSTRIAL,568,21
2020-12-09,INDUSTRIAL,574,98
2019-07-22,INDUSTRIAL,31573,90
2019-01-14,INDUSTRIAL,3835,89
2021-05-31,INDUSTRIAL,51,210
2019-02-14,INDUSTRIAL,24786,3
2020-12-07,INDUSTRIAL,32,78
2021-03-16,INDUSTRIAL,-4,96
2019-03-01,INDUSTRIAL,262,5
2019-03-16,INDUSTRIAL,6622,176
2020-12-14,INDUSTRIAL,1946,15
2019-03-26,INDUSTRIAL,26820,4
2021-01-22,INDUSTRIAL,1388,62
2019-07-21,INDUSTRIAL,52340,190
2019-10-24,INDUSTRIAL,10730,201
2019-01-08,INDUSTRIAL,173640,198
2019-03-25,INDUSTRIAL,83980,193
2020-12-27,INDUSTRIAL,574,53
2020-12-10,INDUSTRIAL,488,146
2019-06-26,INDUSTRIAL,6707,194
2019-01-12,INDUSTRIAL,6054,181
2020-12-08,INDUSTRIAL,135,118
2019-03-18,INDUSTRIAL,92870,175
2021-05-20,INDUSTRIAL,23,50
2019-02-23,INDUSTRIAL,32,86
2020-05-13,INDUSTRIAL,625,182
2020-12-06,INDUSTRIAL,6,52
2020-12-28,INDUSTRIAL,326,77
2019-02-07,INDUSTRIAL,158,0
2021-01-10,INDUSTRIAL,41,12
2019-02-22,INDUSTRIAL,1757,192
2020-12-09,INDUSTRIAL,855,20
2019-01-22,INDUSTRIAL,447,92
2019-11-03,INDUSTRIAL,10117,101
2021-01-08,INDUSTRIAL,539,142
2019-09-21,INDUSTRIAL,170,185
2020-12-11,INDUSTRIAL,11,55
2019-05-22,INDUSTRIAL,10160,95
2020-02-11,INDUSTRIAL,37810,43
2020-12-28,INDUSTRIAL,368,83
2020-12-19,INDUSTRIAL,172,119
2021-03-11,INDUSTRIAL,1389,155
2019-03-22,INDUSTRIAL,11898,177
2020-12-14,INDUSTRIAL,662,115
2020-12-15,INDUSTRIAL,278,49
2021-01-25,INDUSTRIAL,18,114
2021-03-15,INDUSTRIAL,343,131
2020-07-24,INDUSTRIAL,1,204
2019-02-28,INDUSTRIAL,3568,191
2019-02-15,INDUSTRIAL,2,183
2020-12-04,INDUSTRIAL,97,17
2020-12-07,INDUSTRIAL,747,156
2019-06-24,INDUSTRIAL,566,116
2019-05-17,INDUSTRIAL,2850,196
2020-12-14,INDUSTRIAL,103,126
2019-02-22,INDUSTRIAL,15268,94
2020-03-25,INDUSTRIAL,53403,179
2020-12-17,INDUSTRIAL,393,21
2020-12-10,INDUSTRIAL,484,98
2019-07-28,INDUSTRIAL,1,90
2019-01-04,INDUSTRIAL,117,89
2021-05-29,INDUSTRIAL,5,210
2019-02-27,INDUSTRIAL,29677,3
2020-12-09,INDUSTRIAL,45,78
2021-03-29,INDUSTRIAL,-27,96
2019-03-12,INDUSTRIAL,188,5
2019-03-26,INDUSTRIAL,15067,176
2020-12-16,INDUSTRIAL,2004,15
2019-03-20,INDUSTRIAL,41796,4
2021-01-01,INDUSTRIAL,1047,62
2019-07-23,INDUSTRIAL,39350,190
2019-10-20,INDUSTRIAL,310,201
2019-01-26,INDUSTRIAL,158850,198
2019-03-30,INDUSTRIAL,5532,193
2020-12-20,INDUSTRIAL,745,53
2020-12-04,INDUSTRIAL,1009,146
2019-06-27,INDUSTRIAL,7262,194
2019-01-26,INDUSTRIAL,5954,181
2020-12-03,INDUSTRIAL,59,118
2019-03-02,INDUSTRIAL,41332,175
2021-05-19,INDUSTRIAL,11,50
2019-02-18,INDUSTRIAL,790,86
2020-05-02,INDUSTRIAL,638,182
