FECHA,USO,CONSUMO,ID_CONTADOR
2020-02-15,INDUSTRIAL,52,14
2020-03-14,INDUSTRIAL,153,48
2020-05-21,INDUSTRIAL,33,45
2020-02-15,INDUSTRIAL,46,26
2020-02-04,INDUSTRIAL,4919,53
2019-01-21,INDUSTRIAL,4131,68
2020-04-14,INDUSTRIAL,2,18
2020-02-29,INDUSTRIAL,242,58
2019-03-13,INDUSTRIAL,11611,77
2019-03-15,INDUSTRIAL,2108,83
2019-08-20,INDUSTRIAL,12,75
2020-04-24,INDUSTRIAL,6,29
2020-02-29,INDUSTRIAL,416,38
2019-02-28,INDUSTRIAL,63,3
2020-04-25,INDUSTRIAL,375,2
2020-02-08,INDUSTRIAL,6,65
2020-06-17,INDUSTRIAL,439,61
2019-02-06,INDUSTRIAL,5,72
2020-09-15,INDUSTRIAL,79,6
2019-08-05,INDUSTRIAL,38924,78
2019-02-12,INDUSTRIAL,93,66
2020-02-24,INDUSTRIAL,249,1
2020-08-26,INDUSTRIAL,135,8
2020-08-06,INDUSTRIAL,42,22
2019-01-01,INDUSTRIAL,454,74
2019-07-20,INDUSTRIAL,6,76
2020-07-29,INDUSTRIAL,5713,62
2019-03-05,INDUSTRIAL,13,67
2019-03-28,INDUSTRIAL,49,70
2020-02-19,INDUSTRIAL,317,12
2020-03-11,INDUSTRIAL,22,44
2020-05-25,INDUSTRIAL,26,79
2020-02-22,INDUSTRIAL,27,32
2020-02-13,INDUSTRIAL,56,50
2020-02-14,INDUSTRIAL,402,54
2020-07-02,INDUSTRIAL,33,39
2019-03-31,INDUSTRIAL,1047,81
2020-02-15,INDUSTRIAL,197,33
2019-01-24,INDUSTRIAL,4375,82
2020-02-27,INDUSTRIAL,1045,34
2020-03-17,INDUSTRIAL,219,40
2019-03-29,INDUSTRIAL,26,71
2020-02-22,INDUSTRIAL,16,14
2020-03-17,INDUSTRIAL,163,48
2020-05-29,INDUSTRIAL,56,27
2020-02-14,INDUSTRIAL,140,26
2020-02-29,INDUSTRIAL,10511,53
2019-01-17,INDUSTRIAL,6,68
2020-04-08,INDUSTRIAL,1,23
2020-02-27,INDUSTRIAL,664,13
2019-03-11,INDUSTRIAL,7696,77
2019-03-18,INDUSTRIAL,1054,83
2019-08-05,INDUSTRIAL,10,75
2020-04-23,INDUSTRIAL,4,29
2020-02-23,INDUSTRIAL,149,38
2019-02-25,INDUSTRIAL,58,3
2020-04-01,INDUSTRIAL,601,2
2020-02-06,INDUSTRIAL,110,65
2020-06-07,INDUSTRIAL,448,61
2019-02-17,INDUSTRIAL,95,72
2020-04-14,INDUSTRIAL,44,6
2019-08-08,INDUSTRIAL,54182,78
2019-02-24,INDUSTRIAL,54,66
2020-02-03,INDUSTRIAL,294,7
2020-08-25,INDUSTRIAL,127,8
2020-08-07,INDUSTRIAL,39,22
2019-01-13,INDUSTRIAL,13,74
2019-07-21,INDUSTRIAL,1,76
2020-07-30,INDUSTRIAL,5763,62
2019-06-25,INDUSTRIAL,9,67
2019-03-04,INDUSTRIAL,11,70
2020-02-25,INDUSTRIAL,291,12
2020-03-20,INDUSTRIAL,1136,24
2020-05-29,INDUSTRIAL,2362,79
2020-02-11,INDUSTRIAL,516,32
2020-02-21,INDUSTRIAL,14,50
2020-02-21,INDUSTRIAL,601,41
2020-07-03,INDUSTRIAL,42,39
2019-03-30,INDUSTRIAL,703,81
2020-02-27,INDUSTRIAL,289,33
2019-01-23,INDUSTRIAL,1925,82
2020-02-28,INDUSTRIAL,734,34
2020-03-04,INDUSTRIAL,253,40
2019-03-09,INDUSTRIAL,231,71
2020-02-13,INDUSTRIAL,244,14
2020-03-28,INDUSTRIAL,15,43
