FECHA,USO,CONSUMO,ID_CONTADOR
2020-11-09,INDUSTRIAL,506400,3
2021-06-26,INDUSTRIAL,13908,2
2021-10-07,INDUSTRIAL,44000,0
2021-01-29,INDUSTRIAL,534700,3
2020-12-10,INDUSTRIAL,433000,0
2020-12-16,INDUSTRIAL,6307,2
2020-11-16,INDUSTRIAL,496000,0
2021-02-03,INDUSTRIAL,796200,3
2021-02-10,INDUSTRIAL,2208,1
2021-02-12,INDUSTRIAL,383000,0
2020-09-13,INDUSTRIAL,1045400,3
2021-04-30,INDUSTRIAL,3741,1
2021-12-07,INDUSTRIAL,7082,2
2021-03-10,INDUSTRIAL,3409,1
2021-12-07,INDUSTRIAL,23000,0
2020-08-11,INDUSTRIAL,8429,1
2020-11-11,INDUSTRIAL,1138000,0
2021-07-17,INDUSTRIAL,817500,3
2020-09-09,INDUSTRIAL,3198,1
2021-04-13,INDUSTRIAL,872000,0
2021-09-13,INDUSTRIAL,678400,3
2020-09-14,INDUSTRIAL,570500,3
2019-02-22,INDUSTRIAL,637500,3
2020-05-16,INDUSTRIAL,777000,0
2021-05-31,INDUSTRIAL,669300,3
2020-12-06,INDUSTRIAL,449000,0
2021-01-17,INDUSTRIAL,633700,3
2021-09-18,INDUSTRIAL,8702,2
2019-03-30,INDUSTRIAL,4853,1
2021-06-24,INDUSTRIAL,42000,0
2021-10-07,INDUSTRIAL,4398,1
2020-09-12,INDUSTRIAL,122800,3
2021-03-08,INDUSTRIAL,6595,2
2021-11-09,INDUSTRIAL,24000,0
2020-10-05,INDUSTRIAL,549000,3
2021-10-08,INDUSTRIAL,44000,0
2020-07-26,INDUSTRIAL,13473,2
2021-03-12,INDUSTRIAL,7008,2
2021-01-29,INDUSTRIAL,2289,1
2021-11-02,INDUSTRIAL,7368,2
2021-08-06,INDUSTRIAL,10937,2
2020-11-18,INDUSTRIAL,444000,0
2021-07-21,INDUSTRIAL,11297,1
2021-01-29,INDUSTRIAL,404000,0
2021-11-02,INDUSTRIAL,4785,1
2020-11-03,INDUSTRIAL,139000,0
2020-11-03,INDUSTRIAL,488500,3
2021-06-25,INDUSTRIAL,12579,2
2021-10-06,INDUSTRIAL,43000,0
2021-01-28,INDUSTRIAL,733400,3
2021-01-10,INDUSTRIAL,9196,2
2020-11-15,INDUSTRIAL,395000,0
2021-02-12,INDUSTRIAL,570100,3
2021-02-12,INDUSTRIAL,2609,1
2021-02-11,INDUSTRIAL,350000,0
2021-04-29,INDUSTRIAL,3399,1
2021-12-06,INDUSTRIAL,7227,2
2021-03-09,INDUSTRIAL,2566,1
2021-12-05,INDUSTRIAL,26000,0
2020-08-10,INDUSTRIAL,6296,1
2021-07-20,INDUSTRIAL,829700,3
2020-09-25,INDUSTRIAL,2810,1
2020-09-04,INDUSTRIAL,390000,0
2021-09-12,INDUSTRIAL,753600,3
2020-09-03,INDUSTRIAL,608300,3
2019-02-19,INDUSTRIAL,647900,3
2019-01-01,INDUSTRIAL,82000,0
2021-05-29,INDUSTRIAL,747100,3
2020-12-05,INDUSTRIAL,334000,0
2021-01-16,INDUSTRIAL,604100,3
2021-10-07,INDUSTRIAL,7242,2
2019-03-10,INDUSTRIAL,3341,1
2021-06-23,INDUSTRIAL,15000,0
2021-10-06,INDUSTRIAL,3640,1
2021-01-30,INDUSTRIAL,6635,2
2021-03-07,INDUSTRIAL,7306,2
2021-07-08,INDUSTRIAL,54000,0
2020-10-02,INDUSTRIAL,484800,3
2021-06-11,INDUSTRIAL,7030,1
2020-07-28,INDUSTRIAL,6397,2
2021-03-11,INDUSTRIAL,7043,2
2021-01-28,INDUSTRIAL,2006,1
2021-11-07,INDUSTRIAL,9603,2
2021-08-05,INDUSTRIAL,12048,2
2021-07-20,INDUSTRIAL,7540,1
2021-01-16,INDUSTRIAL,470000,0
2021-11-07,INDUSTRIAL,4114,1
2020-11-08,INDUSTRIAL,393000,0
2020-11-07,INDUSTRIAL,517700,3
2021-06-30,INDUSTRIAL,10928,2
2021-10-05,INDUSTRIAL,45000,0
2021-01-06,INDUSTRIAL,9455,2
2020-11-13,INDUSTRIAL,485000,0
2021-02-11,INDUSTRIAL,661100,3
2021-02-11,INDUSTRIAL,2330,1
2021-02-10,INDUSTRIAL,354000,0
2021-04-16,INDUSTRIAL,4209,1
2021-12-05,INDUSTRIAL,6684,2
2021-03-20,INDUSTRIAL,3614,1
2021-12-01,INDUSTRIAL,27000,0
2020-08-09,INDUSTRIAL,11421,1
2021-07-19,INDUSTRIAL,799800,3
2020-09-24,INDUSTRIAL,3655,1
2020-09-07,INDUSTRIAL,405000,0
2021-09-11,INDUSTRIAL,718100,3
2020-09-02,INDUSTRIAL,679400,3
2019-02-10,INDUSTRIAL,684200,3
2019-01-17,INDUSTRIAL,105000,0
2021-05-30,INDUSTRIAL,766000,3
2020-12-08,INDUSTRIAL,511000,0
2021-01-20,INDUSTRIAL,535100,3
2021-10-03,INDUSTRIAL,9708,2
2019-03-23,INDUSTRIAL,3511,1
2021-06-22,INDUSTRIAL,18000,0
2021-10-05,INDUSTRIAL,3048,1
2021-01-31,INDUSTRIAL,7423,2
2021-03-06,INDUSTRIAL,8025,2
2020-10-06,INDUSTRIAL,541200,3
2021-06-10,INDUSTRIAL,5768,1
2020-07-25,INDUSTRIAL,10597,2
2021-03-10,INDUSTRIAL,7227,2
2020-12-15,INDUSTRIAL,444000,0
2021-11-06,INDUSTRIAL,7628,2
2021-08-04,INDUSTRIAL,10323,2
2021-07-19,INDUSTRIAL,7137,1
2021-01-22,INDUSTRIAL,422000,0
2021-11-06,INDUSTRIAL,3370,1
2020-11-09,INDUSTRIAL,392000,0
2020-11-02,INDUSTRIAL,606200,3
2021-06-29,INDUSTRIAL,15417,2
2021-10-04,INDUSTRIAL,43000,0
2021-01-21,INDUSTRIAL,7369,2
2020-11-14,INDUSTRIAL,489000,0
2021-02-10,INDUSTRIAL,485800,3
2021-02-09,INDUSTRIAL,2167,1
2021-02-09,INDUSTRIAL,345000,0
2021-04-14,INDUSTRIAL,3273,1
2021-12-04,INDUSTRIAL,7353,2
2021-03-22,INDUSTRIAL,3103,1
2021-12-06,INDUSTRIAL,26000,0
2020-08-03,INDUSTRIAL,3095,1
2021-07-18,INDUSTRIAL,910700,3
2020-09-29,INDUSTRIAL,3398,1
2020-09-05,INDUSTRIAL,153000,0
2021-09-10,INDUSTRIAL,637500,3
2020-09-04,INDUSTRIAL,557900,3
2019-02-23,INDUSTRIAL,697500,3
2019-01-23,INDUSTRIAL,109000,0
2021-05-12,INDUSTRIAL,582500,3
2020-12-09,INDUSTRIAL,426000,0
2021-01-21,INDUSTRIAL,520400,3
2021-10-02,INDUSTRIAL,9248,2
2019-03-24,INDUSTRIAL,5010,1
2021-06-20,INDUSTRIAL,20000,0
2021-10-04,INDUSTRIAL,3623,1
2021-02-12,INDUSTRIAL,6819,2
2021-03-05,INDUSTRIAL,7111,2
2020-10-07,INDUSTRIAL,531200,3
2021-06-08,INDUSTRIAL,7170,1
2020-07-27,INDUSTRIAL,7140,2
2021-03-09,INDUSTRIAL,7456,2
2020-12-17,INDUSTRIAL,424000,0
2021-11-05,INDUSTRIAL,6198,2
2021-08-03,INDUSTRIAL,10550,2
2021-07-18,INDUSTRIAL,9147,1
2021-01-19,INDUSTRIAL,1036000,0
2021-11-05,INDUSTRIAL,3997,1
2020-11-07,INDUSTRIAL,396000,0
2020-11-08,INDUSTRIAL,613300,3
2021-06-28,INDUSTRIAL,13570,2
2021-10-03,INDUSTRIAL,43000,0
2021-01-05,INDUSTRIAL,8156,2
2020-11-17,INDUSTRIAL,441000,0
2021-02-09,INDUSTRIAL,564500,3
2021-02-08,INDUSTRIAL,3184,1
2021-01-30,INDUSTRIAL,457000,0
2021-04-13,INDUSTRIAL,3334,1
2021-12-03,INDUSTRIAL,7216,2
2021-03-24,INDUSTRIAL,3628,1
2021-12-03,INDUSTRIAL,26000,0
2020-08-01,INDUSTRIAL,10490,1
2021-07-16,INDUSTRIAL,757400,3
2020-09-20,INDUSTRIAL,4562,1
2020-09-01,INDUSTRIAL,406000,0
2021-09-09,INDUSTRIAL,687100,3
2020-09-08,INDUSTRIAL,564100,3
2019-02-14,INDUSTRIAL,616100,3
2019-01-19,INDUSTRIAL,100000,0
2021-05-17,INDUSTRIAL,594400,3
2020-12-01,INDUSTRIAL,450000,0
2021-01-27,INDUSTRIAL,357800,3
2021-10-01,INDUSTRIAL,9971,2
2019-03-15,INDUSTRIAL,2602,1
2021-06-19,INDUSTRIAL,14000,0
2021-10-03,INDUSTRIAL,3499,1
2021-02-11,INDUSTRIAL,6941,2
2021-03-04,INDUSTRIAL,6092,2
2020-10-08,INDUSTRIAL,506600,3
2021-06-09,INDUSTRIAL,6368,1
2020-07-24,INDUSTRIAL,4908,2
2021-03-31,INDUSTRIAL,9692,2
2020-12-27,INDUSTRIAL,479000,0
2021-11-04,INDUSTRIAL,8065,2
2021-08-02,INDUSTRIAL,11585,2
2021-07-17,INDUSTRIAL,15502,1
2021-01-21,INDUSTRIAL,475000,0
2021-11-04,INDUSTRIAL,4257,1
2020-11-06,INDUSTRIAL,344000,0
2020-11-06,INDUSTRIAL,543500,3
2021-06-23,INDUSTRIAL,9381,2
2021-10-02,INDUSTRIAL,43000,0
2021-01-19,INDUSTRIAL,7678,2
2021-04-30,INDUSTRIAL,587000,3
2021-02-02,INDUSTRIAL,566300,3
2021-02-06,INDUSTRIAL,3212,1
2021-01-31,INDUSTRIAL,482000,0
2021-04-15,INDUSTRIAL,3042,1
2021-12-02,INDUSTRIAL,7255,2
2021-03-23,INDUSTRIAL,3985,1
2021-12-02,INDUSTRIAL,27000,0
2020-08-02,INDUSTRIAL,10185,1
2021-07-15,INDUSTRIAL,776600,3
2020-09-10,INDUSTRIAL,1505,1
2020-09-06,INDUSTRIAL,834000,0
2021-09-08,INDUSTRIAL,690800,3
2020-09-06,INDUSTRIAL,657200,3
2019-02-25,INDUSTRIAL,625600,3
2019-01-03,INDUSTRIAL,41000,0
2021-05-16,INDUSTRIAL,667100,3
2020-12-02,INDUSTRIAL,380000,0
2021-01-18,INDUSTRIAL,779800,3
2021-10-05,INDUSTRIAL,6893,2
2019-03-27,INDUSTRIAL,2718,1
2021-06-27,INDUSTRIAL,36000,0
2021-10-02,INDUSTRIAL,3844,1
2021-02-09,INDUSTRIAL,6223,2
2021-03-03,INDUSTRIAL,6389,2
2020-10-04,INDUSTRIAL,627000,3
2021-05-08,INDUSTRIAL,12161,1
2020-07-21,INDUSTRIAL,7566,2
2021-03-30,INDUSTRIAL,6499,2
2020-12-16,INDUSTRIAL,474000,0
2021-11-03,INDUSTRIAL,6488,2
2021-08-01,INDUSTRIAL,12396,2
2021-07-16,INDUSTRIAL,8875,1
2021-01-20,INDUSTRIAL,410000,0
2021-11-03,INDUSTRIAL,4722,1
2020-11-05,INDUSTRIAL,237000,0
2020-11-04,INDUSTRIAL,524900,3
2021-06-22,INDUSTRIAL,10179,2
2021-10-01,INDUSTRIAL,44000,0
2021-01-07,INDUSTRIAL,8343,2
2021-04-29,INDUSTRIAL,458000,3
2021-02-01,INDUSTRIAL,409600,3
2021-02-03,INDUSTRIAL,2503,1
2021-02-08,INDUSTRIAL,349000,0
2021-04-26,INDUSTRIAL,3383,1
2021-12-01,INDUSTRIAL,7011,2
2021-03-21,INDUSTRIAL,4442,1
2021-12-04,INDUSTRIAL,24000,0
2020-08-08,INDUSTRIAL,12236,1
2021-07-21,INDUSTRIAL,817900,3
2020-09-14,INDUSTRIAL,3577,1
2020-09-02,INDUSTRIAL,400000,0
2021-08-14,INDUSTRIAL,893000,3
