FECHA,USO,CONSUMO,ID_CONTADOR
2019-03-05,INDUSTRIAL,748,77
2019-01-25,INDUSTRIAL,298,161
2019-02-03,INDUSTRIAL,1,97
2019-03-21,INDUSTRIAL,314,64
2019-03-31,INDUSTRIAL,81,99
2019-03-06,INDUSTRIAL,12,43
2019-01-18,INDUSTRIAL,260,19
2019-01-04,INDUSTRIAL,4711,83
2019-03-26,INDUSTRIAL,1771,155
2019-03-27,INDUSTRIAL,7121,133
2019-03-25,INDUSTRIAL,514,84
2019-01-20,INDUSTRIAL,464,62
2019-03-04,INDUSTRIAL,1094,60
2019-01-01,INDUSTRIAL,6,48
2019-02-16,INDUSTRIAL,3130,153
2019-01-06,INDUSTRIAL,305,65
2019-02-19,INDUSTRIAL,379,46
2019-01-05,INDUSTRIAL,495,170
2019-03-27,INDUSTRIAL,1515,86
2019-01-06,INDUSTRIAL,15,61
2021-07-08,INDUSTRIAL,92,225
2019-01-06,INDUSTRIAL,32,63
2019-02-06,INDUSTRIAL,1687,58
2019-01-19,INDUSTRIAL,15,121
2019-03-20,INDUSTRIAL,938,119
2019-01-30,INDUSTRIAL,87,74
2019-02-18,INDUSTRIAL,26,142
2019-02-09,INDUSTRIAL,44,101
2019-01-04,INDUSTRIAL,5036,52
2019-01-19,INDUSTRIAL,300,248
2019-02-25,INDUSTRIAL,15410,148
2019-12-28,INDUSTRIAL,1505,204
2020-11-12,INDUSTRIAL,322,174
2019-01-05,INDUSTRIAL,1270,241
2019-02-27,INDUSTRIAL,1107,89
2019-01-17,INDUSTRIAL,27,59
2019-02-26,INDUSTRIAL,1411,111
2019-01-24,INDUSTRIAL,1722,90
2019-01-20,INDUSTRIAL,11,42
2019-01-07,INDUSTRIAL,4647,154
2019-01-07,INDUSTRIAL,5840,151
2019-02-11,INDUSTRIAL,2062,95
2019-01-10,INDUSTRIAL,327,108
2019-03-05,INDUSTRIAL,501,51
2019-02-06,INDUSTRIAL,17,126
2019-01-25,INDUSTRIAL,3032,122
2019-02-28,INDUSTRIAL,269,81
2019-03-25,INDUSTRIAL,9360,150
2019-01-29,INDUSTRIAL,340,17
2019-03-05,INDUSTRIAL,600,71
2019-02-10,INDUSTRIAL,113,75
2019-03-05,INDUSTRIAL,52,49
2019-01-03,INDUSTRIAL,12,156
2019-03-11,INDUSTRIAL,4187,128
2019-02-06,INDUSTRIAL,3,66
2019-03-18,INDUSTRIAL,36,56
2019-03-13,INDUSTRIAL,592,82
2019-03-03,INDUSTRIAL,3357,87
2019-01-15,INDUSTRIAL,3221,57
2019-03-08,INDUSTRIAL,1377,77
2019-01-23,INDUSTRIAL,274,161
2019-02-10,INDUSTRIAL,769,97
2019-03-05,INDUSTRIAL,285,64
2019-03-22,INDUSTRIAL,1084,99
2019-03-21,INDUSTRIAL,2476,43
2019-01-23,INDUSTRIAL,163,19
2019-01-02,INDUSTRIAL,4868,83
2019-03-04,INDUSTRIAL,2151,155
2019-03-16,INDUSTRIAL,3509,133
2019-03-12,INDUSTRIAL,2623,84
2019-01-24,INDUSTRIAL,1492,62
2019-03-03,INDUSTRIAL,544,60
2019-01-05,INDUSTRIAL,141,48
2019-02-09,INDUSTRIAL,3330,153
2019-01-27,INDUSTRIAL,95,65
2019-02-06,INDUSTRIAL,407,45
2019-01-12,INDUSTRIAL,425,170
2019-03-13,INDUSTRIAL,6118,124
2019-01-01,INDUSTRIAL,22,61
2021-07-09,INDUSTRIAL,66,225
2019-01-01,INDUSTRIAL,46,63
2019-02-13,INDUSTRIAL,2216,58
2019-01-27,INDUSTRIAL,16,121
2019-03-08,INDUSTRIAL,936,119
2019-01-30,INDUSTRIAL,229,47
2019-02-25,INDUSTRIAL,2696,142
2019-02-17,INDUSTRIAL,51,101
2019-01-26,INDUSTRIAL,127,163
2019-01-05,INDUSTRIAL,1,158
2019-02-19,INDUSTRIAL,3090,148
2019-12-24,INDUSTRIAL,552,204
2020-11-19,INDUSTRIAL,381,174
2019-01-12,INDUSTRIAL,1390,241
2019-02-24,INDUSTRIAL,95,89
2019-01-22,INDUSTRIAL,30,157
2019-02-14,INDUSTRIAL,1622,111
2019-01-30,INDUSTRIAL,2590,98
2019-01-01,INDUSTRIAL,6,42
2019-01-09,INDUSTRIAL,4656,154
2019-01-30,INDUSTRIAL,7260,151
2019-02-12,INDUSTRIAL,2449,95
2019-01-09,INDUSTRIAL,164,7
2019-03-18,INDUSTRIAL,349,51
2019-02-28,INDUSTRIAL,3415,126
2019-01-29,INDUSTRIAL,1609,122
2019-02-27,INDUSTRIAL,30001,143
2019-03-24,INDUSTRIAL,72,40
2019-01-20,INDUSTRIAL,73,17
2019-03-03,INDUSTRIAL,672,71
2019-02-12,INDUSTRIAL,91,75
2019-03-09,INDUSTRIAL,38,49
2019-01-19,INDUSTRIAL,7,156
2019-03-05,INDUSTRIAL,3679,128
2019-02-10,INDUSTRIAL,27,66
2019-03-20,INDUSTRIAL,80,56
2019-03-24,INDUSTRIAL,13,82
2019-03-17,INDUSTRIAL,3457,87
2019-01-08,INDUSTRIAL,3258,141
2019-03-07,INDUSTRIAL,357,77
2019-01-14,INDUSTRIAL,776,161
2019-02-07,INDUSTRIAL,423,97
2019-03-03,INDUSTRIAL,94,64
