FECHA,USO,CONSUMO,ID_CONTADOR
2019-02-26,INDUSTRIAL,127120,171
2019-10-12,INDUSTRIAL,1,119
2021-02-22,INDUSTRIAL,1,148
2019-02-18,INDUSTRIAL,19354,50
2019-09-30,INDUSTRIAL,99,95
2019-03-24,INDUSTRIAL,992,25
2019-01-27,INDUSTRIAL,12,43
2019-02-05,INDUSTRIAL,6,32
2019-01-26,INDUSTRIAL,820,64
2019-03-05,INDUSTRIAL,1100,41
2019-01-08,INDUSTRIAL,516,26
2019-03-07,INDUSTRIAL,118,37
2019-01-20,INDUSTRIAL,50,34
2019-01-22,INDUSTRIAL,67,68
2019-01-19,INDUSTRIAL,484,56
2019-03-21,INDUSTRIAL,116,47
2019-02-03,INDUSTRIAL,177,48
2019-02-05,INDUSTRIAL,385,42
2019-08-19,INDUSTRIAL,570,75
2019-05-29,INDUSTRIAL,5521,91
2019-03-05,INDUSTRIAL,88,39
2019-03-08,INDUSTRIAL,786,29
2019-02-06,INDUSTRIAL,1818,59
2019-02-21,INDUSTRIAL,42,24
2019-10-28,INDUSTRIAL,684,108
2019-02-17,INDUSTRIAL,80,38
2019-02-06,INDUSTRIAL,369,31
2019-04-15,INDUSTRIAL,6220,71
2019-01-24,INDUSTRIAL,31481,54
2020-05-25,INDUSTRIAL,1001,84
2019-03-06,INDUSTRIAL,43,27
2020-02-22,INDUSTRIAL,269,16
2019-02-01,INDUSTRIAL,2140,172
2019-02-27,INDUSTRIAL,1031,66
2019-03-28,INDUSTRIAL,9,5
2020-07-22,INDUSTRIAL,1319,139
2019-03-07,INDUSTRIAL,7,7
2019-04-26,INDUSTRIAL,80,9
2019-01-06,INDUSTRIAL,25,40
2019-03-16,INDUSTRIAL,387,93
2019-03-08,INDUSTRIAL,11275,36
2019-10-10,INDUSTRIAL,2429,101
2019-02-09,INDUSTRIAL,269,33
2019-02-12,INDUSTRIAL,88170,166
2021-02-25,INDUSTRIAL,418,82
2019-02-16,INDUSTRIAL,180,55
2019-03-21,INDUSTRIAL,250,46
2020-02-24,INDUSTRIAL,450,163
2020-05-17,INDUSTRIAL,4,79
2019-02-04,INDUSTRIAL,267,3
2019-02-05,INDUSTRIAL,207,57
2020-01-11,INDUSTRIAL,35690,174
2019-07-04,INDUSTRIAL,115,45
2019-01-03,INDUSTRIAL,10724,60
2019-06-29,INDUSTRIAL,630,73
2019-03-12,INDUSTRIAL,67,52
2020-02-15,INDUSTRIAL,361,121
2019-03-31,INDUSTRIAL,78,18
2019-02-23,INDUSTRIAL,4260,171
2019-10-07,INDUSTRIAL,1,119
2021-11-22,INDUSTRIAL,4127,148
2019-02-09,INDUSTRIAL,17837,50
2019-09-29,INDUSTRIAL,199,95
2019-03-14,INDUSTRIAL,1899,25
2019-01-03,INDUSTRIAL,6,43
2019-02-04,INDUSTRIAL,386,32
2019-01-15,INDUSTRIAL,1669,64
2019-03-17,INDUSTRIAL,421,41
2019-01-04,INDUSTRIAL,323,26
2019-03-08,INDUSTRIAL,67,37
