FECHA,USO,CONSUMO,ID_CONTADOR
2021-06-17,INDUSTRIAL,365,15
2020-06-09,INDUSTRIAL,15751,0
2021-07-13,INDUSTRIAL,15690,39
2021-09-19,INDUSTRIAL,16,23
2021-07-14,INDUSTRIAL,61,43
2021-07-15,INDUSTRIAL,111,7
2021-06-29,INDUSTRIAL,106,24
2021-07-20,INDUSTRIAL,293,1
2021-08-23,INDUSTRIAL,15,5
2021-09-10,INDUSTRIAL,1053,35
2021-11-22,INDUSTRIAL,1020,9
2021-11-07,INDUSTRIAL,4,41
2021-11-07,INDUSTRIAL,279,15
2021-06-10,INDUSTRIAL,1987,32
2021-06-17,INDUSTRIAL,1640,39
2021-09-29,INDUSTRIAL,375,6
2020-10-24,INDUSTRIAL,51,10
2020-11-18,INDUSTRIAL,1591,10
2021-07-15,INDUSTRIAL,1151,36
2021-07-15,INDUSTRIAL,273,41
2021-04-13,INDUSTRIAL,1309,10
2021-07-15,INDUSTRIAL,184,14
2021-07-18,INDUSTRIAL,57,21
2021-08-27,INDUSTRIAL,522,17
2020-10-16,INDUSTRIAL,2090,40
2021-07-15,INDUSTRIAL,414,29
2021-07-15,INDUSTRIAL,68,37
2021-05-29,INDUSTRIAL,8,10
2019-06-26,INDUSTRIAL,3138,40
2021-06-17,INDUSTRIAL,38,4
2021-06-18,INDUSTRIAL,495,13
2021-10-31,INDUSTRIAL,96,29
2021-07-15,INDUSTRIAL,254,35
2021-11-15,INDUSTRIAL,207,6
2021-06-27,INDUSTRIAL,28,2
2021-11-23,INDUSTRIAL,20,5
2021-11-17,INDUSTRIAL,636,9
2021-09-29,INDUSTRIAL,64,22
2021-06-25,INDUSTRIAL,818,11
2021-08-19,INDUSTRIAL,29,28
2021-08-05,INDUSTRIAL,1571,26
2021-07-15,INDUSTRIAL,507,32
2021-06-27,INDUSTRIAL,119,35
2021-06-09,INDUSTRIAL,876,15
2021-07-12,INDUSTRIAL,46,4
2021-06-11,INDUSTRIAL,10,18
2021-06-09,INDUSTRIAL,71,22
2021-07-22,INDUSTRIAL,1345,10
2021-06-17,INDUSTRIAL,656,9
2021-08-03,INDUSTRIAL,21,4
2021-06-13,INDUSTRIAL,3,23
2021-08-07,INDUSTRIAL,451,11
2021-09-11,INDUSTRIAL,3,10
2021-10-21,INDUSTRIAL,49,42
2021-07-19,INDUSTRIAL,4,30
2020-09-16,INDUSTRIAL,3910,40
2021-11-26,INDUSTRIAL,377,31
2021-02-04,INDUSTRIAL,1263,10
2021-11-03,INDUSTRIAL,-143,5
2021-11-13,INDUSTRIAL,27,10
2021-06-14,INDUSTRIAL,416,15
2020-01-28,INDUSTRIAL,39948,0
2021-07-12,INDUSTRIAL,12470,39
2021-09-21,INDUSTRIAL,203,23
2021-07-13,INDUSTRIAL,217,43
2021-06-18,INDUSTRIAL,116,24
2021-07-19,INDUSTRIAL,444,1
2021-07-28,INDUSTRIAL,13,5
2021-09-14,INDUSTRIAL,577,35
2021-11-19,INDUSTRIAL,587,9
2021-11-04,INDUSTRIAL,206,41
2021-11-04,INDUSTRIAL,461,15
2021-06-16,INDUSTRIAL,437,32
2021-06-18,INDUSTRIAL,1780,39
2021-09-30,INDUSTRIAL,526,6
2020-10-25,INDUSTRIAL,47,10
2021-08-17,INDUSTRIAL,22,18
2021-07-14,INDUSTRIAL,32,27
2021-06-09,INDUSTRIAL,292,25
2021-04-14,INDUSTRIAL,1196,10
2021-06-12,INDUSTRIAL,267,6
2021-08-07,INDUSTRIAL,157,21
2021-08-26,INDUSTRIAL,800,17
2020-10-10,INDUSTRIAL,4040,40
2021-08-12,INDUSTRIAL,46,29
2021-09-12,INDUSTRIAL,3,43
2021-05-30,INDUSTRIAL,2,10
2019-06-23,INDUSTRIAL,540,40
2021-06-16,INDUSTRIAL,19,4
2021-06-21,INDUSTRIAL,381,13
2021-10-30,INDUSTRIAL,887,29
2021-06-12,INDUSTRIAL,163,13
2021-11-18,INDUSTRIAL,190,6
2021-06-26,INDUSTRIAL,27,2
2021-12-13,INDUSTRIAL,26,5
2021-09-28,INDUSTRIAL,1011,9
2021-09-30,INDUSTRIAL,258,22
2021-06-21,INDUSTRIAL,532,11
2021-08-18,INDUSTRIAL,57,28
2021-08-07,INDUSTRIAL,162,26
2021-10-21,INDUSTRIAL,2,38
2021-06-26,INDUSTRIAL,125,35
2021-06-08,INDUSTRIAL,626,15
2021-06-25,INDUSTRIAL,19,4
2021-06-10,INDUSTRIAL,84,18
2021-06-08,INDUSTRIAL,75,22
2021-07-21,INDUSTRIAL,1050,10
2021-06-16,INDUSTRIAL,694,9
2021-07-27,INDUSTRIAL,21,4
2021-06-11,INDUSTRIAL,29,23
2021-08-06,INDUSTRIAL,400,11
2021-09-10,INDUSTRIAL,1000,10
2021-10-31,INDUSTRIAL,47,42
2021-08-31,INDUSTRIAL,6,30
2021-11-21,INDUSTRIAL,21530,39
2021-11-27,INDUSTRIAL,449,31
2021-02-03,INDUSTRIAL,1987,10
2021-10-27,INDUSTRIAL,10,5
2021-11-11,INDUSTRIAL,542,10
2021-06-16,INDUSTRIAL,411,15
2020-01-06,INDUSTRIAL,9,0
2021-07-11,INDUSTRIAL,9570,39
2021-09-20,INDUSTRIAL,39,23
2021-07-12,INDUSTRIAL,138,43
2021-06-28,INDUSTRIAL,98,24
2021-07-16,INDUSTRIAL,55,1
2021-09-02,INDUSTRIAL,9,5
2021-09-15,INDUSTRIAL,471,35
2021-11-18,INDUSTRIAL,894,9
2021-11-05,INDUSTRIAL,186,41
2021-11-02,INDUSTRIAL,443,15
2021-06-13,INDUSTRIAL,37,32
2021-06-23,INDUSTRIAL,8490,39
2021-10-20,INDUSTRIAL,215,6
2020-10-27,INDUSTRIAL,1241,10
2021-08-12,INDUSTRIAL,1,18
2021-07-13,INDUSTRIAL,15,27
2021-06-08,INDUSTRIAL,754,25
2021-04-12,INDUSTRIAL,1364,10
2021-06-10,INDUSTRIAL,331,6
2021-08-06,INDUSTRIAL,96,21
2021-08-28,INDUSTRIAL,213,17
2020-10-22,INDUSTRIAL,1500,40
2021-08-25,INDUSTRIAL,349,29
2021-09-11,INDUSTRIAL,7,43
2021-05-31,INDUSTRIAL,1238,10
2019-06-29,INDUSTRIAL,1897,40
2021-06-15,INDUSTRIAL,39,4
2021-06-22,INDUSTRIAL,634,13
2021-10-29,INDUSTRIAL,528,29
2021-06-15,INDUSTRIAL,665,13
2021-11-17,INDUSTRIAL,158,6
2021-06-22,INDUSTRIAL,288,2
2021-12-02,INDUSTRIAL,10,5
2021-09-26,INDUSTRIAL,911,9
2021-09-28,INDUSTRIAL,122,22
2021-06-27,INDUSTRIAL,141,11
2021-08-16,INDUSTRIAL,87,28
2021-08-06,INDUSTRIAL,288,26
2021-10-16,INDUSTRIAL,101,38
2021-06-25,INDUSTRIAL,124,35
2021-12-05,INDUSTRIAL,6300,39
2021-06-23,INDUSTRIAL,20,4
2021-06-13,INDUSTRIAL,6,18
2021-07-14,INDUSTRIAL,127,7
2021-07-20,INDUSTRIAL,1251,10
2021-06-15,INDUSTRIAL,506,9
2021-07-28,INDUSTRIAL,21,4
2021-06-15,INDUSTRIAL,20,23
2021-08-02,INDUSTRIAL,454,11
2021-09-09,INDUSTRIAL,1212,10
2021-10-29,INDUSTRIAL,1512,42
2021-07-30,INDUSTRIAL,1,30
2021-11-20,INDUSTRIAL,4150,39
2021-11-29,INDUSTRIAL,398,31
2021-02-01,INDUSTRIAL,1438,10
2021-10-28,INDUSTRIAL,9,5
2021-11-08,INDUSTRIAL,32,10
2021-06-15,INDUSTRIAL,332,15
2019-11-09,INDUSTRIAL,16594,0
2021-07-10,INDUSTRIAL,9370,39
2021-09-18,INDUSTRIAL,17,23
2021-07-11,INDUSTRIAL,6,43
2021-06-30,INDUSTRIAL,90,24
2021-08-30,INDUSTRIAL,95,1
2021-09-01,INDUSTRIAL,11,5
2021-09-13,INDUSTRIAL,592,35
2021-11-21,INDUSTRIAL,285,9
2021-11-03,INDUSTRIAL,184,41
2021-11-01,INDUSTRIAL,283,15
2021-06-12,INDUSTRIAL,183,32
2021-06-22,INDUSTRIAL,3820,39
2021-10-19,INDUSTRIAL,344,6
2020-10-23,INDUSTRIAL,1426,10
2021-08-11,INDUSTRIAL,14,18
2021-07-12,INDUSTRIAL,1,27
2021-11-21,INDUSTRIAL,124,11
2021-04-11,INDUSTRIAL,8,10
2021-06-11,INDUSTRIAL,341,6
2021-08-02,INDUSTRIAL,67,21
2021-08-25,INDUSTRIAL,107,17
2020-10-25,INDUSTRIAL,620,40
2021-08-24,INDUSTRIAL,320,29
2021-09-22,INDUSTRIAL,293,43
2021-05-20,INDUSTRIAL,1024,10
2019-06-21,INDUSTRIAL,5541,40
2021-06-14,INDUSTRIAL,9,4
2021-06-19,INDUSTRIAL,79,13
2021-09-24,INDUSTRIAL,133,29
2021-06-14,INDUSTRIAL,880,13
2021-11-16,INDUSTRIAL,276,6
2021-06-21,INDUSTRIAL,29,2
2021-09-22,INDUSTRIAL,1119,9
2021-09-25,INDUSTRIAL,709,9
2021-09-21,INDUSTRIAL,119,22
2021-06-24,INDUSTRIAL,105,11
2021-07-19,INDUSTRIAL,71,28
2021-08-02,INDUSTRIAL,474,26
2021-10-15,INDUSTRIAL,7,38
2021-06-24,INDUSTRIAL,130,35
2021-12-01,INDUSTRIAL,22830,39
2021-06-22,INDUSTRIAL,40,4
2021-06-14,INDUSTRIAL,24,18
2021-07-10,INDUSTRIAL,2,7
2021-07-19,INDUSTRIAL,1077,10
2021-06-14,INDUSTRIAL,482,9
2021-07-29,INDUSTRIAL,34,4
2021-06-14,INDUSTRIAL,73,23
2021-08-01,INDUSTRIAL,209,11
2021-09-08,INDUSTRIAL,1317,10
2021-10-30,INDUSTRIAL,46,42
2021-05-29,INDUSTRIAL,850,39
2021-11-19,INDUSTRIAL,4760,39
2021-11-25,INDUSTRIAL,590,31
2021-02-02,INDUSTRIAL,1445,10
2021-09-19,INDUSTRIAL,15,5
2021-11-14,INDUSTRIAL,24,10
2021-06-13,INDUSTRIAL,209,15
2019-11-04,INDUSTRIAL,24452,0
2021-07-09,INDUSTRIAL,10880,39
2021-09-24,INDUSTRIAL,11,23
2021-07-09,INDUSTRIAL,91,43
2021-06-19,INDUSTRIAL,18,24
2021-08-31,INDUSTRIAL,65,1
2021-07-23,INDUSTRIAL,16,5
2021-09-12,INDUSTRIAL,9,35
2021-11-20,INDUSTRIAL,558,9
2021-11-06,INDUSTRIAL,2,41
2021-11-05,INDUSTRIAL,481,15
2021-06-15,INDUSTRIAL,509,32
2021-06-21,INDUSTRIAL,2870,39
2021-10-16,INDUSTRIAL,73,6
2020-10-26,INDUSTRIAL,1349,10
2021-08-09,INDUSTRIAL,11,18
2021-06-21,INDUSTRIAL,1758,27
2021-11-20,INDUSTRIAL,243,11
2021-04-10,INDUSTRIAL,12,10
2021-06-15,INDUSTRIAL,362,6
2021-08-01,INDUSTRIAL,289,21
2021-08-24,INDUSTRIAL,140,17
2020-10-24,INDUSTRIAL,1630,40
2021-08-23,INDUSTRIAL,514,29
2021-09-14,INDUSTRIAL,50,43
2021-05-25,INDUSTRIAL,1110,10
2019-06-25,INDUSTRIAL,2840,40
2021-06-12,INDUSTRIAL,10,4
2021-06-26,INDUSTRIAL,26,13
2021-09-23,INDUSTRIAL,532,29
2021-06-11,INDUSTRIAL,837,13
2021-11-19,INDUSTRIAL,233,6
2021-06-20,INDUSTRIAL,580,2
2021-08-11,INDUSTRIAL,431,46
2021-09-27,INDUSTRIAL,782,9
2021-09-20,INDUSTRIAL,122,22
2021-06-23,INDUSTRIAL,881,11
2021-08-30,INDUSTRIAL,79,28
2021-08-01,INDUSTRIAL,62,26
2021-10-27,INDUSTRIAL,9,38
2021-06-23,INDUSTRIAL,114,35
2021-12-07,INDUSTRIAL,7160,39
2021-06-21,INDUSTRIAL,48,4
2021-06-12,INDUSTRIAL,9,18
2021-07-12,INDUSTRIAL,92,7
2021-07-18,INDUSTRIAL,3,10
2021-06-11,INDUSTRIAL,427,9
2021-08-16,INDUSTRIAL,32,4
2021-06-12,INDUSTRIAL,1,23
2021-08-23,INDUSTRIAL,185,11
2021-09-14,INDUSTRIAL,1267,10
2021-09-26,INDUSTRIAL,22,42
2021-05-28,INDUSTRIAL,2420,39
2021-11-18,INDUSTRIAL,4740,39
2021-11-23,INDUSTRIAL,245,31
2021-01-30,INDUSTRIAL,2,10
2021-09-16,INDUSTRIAL,15,5
2021-11-12,INDUSTRIAL,39,10
2021-06-12,INDUSTRIAL,426,15
2019-11-12,INDUSTRIAL,22349,0
2021-11-16,INDUSTRIAL,662,9
2021-09-23,INDUSTRIAL,31,23
2021-07-08,INDUSTRIAL,71,43
2021-07-09,INDUSTRIAL,113,24
2021-08-29,INDUSTRIAL,49,1
2021-09-29,INDUSTRIAL,922,9
2021-09-23,INDUSTRIAL,1121,35
2021-08-19,INDUSTRIAL,570,35
2021-11-02,INDUSTRIAL,219,41
2021-11-03,INDUSTRIAL,445,15
2021-06-11,INDUSTRIAL,671,32
2021-06-20,INDUSTRIAL,1530,39
2021-10-17,INDUSTRIAL,106,6
2021-06-17,INDUSTRIAL,425,44
2021-08-19,INDUSTRIAL,1,18
2021-06-20,INDUSTRIAL,1756,27
2021-11-19,INDUSTRIAL,262,11
2021-04-09,INDUSTRIAL,1203,10
2021-06-14,INDUSTRIAL,276,6
2021-08-03,INDUSTRIAL,76,21
2021-08-23,INDUSTRIAL,895,17
2020-10-23,INDUSTRIAL,3600,40
2021-07-27,INDUSTRIAL,534,29
2021-11-09,INDUSTRIAL,227,43
2021-05-22,INDUSTRIAL,19,10
2019-06-27,INDUSTRIAL,8868,40
2021-06-11,INDUSTRIAL,19,4
2021-06-27,INDUSTRIAL,10,13
2021-09-22,INDUSTRIAL,615,29
2021-06-13,INDUSTRIAL,28,13
2021-12-03,INDUSTRIAL,124,6
2021-06-19,INDUSTRIAL,473,2
2021-08-12,INDUSTRIAL,360,46
2021-09-23,INDUSTRIAL,1464,9
2021-09-15,INDUSTRIAL,140,22
2021-06-18,INDUSTRIAL,310,11
2021-08-31,INDUSTRIAL,67,28
2021-08-04,INDUSTRIAL,250,26
2021-10-26,INDUSTRIAL,141,38
2021-06-22,INDUSTRIAL,121,35
2021-12-06,INDUSTRIAL,6130,39
2021-06-18,INDUSTRIAL,20,4
2021-06-15,INDUSTRIAL,1,18
2021-07-09,INDUSTRIAL,363,7
2021-08-03,INDUSTRIAL,499,10
2021-06-10,INDUSTRIAL,1000,9
2021-08-13,INDUSTRIAL,29,4
2021-06-10,INDUSTRIAL,25,23
2021-08-25,INDUSTRIAL,345,11
2021-09-26,INDUSTRIAL,1,10
2021-09-25,INDUSTRIAL,23,42
2021-11-15,INDUSTRIAL,2050,3
2021-11-17,INDUSTRIAL,5060,39
2021-11-22,INDUSTRIAL,364,31
2021-01-31,INDUSTRIAL,3,10
2021-09-18,INDUSTRIAL,20,5
2021-11-10,INDUSTRIAL,2,10
2021-06-11,INDUSTRIAL,549,15
2019-11-05,INDUSTRIAL,29145,0
2021-11-15,INDUSTRIAL,651,9
2021-10-03,INDUSTRIAL,77,23
2021-07-07,INDUSTRIAL,100,43
2021-07-02,INDUSTRIAL,60,24
2021-08-14,INDUSTRIAL,282,1
2021-07-21,INDUSTRIAL,180,41
2021-09-27,INDUSTRIAL,955,35
2021-11-22,INDUSTRIAL,86,1
2021-10-09,INDUSTRIAL,17,41
2021-11-06,INDUSTRIAL,310,15
2021-06-14,INDUSTRIAL,545,32
2021-06-19,INDUSTRIAL,77300,39
2021-10-21,INDUSTRIAL,225,6
2021-06-16,INDUSTRIAL,337,44
2021-07-19,INDUSTRIAL,15,18
2021-06-19,INDUSTRIAL,1787,27
2021-11-18,INDUSTRIAL,85,11
2021-04-08,INDUSTRIAL,1147,10
2021-06-17,INDUSTRIAL,408,6
