FECHA,USO,CONSUMO,ID_CONTADOR
2021-06-30,INDUSTRIAL,18,26
2020-02-29,INDUSTRIAL,18960,22
2021-06-20,INDUSTRIAL,43,35
2019-01-02,INDUSTRIAL,250,49
2019-11-29,INDUSTRIAL,14808,86
2019-01-17,INDUSTRIAL,8692,48
2021-06-08,INDUSTRIAL,217,80
2021-06-09,INDUSTRIAL,21,2
2021-06-09,INDUSTRIAL,1586,7
2021-06-30,INDUSTRIAL,140,39
2021-06-16,INDUSTRIAL,969,64
2021-06-16,INDUSTRIAL,100,9
2021-06-30,INDUSTRIAL,207,3
2020-03-06,INDUSTRIAL,2880,59
2021-06-30,INDUSTRIAL,202,70
2020-08-15,INDUSTRIAL,1,87
2021-06-12,INDUSTRIAL,9,60
2021-07-15,INDUSTRIAL,183,40
2021-06-30,INDUSTRIAL,393,19
2021-06-10,INDUSTRIAL,110,73
2020-02-13,INDUSTRIAL,22517,58
2021-06-17,INDUSTRIAL,12590,75
2019-01-29,INDUSTRIAL,3709,28
2021-06-16,INDUSTRIAL,1978,4
2021-07-20,INDUSTRIAL,1639,25
2021-04-20,INDUSTRIAL,1600,72
2019-10-09,INDUSTRIAL,15453,47
2020-02-17,INDUSTRIAL,4670,1
2020-03-18,INDUSTRIAL,4264,17
2021-06-24,INDUSTRIAL,476,57
2021-06-29,INDUSTRIAL,875,6
2021-07-28,INDUSTRIAL,159,38
2019-02-15,INDUSTRIAL,458,85
2019-10-26,INDUSTRIAL,50,51
2019-03-04,INDUSTRIAL,39620,89
2021-06-11,INDUSTRIAL,387,10
2021-06-11,INDUSTRIAL,633,13
2020-05-13,INDUSTRIAL,1080,88
2019-05-10,INDUSTRIAL,690,92
2021-06-17,INDUSTRIAL,58,67
2021-06-08,INDUSTRIAL,52,36
2021-06-29,INDUSTRIAL,4726,79
2021-06-26,INDUSTRIAL,8,15
2019-03-08,INDUSTRIAL,2960,52
2021-06-28,INDUSTRIAL,6246,50
2019-02-04,INDUSTRIAL,80210,90
2021-06-14,INDUSTRIAL,76,41
2019-06-29,INDUSTRIAL,43490,54
2019-01-23,INDUSTRIAL,729,84
2021-06-28,INDUSTRIAL,94,26
2020-02-17,INDUSTRIAL,10280,22
2021-06-21,INDUSTRIAL,73,35
2019-01-07,INDUSTRIAL,2350,49
2019-11-30,INDUSTRIAL,31548,86
2019-01-15,INDUSTRIAL,8924,48
2021-07-02,INDUSTRIAL,144,80
2021-06-11,INDUSTRIAL,38,2
2021-06-08,INDUSTRIAL,1331,7
2021-06-29,INDUSTRIAL,204,39
2021-06-14,INDUSTRIAL,19494,64
2021-06-17,INDUSTRIAL,88,9
2021-07-02,INDUSTRIAL,348,3
2020-03-02,INDUSTRIAL,3580,59
2021-06-29,INDUSTRIAL,130,70
2019-02-04,INDUSTRIAL,1745,87
2021-06-14,INDUSTRIAL,69,60
2021-07-18,INDUSTRIAL,1595,40
2021-06-28,INDUSTRIAL,179,69
2021-06-15,INDUSTRIAL,1430,73
2020-02-25,INDUSTRIAL,66853,58
2021-06-18,INDUSTRIAL,22728,75
2019-01-11,INDUSTRIAL,366,28
2021-06-13,INDUSTRIAL,897,4
2021-07-23,INDUSTRIAL,4002,25
2021-04-24,INDUSTRIAL,10,72
2019-10-08,INDUSTRIAL,18065,47
2020-02-25,INDUSTRIAL,17480,1
2020-03-25,INDUSTRIAL,4754,17
2021-06-27,INDUSTRIAL,326,57
2021-06-27,INDUSTRIAL,920,6
2021-07-31,INDUSTRIAL,9,38
2019-02-07,INDUSTRIAL,621,85
2019-10-31,INDUSTRIAL,7453,51
2019-03-13,INDUSTRIAL,40560,89
2021-06-15,INDUSTRIAL,688,10
2021-06-13,INDUSTRIAL,1,13
2020-05-12,INDUSTRIAL,61,88
2019-05-23,INDUSTRIAL,32900,92
2021-06-16,INDUSTRIAL,42,67
2021-06-09,INDUSTRIAL,152,36
2021-06-26,INDUSTRIAL,323,79
2021-06-23,INDUSTRIAL,61,15
2019-03-20,INDUSTRIAL,2340,52
2021-06-29,INDUSTRIAL,5359,50
2019-02-26,INDUSTRIAL,87490,90
2021-06-13,INDUSTRIAL,45,41
2019-06-27,INDUSTRIAL,44380,54
2019-01-17,INDUSTRIAL,531,84
2021-06-26,INDUSTRIAL,84,26
2020-02-05,INDUSTRIAL,8490,22
2021-06-26,INDUSTRIAL,20,35
2019-01-28,INDUSTRIAL,2050,49
2020-02-20,INDUSTRIAL,24592,86
2019-01-25,INDUSTRIAL,9530,48
2021-07-03,INDUSTRIAL,57,80
2021-06-14,INDUSTRIAL,28,2
2021-07-09,INDUSTRIAL,1335,7
2021-06-28,INDUSTRIAL,497,20
2021-06-10,INDUSTRIAL,1839,64
2021-06-14,INDUSTRIAL,121,9
2021-07-07,INDUSTRIAL,233,3
2020-03-03,INDUSTRIAL,3390,59
2021-06-28,INDUSTRIAL,225,70
2019-02-13,INDUSTRIAL,2690,87
2021-06-18,INDUSTRIAL,20,60
2021-07-19,INDUSTRIAL,505,40
2021-06-29,INDUSTRIAL,163,69
2021-06-09,INDUSTRIAL,100,73
2020-02-23,INDUSTRIAL,35159,58
2021-06-19,INDUSTRIAL,31226,75
2019-01-17,INDUSTRIAL,1762,28
2021-06-14,INDUSTRIAL,698,4
2021-07-24,INDUSTRIAL,1460,25
2021-04-21,INDUSTRIAL,90,72
2019-10-28,INDUSTRIAL,19307,47
2020-02-24,INDUSTRIAL,19470,1
2020-03-15,INDUSTRIAL,7,17
2021-06-30,INDUSTRIAL,278,57
2021-06-28,INDUSTRIAL,2015,6
2021-07-24,INDUSTRIAL,44,38
2019-02-21,INDUSTRIAL,694,85
2019-10-20,INDUSTRIAL,30,51
2019-03-30,INDUSTRIAL,18350,89
2021-06-16,INDUSTRIAL,385,10
2021-06-14,INDUSTRIAL,654,13
2020-05-11,INDUSTRIAL,41,88
2019-05-14,INDUSTRIAL,32140,92
2021-06-18,INDUSTRIAL,21,67
2021-07-03,INDUSTRIAL,41,36
2021-06-27,INDUSTRIAL,323,79
2021-06-22,INDUSTRIAL,145,15
2019-03-30,INDUSTRIAL,900,52
2021-06-30,INDUSTRIAL,5401,50
2019-02-01,INDUSTRIAL,68250,90
2021-07-21,INDUSTRIAL,5,41
2019-06-21,INDUSTRIAL,45660,54
2019-01-18,INDUSTRIAL,526,84
2021-06-27,INDUSTRIAL,94,26
2020-02-10,INDUSTRIAL,8720,22
2021-06-27,INDUSTRIAL,2,35
2019-01-31,INDUSTRIAL,2180,49
2020-02-27,INDUSTRIAL,24332,86
2019-01-13,INDUSTRIAL,13870,48
2021-07-05,INDUSTRIAL,259,80
2021-06-10,INDUSTRIAL,8966,44
2021-07-13,INDUSTRIAL,1163,7
2021-06-29,INDUSTRIAL,638,20
2021-06-11,INDUSTRIAL,1867,64
2021-06-15,INDUSTRIAL,164,9
2021-07-10,INDUSTRIAL,224,3
2020-03-12,INDUSTRIAL,2850,59
2021-06-10,INDUSTRIAL,286,70
2019-02-11,INDUSTRIAL,2418,87
2021-06-21,INDUSTRIAL,92,60
2021-07-20,INDUSTRIAL,715,40
2021-06-30,INDUSTRIAL,252,69
2021-07-18,INDUSTRIAL,50,73
2020-02-22,INDUSTRIAL,36297,58
2021-06-20,INDUSTRIAL,31453,75
2019-01-21,INDUSTRIAL,965,28
2021-06-15,INDUSTRIAL,982,4
2021-08-22,INDUSTRIAL,2128,25
2021-04-22,INDUSTRIAL,2890,72
2019-10-16,INDUSTRIAL,17077,47
2020-02-27,INDUSTRIAL,11740,1
2020-03-30,INDUSTRIAL,8,17
2021-06-25,INDUSTRIAL,475,57
2021-06-30,INDUSTRIAL,1274,6
2021-07-29,INDUSTRIAL,10,38
2019-02-05,INDUSTRIAL,355,85
2019-10-05,INDUSTRIAL,1227,51
2019-03-24,INDUSTRIAL,9210,89
2021-06-12,INDUSTRIAL,192,10
2021-06-15,INDUSTRIAL,735,13
2020-05-10,INDUSTRIAL,18,88
2019-05-17,INDUSTRIAL,34000,92
2021-06-19,INDUSTRIAL,166,67
2021-07-06,INDUSTRIAL,127,36
2021-06-30,INDUSTRIAL,2559,79
2021-06-25,INDUSTRIAL,413,15
2019-03-11,INDUSTRIAL,30716,52
2021-06-21,INDUSTRIAL,6269,50
2019-02-14,INDUSTRIAL,96160,90
2021-09-05,INDUSTRIAL,50,41
2019-06-28,INDUSTRIAL,59170,54
2019-01-06,INDUSTRIAL,223,84
2021-06-29,INDUSTRIAL,113,26
2020-02-19,INDUSTRIAL,9760,22
2021-06-19,INDUSTRIAL,66,35
2019-01-24,INDUSTRIAL,2480,49
2020-02-19,INDUSTRIAL,22516,86
2019-01-02,INDUSTRIAL,13710,48
2021-07-15,INDUSTRIAL,194,80
2021-06-18,INDUSTRIAL,25,2
2021-07-08,INDUSTRIAL,1201,7
2021-06-30,INDUSTRIAL,586,20
2021-06-12,INDUSTRIAL,201,64
2021-06-18,INDUSTRIAL,157,9
2021-07-11,INDUSTRIAL,237,3
2020-03-13,INDUSTRIAL,590,59
2021-06-11,INDUSTRIAL,133,70
2019-02-01,INDUSTRIAL,1158,87
2021-06-22,INDUSTRIAL,49,60
2021-07-21,INDUSTRIAL,626,40
2021-06-28,INDUSTRIAL,290,65
2021-07-25,INDUSTRIAL,250,73
2020-02-24,INDUSTRIAL,49919,58
2021-06-21,INDUSTRIAL,32663,75
2019-01-26,INDUSTRIAL,863,28
2021-06-19,INDUSTRIAL,834,4
2021-08-01,INDUSTRIAL,8437,25
2021-04-23,INDUSTRIAL,1570,72
2019-10-05,INDUSTRIAL,639,47
2020-02-28,INDUSTRIAL,17560,1
2020-03-27,INDUSTRIAL,960,17
2021-06-23,INDUSTRIAL,711,57
2021-06-09,INDUSTRIAL,569,6
2021-07-30,INDUSTRIAL,20,38
2019-02-18,INDUSTRIAL,665,85
2019-10-04,INDUSTRIAL,72,51
2019-03-20,INDUSTRIAL,47970,89
2021-06-28,INDUSTRIAL,1169,45
2021-06-23,INDUSTRIAL,220,13
2020-05-09,INDUSTRIAL,12,88
2019-05-18,INDUSTRIAL,28760,92
2021-06-21,INDUSTRIAL,26,67
2021-07-05,INDUSTRIAL,42,36
2021-06-29,INDUSTRIAL,298,63
2021-06-22,INDUSTRIAL,8,37
2019-03-01,INDUSTRIAL,2985,52
2021-06-22,INDUSTRIAL,5687,50
2019-02-22,INDUSTRIAL,69730,90
2021-09-04,INDUSTRIAL,27,41
2019-06-22,INDUSTRIAL,120,54
2019-01-08,INDUSTRIAL,960,84
2021-07-25,INDUSTRIAL,14,26
2020-02-26,INDUSTRIAL,8080,22
2021-06-16,INDUSTRIAL,163,35
2019-01-09,INDUSTRIAL,2080,49
2020-02-13,INDUSTRIAL,35600,86
2019-01-20,INDUSTRIAL,8410,48
2021-07-20,INDUSTRIAL,185,80
2021-06-19,INDUSTRIAL,3,2
2021-07-10,INDUSTRIAL,810,7
2021-06-28,INDUSTRIAL,123,39
2021-06-13,INDUSTRIAL,9882,64
2021-06-19,INDUSTRIAL,83,9
2019-01-15,INDUSTRIAL,4000,91
2020-03-09,INDUSTRIAL,3280,59
2021-06-09,INDUSTRIAL,183,70
2019-02-21,INDUSTRIAL,1007,87
2021-06-16,INDUSTRIAL,51,60
2021-08-16,INDUSTRIAL,672,40
2021-06-29,INDUSTRIAL,271,65
2021-07-23,INDUSTRIAL,1330,73
2020-02-10,INDUSTRIAL,61687,58
2021-06-22,INDUSTRIAL,30937,75
2019-01-27,INDUSTRIAL,1504,28
2021-06-28,INDUSTRIAL,1497,4
2021-08-05,INDUSTRIAL,2202,25
2021-05-24,INDUSTRIAL,10,72
2019-10-23,INDUSTRIAL,21338,47
2020-02-26,INDUSTRIAL,17480,1
2020-03-06,INDUSTRIAL,4610,17
2021-06-26,INDUSTRIAL,391,57
2021-06-13,INDUSTRIAL,620,6
2021-07-27,INDUSTRIAL,27,38
2019-02-28,INDUSTRIAL,738,85
2019-10-19,INDUSTRIAL,83,51
2019-03-07,INDUSTRIAL,30940,89
2021-06-10,INDUSTRIAL,220,74
2021-06-24,INDUSTRIAL,10,13
2020-05-08,INDUSTRIAL,2,88
2019-05-12,INDUSTRIAL,29420,92
2021-06-29,INDUSTRIAL,26,67
2021-07-15,INDUSTRIAL,70,36
2021-06-30,INDUSTRIAL,289,63
2021-06-23,INDUSTRIAL,1,37
2019-03-05,INDUSTRIAL,1038,52
2021-06-20,INDUSTRIAL,5262,50
2019-02-18,INDUSTRIAL,78130,90
2021-09-02,INDUSTRIAL,130,41
2019-06-26,INDUSTRIAL,34290,54
2019-01-03,INDUSTRIAL,582,84
2021-07-23,INDUSTRIAL,29,26
2020-02-28,INDUSTRIAL,8280,22
2021-06-18,INDUSTRIAL,97,35
2019-01-23,INDUSTRIAL,2520,49
2020-02-06,INDUSTRIAL,22312,86
2019-01-30,INDUSTRIAL,23250,48
2021-07-06,INDUSTRIAL,210,80
2021-06-20,INDUSTRIAL,12,2
2021-07-11,INDUSTRIAL,42,7
2021-06-11,INDUSTRIAL,150,39
2021-06-24,INDUSTRIAL,93,64
2021-06-21,INDUSTRIAL,120,9
2019-01-14,INDUSTRIAL,13680,91
2020-03-08,INDUSTRIAL,12010,0
2021-06-13,INDUSTRIAL,370,70
2019-02-24,INDUSTRIAL,18,87
2021-06-11,INDUSTRIAL,38,60
2021-08-19,INDUSTRIAL,657,40
2021-06-30,INDUSTRIAL,286,65
2021-07-27,INDUSTRIAL,500,73
2020-02-09,INDUSTRIAL,33491,58
2021-06-23,INDUSTRIAL,23454,75
2019-01-05,INDUSTRIAL,1565,28
2021-06-30,INDUSTRIAL,1229,4
2021-08-04,INDUSTRIAL,3406,25
2021-05-21,INDUSTRIAL,1660,72
2019-10-29,INDUSTRIAL,15269,47
2020-02-19,INDUSTRIAL,16940,1
2020-03-26,INDUSTRIAL,7,17
2021-06-28,INDUSTRIAL,274,57
2021-06-16,INDUSTRIAL,2291,6
2021-07-23,INDUSTRIAL,61,38
2019-02-27,INDUSTRIAL,487,85
2020-01-06,INDUSTRIAL,12,51
2019-03-27,INDUSTRIAL,41620,89
2021-06-27,INDUSTRIAL,150,74
2021-06-09,INDUSTRIAL,1833,13
2020-05-07,INDUSTRIAL,548,88
2019-05-11,INDUSTRIAL,29120,92
2021-06-22,INDUSTRIAL,17,67
2021-07-01,INDUSTRIAL,70,36
2021-06-28,INDUSTRIAL,5770,79
2021-06-24,INDUSTRIAL,9,37
2019-03-02,INDUSTRIAL,948,52
2021-06-23,INDUSTRIAL,5343,50
2019-02-24,INDUSTRIAL,21280,90
2021-09-03,INDUSTRIAL,146,41
2019-06-25,INDUSTRIAL,160,54
2019-01-07,INDUSTRIAL,577,84
2021-07-22,INDUSTRIAL,20,26
2020-02-04,INDUSTRIAL,8890,22
2021-07-31,INDUSTRIAL,23,35
2019-01-20,INDUSTRIAL,350,49
2020-02-26,INDUSTRIAL,24304,86
2019-01-12,INDUSTRIAL,9760,48
2021-07-19,INDUSTRIAL,229,80
2021-06-21,INDUSTRIAL,24,2
2021-07-14,INDUSTRIAL,1194,7
2021-06-10,INDUSTRIAL,97,39
2021-06-25,INDUSTRIAL,94,64
2021-06-22,INDUSTRIAL,181,9
2019-08-14,INDUSTRIAL,900,91
2020-03-04,INDUSTRIAL,6250,0
2021-06-12,INDUSTRIAL,337,70
2019-02-25,INDUSTRIAL,2517,87
2021-06-08,INDUSTRIAL,2,60
2021-08-21,INDUSTRIAL,435,40
2021-06-09,INDUSTRIAL,467,19
2021-07-26,INDUSTRIAL,90,73
2020-02-04,INDUSTRIAL,54348,58
2021-06-24,INDUSTRIAL,23588,75
2019-01-06,INDUSTRIAL,1729,28
