FECHA,USO,CONSUMO,ID_CONTADOR
2021-02-02,INDUSTRIAL,492,45
2020-05-18,INDUSTRIAL,72,30
2021-08-01,INDUSTRIAL,93,28
2021-11-24,INDUSTRIAL,275,8
2020-09-16,INDUSTRIAL,5171,1
2020-10-01,INDUSTRIAL,3,23
2021-07-30,INDUSTRIAL,321,31
2020-07-19,INDUSTRIAL,4589,7
2020-09-13,INDUSTRIAL,48,35
2020-09-13,INDUSTRIAL,206,0
2019-01-19,INDUSTRIAL,7,14
2021-11-07,INDUSTRIAL,4,30
2020-09-14,INDUSTRIAL,12,42
2019-08-23,INDUSTRIAL,124,23
2021-01-24,INDUSTRIAL,26,7
2020-09-11,INDUSTRIAL,1238,17
2021-11-18,INDUSTRIAL,1250,47
2021-07-27,INDUSTRIAL,308,0
2020-11-18,INDUSTRIAL,48,22
2020-09-11,INDUSTRIAL,268,0
2019-12-01,INDUSTRIAL,1103,1
2020-09-11,INDUSTRIAL,149,4
2020-07-29,INDUSTRIAL,265,19
2021-07-10,INDUSTRIAL,746,41
2019-01-30,INDUSTRIAL,257,0
2020-08-10,INDUSTRIAL,18912,24
2021-06-08,INDUSTRIAL,29,2
2020-09-02,INDUSTRIAL,91,32
2020-09-04,INDUSTRIAL,53,42
2020-09-10,INDUSTRIAL,5,12
2020-06-18,INDUSTRIAL,85,13
2020-02-22,INDUSTRIAL,604,12
2020-08-29,INDUSTRIAL,49,5
2019-11-08,INDUSTRIAL,14,2
2020-07-12,INDUSTRIAL,9,38
2020-11-21,INDUSTRIAL,70,41
2020-09-11,INDUSTRIAL,65,31
2020-08-05,INDUSTRIAL,58,6
2020-01-07,INDUSTRIAL,4,29
2020-05-19,INDUSTRIAL,45,20
2020-08-26,INDUSTRIAL,14,6
2021-10-23,INDUSTRIAL,102,31
2020-10-03,INDUSTRIAL,9,30
2021-11-08,INDUSTRIAL,485,41
2020-10-14,INDUSTRIAL,1386,27
2020-09-03,INDUSTRIAL,1,15
2021-12-08,INDUSTRIAL,323,0
2020-10-18,INDUSTRIAL,22,35
2020-09-10,INDUSTRIAL,16782,3
2020-09-09,INDUSTRIAL,118,43
2020-09-05,INDUSTRIAL,174,31
2021-12-14,INDUSTRIAL,373,46
2020-09-14,INDUSTRIAL,437,4
2019-09-23,INDUSTRIAL,2870,21
2020-09-18,INDUSTRIAL,1180,41
2019-12-28,INDUSTRIAL,84,28
2021-12-11,INDUSTRIAL,734,46
2021-04-16,INDUSTRIAL,177,44
2021-08-14,INDUSTRIAL,409,31
2019-01-21,INDUSTRIAL,407,17
2021-02-01,INDUSTRIAL,164,45
2020-05-22,INDUSTRIAL,12,30
2021-08-07,INDUSTRIAL,93,28
2021-11-25,INDUSTRIAL,294,8
2020-09-17,INDUSTRIAL,267,39
2020-08-31,INDUSTRIAL,3,23
2021-07-29,INDUSTRIAL,317,31
2020-07-16,INDUSTRIAL,2257,7
2021-01-24,INDUSTRIAL,180,38
2021-02-01,INDUSTRIAL,33,35
2019-01-21,INDUSTRIAL,12,14
2021-11-06,INDUSTRIAL,8,30
2020-10-24,INDUSTRIAL,257,34
2019-02-05,INDUSTRIAL,295,23
2021-01-10,INDUSTRIAL,41,7
2020-08-20,INDUSTRIAL,303,7
2021-11-16,INDUSTRIAL,979,47
2021-07-26,INDUSTRIAL,405,0
2020-09-15,INDUSTRIAL,256,0
2019-12-03,INDUSTRIAL,8638,1
2020-06-13,INDUSTRIAL,117,10
2020-07-30,INDUSTRIAL,156,19
2021-07-09,INDUSTRIAL,724,41
2019-01-27,INDUSTRIAL,260,0
2020-08-09,INDUSTRIAL,18757,24
2021-06-07,INDUSTRIAL,28,2
2020-08-26,INDUSTRIAL,117,32
2020-09-02,INDUSTRIAL,1,42
2021-09-08,INDUSTRIAL,294,34
2019-01-21,INDUSTRIAL,577,13
2020-02-10,INDUSTRIAL,99,12
2020-08-28,INDUSTRIAL,182,5
2019-11-29,INDUSTRIAL,13,2
2020-07-14,INDUSTRIAL,468,38
2020-11-28,INDUSTRIAL,168,41
2020-09-15,INDUSTRIAL,266,39
2020-08-03,INDUSTRIAL,42,6
2020-01-05,INDUSTRIAL,628,29
2019-03-19,INDUSTRIAL,4698,20
2020-08-29,INDUSTRIAL,7,6
2021-11-14,INDUSTRIAL,82,31
2020-10-24,INDUSTRIAL,17,30
2021-11-14,INDUSTRIAL,519,41
2020-10-15,INDUSTRIAL,4863,27
2020-09-04,INDUSTRIAL,1,15
2021-12-10,INDUSTRIAL,527,0
2020-10-15,INDUSTRIAL,19,35
2021-01-09,INDUSTRIAL,419,45
2021-10-01,INDUSTRIAL,1387,47
2020-09-03,INDUSTRIAL,162,31
2021-12-12,INDUSTRIAL,696,46
2021-11-07,INDUSTRIAL,149,38
2019-02-09,INDUSTRIAL,11219,21
2020-09-20,INDUSTRIAL,1171,41
2019-12-29,INDUSTRIAL,84,28
2020-12-28,INDUSTRIAL,170,0
2021-04-15,INDUSTRIAL,227,44
2021-08-31,INDUSTRIAL,430,31
2019-01-10,INDUSTRIAL,530,17
2021-02-03,INDUSTRIAL,401,45
2020-05-27,INDUSTRIAL,17,30
2021-08-05,INDUSTRIAL,231,28
2021-11-23,INDUSTRIAL,392,8
2020-09-20,INDUSTRIAL,1621,39
2020-08-24,INDUSTRIAL,4,23
2021-07-26,INDUSTRIAL,439,31
2020-07-17,INDUSTRIAL,1636,7
2021-01-15,INDUSTRIAL,425,38
2021-02-05,INDUSTRIAL,34,35
2019-01-23,INDUSTRIAL,3,14
2021-11-05,INDUSTRIAL,7,30
2020-10-18,INDUSTRIAL,315,34
2019-02-01,INDUSTRIAL,271,23
2021-01-23,INDUSTRIAL,647,7
2020-08-21,INDUSTRIAL,419,7
2021-11-21,INDUSTRIAL,3227,47
2021-07-23,INDUSTRIAL,295,0
2020-09-10,INDUSTRIAL,8,6
2019-12-22,INDUSTRIAL,1249,1
2020-04-13,INDUSTRIAL,140,10
2020-08-09,INDUSTRIAL,12,19
2021-07-08,INDUSTRIAL,4999,41
2019-01-15,INDUSTRIAL,260,0
2020-08-07,INDUSTRIAL,18290,24
2021-06-05,INDUSTRIAL,11,2
2020-08-17,INDUSTRIAL,206,32
2020-09-01,INDUSTRIAL,6,42
2021-09-09,INDUSTRIAL,332,34
2019-01-09,INDUSTRIAL,510,13
2020-02-08,INDUSTRIAL,107,12
2020-08-30,INDUSTRIAL,61,5
2019-11-15,INDUSTRIAL,18,2
2020-07-11,INDUSTRIAL,15,38
2020-12-03,INDUSTRIAL,142,41
2020-11-13,INDUSTRIAL,156,5
2020-08-06,INDUSTRIAL,38,6
2020-01-19,INDUSTRIAL,2,29
2019-03-05,INDUSTRIAL,4873,20
2020-08-25,INDUSTRIAL,24,6
2021-11-13,INDUSTRIAL,96,31
2020-10-21,INDUSTRIAL,33,30
2021-11-11,INDUSTRIAL,441,41
2020-12-23,INDUSTRIAL,221,33
2020-09-05,INDUSTRIAL,37,15
2021-12-09,INDUSTRIAL,447,0
2020-10-25,INDUSTRIAL,30,35
2021-01-22,INDUSTRIAL,407,45
2021-10-03,INDUSTRIAL,1992,47
2020-09-01,INDUSTRIAL,167,31
2020-08-06,INDUSTRIAL,6,13
2021-11-06,INDUSTRIAL,193,38
2019-02-12,INDUSTRIAL,2610,21
2020-09-28,INDUSTRIAL,1307,41
2019-12-02,INDUSTRIAL,219,28
2020-11-25,INDUSTRIAL,316,0
2021-04-14,INDUSTRIAL,344,44
2021-08-30,INDUSTRIAL,397,31
2019-01-30,INDUSTRIAL,441,17
2021-02-04,INDUSTRIAL,384,45
2020-05-29,INDUSTRIAL,15,30
2021-08-04,INDUSTRIAL,238,28
2021-11-26,INDUSTRIAL,402,8
