FECHA,USO,CONSUMO,ID_CONTADOR
2019-03-17,INDUSTRIAL,29,69
2019-03-11,INDUSTRIAL,337,5
2021-12-08,INDUSTRIAL,7668,140
2019-03-08,INDUSTRIAL,590,48
2019-02-04,INDUSTRIAL,1290,26
2019-03-02,INDUSTRIAL,199,45
2019-02-23,INDUSTRIAL,50256,141
2019-03-21,INDUSTRIAL,254,65
2019-03-23,INDUSTRIAL,1739,91
2019-02-24,INDUSTRIAL,18,58
2019-05-13,INDUSTRIAL,7874,94
2020-02-09,INDUSTRIAL,1,121
2021-11-26,INDUSTRIAL,1072,74
2019-03-21,INDUSTRIAL,15,72
2019-02-24,INDUSTRIAL,57,41
2019-02-06,INDUSTRIAL,68,59
2019-01-05,INDUSTRIAL,89,88
2019-01-03,INDUSTRIAL,43,63
2019-01-27,INDUSTRIAL,7,40
2019-06-15,INDUSTRIAL,22,16
2019-02-04,INDUSTRIAL,127,150
2021-01-29,INDUSTRIAL,2283,125
2019-03-09,INDUSTRIAL,1,4
2019-01-17,INDUSTRIAL,21,8
2019-03-13,INDUSTRIAL,228,7
2019-06-20,INDUSTRIAL,2496,93
2019-02-18,INDUSTRIAL,17,11
2019-02-23,INDUSTRIAL,3400,154
2019-03-29,INDUSTRIAL,14942,152
2019-03-09,INDUSTRIAL,132,44
2020-03-18,INDUSTRIAL,64,122
2019-01-06,INDUSTRIAL,812,39
2020-02-18,INDUSTRIAL,3791,2
2019-01-07,INDUSTRIAL,5429,75
2019-01-01,INDUSTRIAL,1018,61
2019-06-12,INDUSTRIAL,79170,157
2019-04-08,INDUSTRIAL,1289,15
2020-01-29,INDUSTRIAL,25,117
2019-01-31,INDUSTRIAL,4,57
2019-02-20,INDUSTRIAL,150,51
2020-01-30,INDUSTRIAL,398,124
2019-01-04,INDUSTRIAL,242,6
2019-02-08,INDUSTRIAL,1076,55
2019-02-24,INDUSTRIAL,2897,77
2019-02-06,INDUSTRIAL,264,53
2019-01-17,INDUSTRIAL,3,80
2019-02-06,INDUSTRIAL,127,79
2021-03-09,INDUSTRIAL,1908,129
2020-05-30,INDUSTRIAL,5,25
2019-01-01,INDUSTRIAL,2250,35
2020-03-05,INDUSTRIAL,1,120
2019-02-06,INDUSTRIAL,1448,50
2019-01-15,INDUSTRIAL,2340,84
2019-01-28,INDUSTRIAL,1402,56
2019-03-05,INDUSTRIAL,235,42
2019-01-06,INDUSTRIAL,25,49
2019-03-05,INDUSTRIAL,20,69
2019-03-05,INDUSTRIAL,52,5
2021-12-11,INDUSTRIAL,7945,140
2019-03-30,INDUSTRIAL,31,48
2019-02-17,INDUSTRIAL,890,26
2019-03-12,INDUSTRIAL,355,45
2019-02-13,INDUSTRIAL,1303,141
2019-03-05,INDUSTRIAL,455,65
2019-03-13,INDUSTRIAL,2191,91
2019-02-12,INDUSTRIAL,56,58
2019-05-04,INDUSTRIAL,1418,94
2020-02-18,INDUSTRIAL,2,121
2021-11-22,INDUSTRIAL,726,74
2019-03-05,INDUSTRIAL,30,72
2019-02-03,INDUSTRIAL,104,41
2019-02-05,INDUSTRIAL,77,59
2019-01-27,INDUSTRIAL,8,88
2019-01-30,INDUSTRIAL,93,63
2019-01-27,INDUSTRIAL,99,70
2019-06-01,INDUSTRIAL,20,16
2019-02-09,INDUSTRIAL,27,150
2020-12-30,INDUSTRIAL,60,125
2019-03-27,INDUSTRIAL,1,4
2019-01-01,INDUSTRIAL,13,8
2019-03-06,INDUSTRIAL,271,7
2019-03-09,INDUSTRIAL,688,66
2019-02-26,INDUSTRIAL,17,11
2019-02-17,INDUSTRIAL,6000,154
2019-03-11,INDUSTRIAL,14997,152
2019-03-05,INDUSTRIAL,181,44
2020-03-14,INDUSTRIAL,117,122
2019-01-13,INDUSTRIAL,613,39
2020-02-03,INDUSTRIAL,3968,2
2019-01-14,INDUSTRIAL,1750,75
2019-01-07,INDUSTRIAL,23,61
2019-06-11,INDUSTRIAL,42220,157
2019-04-10,INDUSTRIAL,1142,15
2020-01-13,INDUSTRIAL,5,117
2019-01-29,INDUSTRIAL,12,57
2019-02-06,INDUSTRIAL,25,51
2020-01-31,INDUSTRIAL,265,124
2019-01-20,INDUSTRIAL,87,6
2019-02-14,INDUSTRIAL,106,9
2019-02-18,INDUSTRIAL,1834,77
2019-02-12,INDUSTRIAL,269,53
2019-01-08,INDUSTRIAL,1,80
2019-02-15,INDUSTRIAL,94,79
2021-03-11,INDUSTRIAL,2052,129
2020-05-20,INDUSTRIAL,1579,25
2019-01-05,INDUSTRIAL,15972,35
2020-03-30,INDUSTRIAL,7,120
2019-02-13,INDUSTRIAL,3504,50
2019-01-10,INDUSTRIAL,2266,84
2019-01-09,INDUSTRIAL,544,56
2019-03-12,INDUSTRIAL,178,42
2019-01-14,INDUSTRIAL,118,49
2019-03-08,INDUSTRIAL,12,69
2019-03-22,INDUSTRIAL,327,5
2021-12-12,INDUSTRIAL,8008,140
2019-03-05,INDUSTRIAL,562,48
2019-02-03,INDUSTRIAL,1710,26
2019-03-13,INDUSTRIAL,428,45
2019-02-09,INDUSTRIAL,51052,141
2019-03-09,INDUSTRIAL,1089,65
2019-03-02,INDUSTRIAL,2881,91
2019-02-19,INDUSTRIAL,96,58
2019-05-25,INDUSTRIAL,1387,94
2020-02-11,INDUSTRIAL,2,121
2021-11-23,INDUSTRIAL,1755,74
2019-03-12,INDUSTRIAL,52,72
2019-02-17,INDUSTRIAL,148,41
2019-02-11,INDUSTRIAL,51,59
2019-01-24,INDUSTRIAL,1338,88
2019-01-24,INDUSTRIAL,805,63
2019-01-09,INDUSTRIAL,757,70
2019-06-06,INDUSTRIAL,1159,16
2019-02-17,INDUSTRIAL,405,150
2020-12-29,INDUSTRIAL,31,125
2019-03-05,INDUSTRIAL,16,4
2019-01-03,INDUSTRIAL,11,8
2019-03-10,INDUSTRIAL,16,7
2019-03-03,INDUSTRIAL,66,66
2019-02-07,INDUSTRIAL,60,11
2019-02-16,INDUSTRIAL,790,154
2019-03-22,INDUSTRIAL,14675,152
2019-03-03,INDUSTRIAL,131,44
2020-03-17,INDUSTRIAL,51,122
2019-01-22,INDUSTRIAL,10373,39
2020-02-04,INDUSTRIAL,4101,2
2019-01-11,INDUSTRIAL,1346,75
2019-01-15,INDUSTRIAL,679,61
2019-06-24,INDUSTRIAL,3910,157
2019-04-18,INDUSTRIAL,793,15
2020-01-09,INDUSTRIAL,769,117
2019-01-30,INDUSTRIAL,11,57
2019-02-07,INDUSTRIAL,26,51
2020-07-19,INDUSTRIAL,24,124
2019-01-10,INDUSTRIAL,82,6
2019-02-06,INDUSTRIAL,23,9
2019-02-07,INDUSTRIAL,1710,77
2019-02-04,INDUSTRIAL,192,53
2019-01-03,INDUSTRIAL,6,80
2019-02-17,INDUSTRIAL,176,79
2021-03-12,INDUSTRIAL,1704,129
2020-05-27,INDUSTRIAL,7928,25
2019-01-03,INDUSTRIAL,13968,35
2020-03-13,INDUSTRIAL,368,120
2019-02-20,INDUSTRIAL,409,50
2019-01-31,INDUSTRIAL,3890,84
2019-01-27,INDUSTRIAL,4,56
2019-03-25,INDUSTRIAL,266,42
2019-01-20,INDUSTRIAL,3,49
2019-03-11,INDUSTRIAL,11,69
2019-03-23,INDUSTRIAL,2,5
2021-12-13,INDUSTRIAL,8271,140
2019-03-04,INDUSTRIAL,558,48
2019-02-27,INDUSTRIAL,6100,26
2019-03-20,INDUSTRIAL,325,45
2019-02-01,INDUSTRIAL,53601,141
2019-03-13,INDUSTRIAL,228,65
2019-03-16,INDUSTRIAL,2108,91
2019-02-06,INDUSTRIAL,35,58
2019-05-19,INDUSTRIAL,1394,94
2020-02-17,INDUSTRIAL,15,121
2021-11-24,INDUSTRIAL,1480,74
2019-03-07,INDUSTRIAL,47,72
2019-02-19,INDUSTRIAL,16,41
2019-02-23,INDUSTRIAL,378,59
2019-01-03,INDUSTRIAL,839,88
2019-01-29,INDUSTRIAL,265,63
2019-01-03,INDUSTRIAL,94,40
2019-06-03,INDUSTRIAL,647,16
2019-02-07,INDUSTRIAL,16,150
2020-12-28,INDUSTRIAL,23,125
2019-06-26,INDUSTRIAL,6,4
2019-01-07,INDUSTRIAL,7,8
2019-03-14,INDUSTRIAL,175,7
2019-03-05,INDUSTRIAL,323,66
2019-02-27,INDUSTRIAL,116,11
2019-02-28,INDUSTRIAL,31400,154
2019-03-04,INDUSTRIAL,12104,152
2019-03-10,INDUSTRIAL,132,44
2020-03-15,INDUSTRIAL,98,122
2019-01-03,INDUSTRIAL,3864,39
2020-02-23,INDUSTRIAL,76,2
2019-01-08,INDUSTRIAL,3072,75
2019-01-02,INDUSTRIAL,849,61
2019-06-16,INDUSTRIAL,29580,157
2019-04-24,INDUSTRIAL,1085,15
2020-01-11,INDUSTRIAL,1,117
2019-01-19,INDUSTRIAL,1,57
2019-02-27,INDUSTRIAL,223,51
2020-07-28,INDUSTRIAL,171,124
2019-01-16,INDUSTRIAL,115,6
2019-02-08,INDUSTRIAL,52,9
2019-02-13,INDUSTRIAL,7650,77
2019-02-14,INDUSTRIAL,293,53
2019-01-16,INDUSTRIAL,104,80
2019-02-14,INDUSTRIAL,91,79
2021-03-13,INDUSTRIAL,1188,129
2020-05-26,INDUSTRIAL,5,25
2019-01-06,INDUSTRIAL,13364,35
2020-03-12,INDUSTRIAL,237,120
2019-02-08,INDUSTRIAL,7940,50
