,FECHA,USO,CONSUMO,ID_CONTADOR
3,2021-02-11,INDUSTRIAL,12550,333
7,2020-01-31,INDUSTRIAL,89250,1
16,2020-10-08,INDUSTRIAL,-403050,399
20,2019-08-14,INDUSTRIAL,33780,398
21,2019-06-28,INDUSTRIAL,96600,394
22,2019-01-28,INDUSTRIAL,8748,238
27,2019-01-14,INDUSTRIAL,42800,388
39,2019-02-18,INDUSTRIAL,390700,387
41,2020-03-11,INDUSTRIAL,15182,316
43,2019-08-04,INDUSTRIAL,26076,229
47,2019-03-10,INDUSTRIAL,25610,391
54,2019-03-31,INDUSTRIAL,23913,382
57,2019-01-17,INDUSTRIAL,30150,383
63,2021-03-03,INDUSTRIAL,8470,333
65,2019-10-30,INDUSTRIAL,8579,249
76,2020-10-07,INDUSTRIAL,41300,399
80,2019-08-13,INDUSTRIAL,46436,398
84,2019-05-30,INDUSTRIAL,11100,121
87,2019-01-30,INDUSTRIAL,43320,388
99,2019-02-16,INDUSTRIAL,283000,387
101,2020-03-03,INDUSTRIAL,15799,316
107,2019-03-24,INDUSTRIAL,32210,391
114,2019-03-05,INDUSTRIAL,26396,382
117,2019-01-16,INDUSTRIAL,31883,383
123,2021-03-07,INDUSTRIAL,44030,333
140,2019-08-11,INDUSTRIAL,32120,398
141,2019-06-13,INDUSTRIAL,156670,394
147,2019-01-20,INDUSTRIAL,15520,388
159,2019-02-04,INDUSTRIAL,389700,387
161,2020-03-10,INDUSTRIAL,16526,316
163,2019-08-16,INDUSTRIAL,16622,229
167,2019-03-04,INDUSTRIAL,34562,391
174,2019-03-09,INDUSTRIAL,24026,382
183,2021-03-01,INDUSTRIAL,15430,333
200,2019-08-15,INDUSTRIAL,41240,398
201,2019-06-29,INDUSTRIAL,55160,394
207,2019-01-08,INDUSTRIAL,19082,388
212,2019-02-01,INDUSTRIAL,13518,236
219,2019-02-21,INDUSTRIAL,367600,387
221,2020-03-07,INDUSTRIAL,20384,316
223,2019-08-18,INDUSTRIAL,19844,229
227,2019-03-18,INDUSTRIAL,33550,391
234,2019-03-07,INDUSTRIAL,26530,382
237,2019-01-29,INDUSTRIAL,39829,383
260,2019-08-21,INDUSTRIAL,28540,398
261,2019-06-06,INDUSTRIAL,137940,394
267,2019-01-06,INDUSTRIAL,9927,388
279,2019-02-26,INDUSTRIAL,314500,387
281,2020-03-25,INDUSTRIAL,10534,316
283,2019-08-12,INDUSTRIAL,12755,229
287,2019-03-25,INDUSTRIAL,27850,391
