,FECHA,USO,CONSUMO,ID_CONTADOR
8,2019-02-03,INDUSTRIAL,2939,51
18,2019-02-01,INDUSTRIAL,31560,15
39,2020-06-23,INDUSTRIAL,2911,23
49,2019-02-21,INDUSTRIAL,9391,92
56,2019-03-16,INDUSTRIAL,2811,96
58,2019-02-08,INDUSTRIAL,3584,51
64,2019-02-17,INDUSTRIAL,2151,76
66,2019-03-31,INDUSTRIAL,2789,91
68,2019-02-22,INDUSTRIAL,37250,15
105,2019-03-25,INDUSTRIAL,3487,96
107,2019-02-07,INDUSTRIAL,3166,51
109,2020-02-28,INDUSTRIAL,1963,28
117,2019-02-05,INDUSTRIAL,19480,15
119,2019-02-26,INDUSTRIAL,24938,99
125,2020-02-18,INDUSTRIAL,3294,115
154,2019-03-13,INDUSTRIAL,6688,96
156,2019-02-16,INDUSTRIAL,2785,51
166,2019-02-18,INDUSTRIAL,19960,15
168,2019-02-18,INDUSTRIAL,13469,99
179,2020-02-29,INDUSTRIAL,2900,39
188,2021-03-17,INDUSTRIAL,35196,100
203,2019-03-10,INDUSTRIAL,4324,96
205,2019-02-02,INDUSTRIAL,2971,51
215,2019-02-11,INDUSTRIAL,19020,15
223,2020-02-13,INDUSTRIAL,8190,115
252,2019-03-03,INDUSTRIAL,2975,96
254,2019-02-15,INDUSTRIAL,3245,51
264,2019-02-19,INDUSTRIAL,27610,15
272,2020-02-14,INDUSTRIAL,11940,115
301,2019-03-04,INDUSTRIAL,3985,96
303,2019-02-01,INDUSTRIAL,3289,51
313,2019-02-14,INDUSTRIAL,24630,15
321,2020-02-06,INDUSTRIAL,4830,115
350,2019-03-28,INDUSTRIAL,6387,96
352,2019-02-28,INDUSTRIAL,5659,51
362,2019-02-17,INDUSTRIAL,42830,15
370,2020-02-03,INDUSTRIAL,18384,115
392,2019-02-11,INDUSTRIAL,13895,92
399,2019-03-15,INDUSTRIAL,5084,96
401,2019-02-24,INDUSTRIAL,3690,51
411,2019-02-08,INDUSTRIAL,55050,15
413,2019-02-25,INDUSTRIAL,22510,99
424,2020-02-06,INDUSTRIAL,1964,39
433,2021-03-25,INDUSTRIAL,2881,100
440,2020-03-05,INDUSTRIAL,2239,36
448,2019-03-26,INDUSTRIAL,2191,96
450,2019-02-18,INDUSTRIAL,3219,51
460,2019-02-10,INDUSTRIAL,18180,15
482,2021-03-18,INDUSTRIAL,24133,100
497,2019-03-22,INDUSTRIAL,3610,96
499,2019-02-10,INDUSTRIAL,3911,51
505,2019-02-16,INDUSTRIAL,3012,94
509,2019-02-06,INDUSTRIAL,27130,15
539,2019-02-02,INDUSTRIAL,1966,92
546,2019-03-29,INDUSTRIAL,5156,96
548,2019-02-09,INDUSTRIAL,3674,51
558,2019-02-12,INDUSTRIAL,25090,15
560,2019-02-06,INDUSTRIAL,10887,99
588,2019-02-06,INDUSTRIAL,16974,92
595,2019-03-11,INDUSTRIAL,4764,96
597,2019-02-19,INDUSTRIAL,3788,51
605,2019-03-17,INDUSTRIAL,2496,91
607,2019-02-28,INDUSTRIAL,23820,15
609,2019-02-28,INDUSTRIAL,23431,99
620,2020-02-25,INDUSTRIAL,1852,39
644,2019-03-24,INDUSTRIAL,2130,96
646,2019-02-12,INDUSTRIAL,2915,51
654,2019-03-07,INDUSTRIAL,1873,91
656,2019-02-04,INDUSTRIAL,25690,15
658,2019-02-08,INDUSTRIAL,2551,99
669,2020-02-22,INDUSTRIAL,2064,39
693,2019-03-05,INDUSTRIAL,5429,96
695,2019-02-17,INDUSTRIAL,3725,51
703,2019-03-23,INDUSTRIAL,2180,91
705,2019-02-24,INDUSTRIAL,19140,15
707,2019-02-14,INDUSTRIAL,22282,99
734,2020-03-02,INDUSTRIAL,2110,36
742,2019-03-14,INDUSTRIAL,6301,96
744,2019-02-14,INDUSTRIAL,3724,51
752,2019-03-24,INDUSTRIAL,3540,91
754,2019-02-03,INDUSTRIAL,20480,15
756,2019-02-20,INDUSTRIAL,45606,99
783,2020-03-31,INDUSTRIAL,2478,36
791,2019-03-08,INDUSTRIAL,5537,96
803,2019-02-23,INDUSTRIAL,19480,15
805,2019-02-22,INDUSTRIAL,13646,99
832,2020-03-04,INDUSTRIAL,2244,36
840,2019-03-23,INDUSTRIAL,3013,96
842,2019-02-23,INDUSTRIAL,3442,51
848,2019-02-01,INDUSTRIAL,6037,94
850,2019-03-22,INDUSTRIAL,2193,91
852,2019-02-15,INDUSTRIAL,34400,15
854,2019-02-12,INDUSTRIAL,18369,99
865,2020-02-26,INDUSTRIAL,3091,39
889,2019-03-01,INDUSTRIAL,1877,96
891,2019-02-27,INDUSTRIAL,3843,51
899,2019-03-16,INDUSTRIAL,2303,91
901,2019-02-27,INDUSTRIAL,28750,15
903,2019-02-11,INDUSTRIAL,18258,99
938,2019-03-20,INDUSTRIAL,4444,96
940,2019-02-26,INDUSTRIAL,2968,51
950,2019-02-09,INDUSTRIAL,22950,15
963,2020-02-08,INDUSTRIAL,2029,39
987,2019-03-18,INDUSTRIAL,2380,96
989,2019-02-25,INDUSTRIAL,4820,51
997,2019-03-30,INDUSTRIAL,3143,91
999,2019-02-02,INDUSTRIAL,19490,15
1001,2019-02-05,INDUSTRIAL,2214,99
1028,2020-03-08,INDUSTRIAL,3055,36
1036,2019-03-06,INDUSTRIAL,4675,96
1038,2019-02-21,INDUSTRIAL,3075,51
1048,2019-02-13,INDUSTRIAL,29050,15
1050,2019-02-07,INDUSTRIAL,11559,99
1061,2020-02-21,INDUSTRIAL,2188,39
1085,2019-03-07,INDUSTRIAL,5863,96
1087,2019-02-11,INDUSTRIAL,2691,51
1093,2019-02-03,INDUSTRIAL,2797,94
1097,2019-02-16,INDUSTRIAL,21380,15
1099,2019-02-15,INDUSTRIAL,2895,99
1126,2020-03-11,INDUSTRIAL,2380,36
1134,2019-03-17,INDUSTRIAL,2207,96
1136,2019-02-20,INDUSTRIAL,3140,51
1144,2019-03-15,INDUSTRIAL,1973,91
1146,2019-02-26,INDUSTRIAL,28030,15
1148,2019-02-27,INDUSTRIAL,22798,99
1175,2020-03-03,INDUSTRIAL,2546,36
1183,2019-03-21,INDUSTRIAL,3337,96
1185,2019-02-22,INDUSTRIAL,3804,51
1193,2019-03-10,INDUSTRIAL,2727,91
1195,2019-02-20,INDUSTRIAL,25730,15
1197,2019-02-01,INDUSTRIAL,3372,99
1232,2019-03-12,INDUSTRIAL,2551,96
1242,2019-03-03,INDUSTRIAL,3276,91
1244,2019-02-25,INDUSTRIAL,16252,15
1274,2019-02-16,INDUSTRIAL,2504,92
1281,2019-03-27,INDUSTRIAL,3156,96
1283,2019-02-04,INDUSTRIAL,2211,51
1291,2019-03-02,INDUSTRIAL,2462,91
1293,2019-02-21,INDUSTRIAL,18996,15
1316,2019-03-07,INDUSTRIAL,9441,72
1323,2019-02-24,INDUSTRIAL,1859,92
1330,2019-03-31,INDUSTRIAL,2633,96
1332,2019-02-13,INDUSTRIAL,2213,51
1338,2019-02-16,INDUSTRIAL,1972,76
1342,2019-02-07,INDUSTRIAL,21818,15
1355,2020-02-27,INDUSTRIAL,1907,39
1365,2019-03-29,INDUSTRIAL,3750,72
1372,2019-02-20,INDUSTRIAL,2535,92
1379,2019-03-30,INDUSTRIAL,2030,96
1381,2019-04-24,INDUSTRIAL,8628,51
1391,2019-04-16,INDUSTRIAL,15220,15
1414,2019-03-27,INDUSTRIAL,3874,72
1428,2019-03-19,INDUSTRIAL,2099,96
1430,2019-04-15,INDUSTRIAL,4610,51
1440,2019-04-17,INDUSTRIAL,13810,15
1463,2019-03-22,INDUSTRIAL,3921,72
1469,2020-03-30,INDUSTRIAL,2430,36
1479,2019-04-29,INDUSTRIAL,4747,51
1485,2019-02-17,INDUSTRIAL,4049,94
1489,2019-04-12,INDUSTRIAL,39910,15
1512,2019-03-16,INDUSTRIAL,4323,72
1526,2019-06-12,INDUSTRIAL,9673,96
1528,2019-04-13,INDUSTRIAL,8779,51
1534,2019-02-02,INDUSTRIAL,6649,94
1536,2019-03-29,INDUSTRIAL,1850,91
1538,2019-04-18,INDUSTRIAL,29240,15
1540,2019-04-17,INDUSTRIAL,12646,99
1551,2020-02-20,INDUSTRIAL,1923,39
1561,2019-03-11,INDUSTRIAL,4498,72
1567,2020-03-29,INDUSTRIAL,2366,36
1568,2019-04-17,INDUSTRIAL,3855,92
1575,2019-06-26,INDUSTRIAL,11784,96
1577,2019-04-16,INDUSTRIAL,4930,51
1583,2019-02-23,INDUSTRIAL,2439,94
1585,2019-03-09,INDUSTRIAL,2984,91
1586,2020-04-29,INDUSTRIAL,6329,22
1587,2019-04-25,INDUSTRIAL,41620,15
1589,2019-04-30,INDUSTRIAL,13500,99
1593,2019-01-05,INDUSTRIAL,1808,49
1606,2019-05-20,INDUSTRIAL,49970,116
1610,2019-03-02,INDUSTRIAL,5105,72
1617,2019-04-30,INDUSTRIAL,7180,92
1624,2019-06-16,INDUSTRIAL,9461,96
1626,2019-04-09,INDUSTRIAL,4433,51
1628,2020-05-08,INDUSTRIAL,1907,28
1630,2019-04-19,INDUSTRIAL,1811,50
1634,2019-03-19,INDUSTRIAL,2047,91
1635,2020-04-30,INDUSTRIAL,3687,22
1649,2020-03-05,INDUSTRIAL,2744,39
1659,2019-03-03,INDUSTRIAL,5401,72
1673,2019-06-29,INDUSTRIAL,7879,96
1675,2019-04-11,INDUSTRIAL,5033,51
1683,2019-03-28,INDUSTRIAL,2047,91
1685,2019-04-05,INDUSTRIAL,25960,15
1687,2019-04-16,INDUSTRIAL,37452,99
1693,2020-08-04,INDUSTRIAL,26850,115
1704,2019-05-02,INDUSTRIAL,24900,116
1708,2019-03-14,INDUSTRIAL,3878,72
1722,2019-06-05,INDUSTRIAL,12072,96
1724,2019-04-02,INDUSTRIAL,4850,51
1726,2020-05-07,INDUSTRIAL,1853,28
