,FECHA,USO,CONSUMO,ID_CONTADOR
21,2019-01-27,INDUSTRIAL,9920,435
25,2019-02-05,INDUSTRIAL,8600,263
33,2019-02-10,INDUSTRIAL,10641,194
81,2019-01-08,INDUSTRIAL,6750,435
93,2019-02-15,INDUSTRIAL,12656,194
104,2019-03-02,INDUSTRIAL,24140,434
111,2019-03-22,INDUSTRIAL,8498,282
141,2019-01-07,INDUSTRIAL,9450,435
153,2019-02-25,INDUSTRIAL,11429,194
164,2019-03-04,INDUSTRIAL,17700,434
166,2019-01-10,INDUSTRIAL,9954,214
170,2019-02-18,INDUSTRIAL,9998,195
171,2019-03-21,INDUSTRIAL,9527,282
201,2019-01-19,INDUSTRIAL,8690,435
208,2019-02-11,INDUSTRIAL,8700,426
213,2019-02-22,INDUSTRIAL,11496,194
224,2019-03-01,INDUSTRIAL,12910,434
230,2019-02-14,INDUSTRIAL,9721,195
231,2019-03-25,INDUSTRIAL,8672,282
261,2019-01-29,INDUSTRIAL,9830,435
268,2019-02-15,INDUSTRIAL,7690,426
273,2019-02-05,INDUSTRIAL,10410,194
284,2019-03-22,INDUSTRIAL,36470,434
290,2019-02-12,INDUSTRIAL,7883,195
291,2019-03-28,INDUSTRIAL,9075,282
321,2019-01-30,INDUSTRIAL,12660,435
328,2019-02-08,INDUSTRIAL,8200,426
333,2019-02-26,INDUSTRIAL,10734,194
350,2019-02-15,INDUSTRIAL,6915,195
351,2019-03-27,INDUSTRIAL,9328,282
379,2019-05-13,INDUSTRIAL,25770,432
381,2019-01-23,INDUSTRIAL,10200,435
384,2019-04-29,INDUSTRIAL,14157,288
388,2019-02-06,INDUSTRIAL,8500,426
393,2019-02-24,INDUSTRIAL,13945,194
411,2019-03-26,INDUSTRIAL,8554,282
432,2019-02-18,INDUSTRIAL,7980,197
441,2019-01-28,INDUSTRIAL,7840,435
444,2019-04-26,INDUSTRIAL,14136,288
448,2019-02-22,INDUSTRIAL,8280,426
453,2019-02-03,INDUSTRIAL,13990,194
471,2019-03-20,INDUSTRIAL,8517,282
487,2019-03-26,INDUSTRIAL,8136,193
499,2019-05-06,INDUSTRIAL,32990,432
501,2019-01-18,INDUSTRIAL,9830,435
508,2019-02-25,INDUSTRIAL,8310,426
513,2019-02-20,INDUSTRIAL,8403,194
531,2019-03-23,INDUSTRIAL,8133,282
532,2019-03-20,INDUSTRIAL,23943,17
547,2019-03-18,INDUSTRIAL,8963,193
559,2019-05-08,INDUSTRIAL,40690,432
561,2019-01-15,INDUSTRIAL,10540,435
573,2019-02-27,INDUSTRIAL,12978,194
591,2019-03-30,INDUSTRIAL,8483,282
619,2019-05-04,INDUSTRIAL,13060,432
621,2019-01-06,INDUSTRIAL,9970,435
633,2019-02-09,INDUSTRIAL,13405,194
644,2019-03-27,INDUSTRIAL,36130,434
651,2019-03-24,INDUSTRIAL,10025,282
681,2019-01-11,INDUSTRIAL,10490,435
688,2019-02-01,INDUSTRIAL,8120,426
693,2019-02-23,INDUSTRIAL,15033,194
704,2019-03-20,INDUSTRIAL,30920,434
711,2019-03-31,INDUSTRIAL,7624,282
739,2019-05-03,INDUSTRIAL,37590,432
741,2019-01-13,INDUSTRIAL,11170,435
753,2019-02-19,INDUSTRIAL,8512,194
754,2019-03-25,INDUSTRIAL,6458,289
764,2019-03-29,INDUSTRIAL,25140,434
770,2019-02-09,INDUSTRIAL,7376,7
771,2019-03-29,INDUSTRIAL,6510,282
799,2019-05-31,INDUSTRIAL,28290,432
801,2019-01-02,INDUSTRIAL,10720,435
813,2019-02-21,INDUSTRIAL,10445,194
814,2019-03-04,INDUSTRIAL,6356,289
824,2019-03-13,INDUSTRIAL,39140,434
831,2019-06-14,INDUSTRIAL,8047,282
849,2019-03-22,INDUSTRIAL,79722,260
859,2019-05-07,INDUSTRIAL,9460,432
861,2019-01-24,INDUSTRIAL,10430,435
864,2019-04-17,INDUSTRIAL,14102,288
873,2019-02-13,INDUSTRIAL,8828,194
891,2019-06-16,INDUSTRIAL,7106,282
909,2019-03-09,INDUSTRIAL,78924,260
919,2019-05-02,INDUSTRIAL,41160,432
921,2019-01-31,INDUSTRIAL,11520,435
933,2019-02-16,INDUSTRIAL,15537,194
951,2019-06-23,INDUSTRIAL,9251,282
969,2019-03-23,INDUSTRIAL,79710,260
970,2019-03-03,INDUSTRIAL,7388,254
979,2019-05-01,INDUSTRIAL,63370,432
981,2019-01-14,INDUSTRIAL,6920,435
993,2019-02-08,INDUSTRIAL,9954,194
1004,2019-03-11,INDUSTRIAL,44620,434
1010,2019-02-02,INDUSTRIAL,7720,7
1011,2019-06-01,INDUSTRIAL,7551,282
1029,2019-03-10,INDUSTRIAL,79276,260
1030,2019-03-10,INDUSTRIAL,6928,254
1041,2019-01-10,INDUSTRIAL,9710,435
1053,2019-02-11,INDUSTRIAL,9756,194
1071,2019-06-12,INDUSTRIAL,12244,282
1089,2019-03-29,INDUSTRIAL,52456,260
1090,2019-03-17,INDUSTRIAL,7035,254
1099,2019-05-05,INDUSTRIAL,39830,432
