,FECHA,USO,CONSUMO,ID_CONTADOR
3,2021-11-15,INDUSTRIAL,32418,16
9,2021-02-27,INDUSTRIAL,48349,114
12,2020-03-29,INDUSTRIAL,142100,17
18,2019-06-27,INDUSTRIAL,43670,133
20,2019-06-27,INDUSTRIAL,52220,135
22,2020-07-31,INDUSTRIAL,99812,123
23,2019-03-31,INDUSTRIAL,39655,128
29,2019-03-31,INDUSTRIAL,39222,121
41,2019-02-14,INDUSTRIAL,56120,1
58,2021-11-17,INDUSTRIAL,25563,16
64,2021-02-26,INDUSTRIAL,42350,114
67,2020-03-28,INDUSTRIAL,136230,17
73,2019-06-29,INDUSTRIAL,30940,133
78,2019-03-18,INDUSTRIAL,70221,128
84,2019-03-15,INDUSTRIAL,41045,121
96,2019-02-15,INDUSTRIAL,98730,1
119,2021-02-28,INDUSTRIAL,44479,114
122,2020-03-27,INDUSTRIAL,134120,17
128,2019-06-24,INDUSTRIAL,69220,133
133,2019-03-23,INDUSTRIAL,36135,128
139,2019-03-13,INDUSTRIAL,42953,121
143,2019-03-07,INDUSTRIAL,31549,75
151,2019-02-06,INDUSTRIAL,95090,1
158,2019-03-22,INDUSTRIAL,25236,125
163,2021-01-26,INDUSTRIAL,200630,136
168,2021-11-16,INDUSTRIAL,33207,16
177,2020-03-26,INDUSTRIAL,132260,17
183,2019-06-30,INDUSTRIAL,40190,133
188,2019-03-04,INDUSTRIAL,62180,128
194,2019-03-20,INDUSTRIAL,48788,121
213,2019-03-29,INDUSTRIAL,25251,125
214,2019-02-08,INDUSTRIAL,34130,130
218,2021-01-21,INDUSTRIAL,234310,136
223,2021-11-18,INDUSTRIAL,28427,16
229,2021-03-20,INDUSTRIAL,27433,114
232,2020-03-25,INDUSTRIAL,134510,17
238,2019-06-28,INDUSTRIAL,37270,133
240,2019-06-18,INDUSTRIAL,30510,135
243,2019-03-24,INDUSTRIAL,33672,128
244,2019-07-23,INDUSTRIAL,48730,48
249,2019-03-24,INDUSTRIAL,45382,121
261,2019-02-04,INDUSTRIAL,111400,1
269,2019-02-28,INDUSTRIAL,38240,130
273,2021-01-23,INDUSTRIAL,219520,136
287,2020-03-24,INDUSTRIAL,130690,17
293,2019-06-26,INDUSTRIAL,38950,133
295,2019-06-06,INDUSTRIAL,29230,135
298,2019-03-06,INDUSTRIAL,64618,128
299,2019-07-19,INDUSTRIAL,34670,48
304,2019-03-28,INDUSTRIAL,43680,121
324,2019-02-19,INDUSTRIAL,44710,130
328,2021-01-27,INDUSTRIAL,238550,136
342,2020-03-23,INDUSTRIAL,119880,17
348,2019-06-25,INDUSTRIAL,45830,133
350,2019-06-25,INDUSTRIAL,38470,135
353,2019-03-05,INDUSTRIAL,67309,128
354,2019-07-28,INDUSTRIAL,32350,48
358,2020-02-04,INDUSTRIAL,29388,138
359,2019-03-19,INDUSTRIAL,46381,121
371,2019-02-01,INDUSTRIAL,26790,1
379,2019-02-04,INDUSTRIAL,29020,130
383,2021-01-20,INDUSTRIAL,205270,136
397,2020-03-22,INDUSTRIAL,120320,17
403,2019-06-23,INDUSTRIAL,43946,133
408,2019-03-09,INDUSTRIAL,35496,128
409,2019-07-21,INDUSTRIAL,32030,48
414,2019-03-12,INDUSTRIAL,45290,121
434,2019-02-26,INDUSTRIAL,37945,130
438,2021-01-28,INDUSTRIAL,221140,136
452,2020-03-21,INDUSTRIAL,118770,17
458,2019-06-22,INDUSTRIAL,27250,133
460,2019-06-10,INDUSTRIAL,49760,135
463,2019-03-30,INDUSTRIAL,37290,128
464,2019-07-27,INDUSTRIAL,35290,48
469,2019-03-27,INDUSTRIAL,43700,121
481,2019-02-03,INDUSTRIAL,44470,1
489,2019-02-12,INDUSTRIAL,39495,130
493,2021-01-22,INDUSTRIAL,207960,136
495,2021-03-17,INDUSTRIAL,27660,118
507,2020-03-20,INDUSTRIAL,119540,17
515,2019-06-11,INDUSTRIAL,33380,135
518,2019-03-25,INDUSTRIAL,83601,128
524,2019-03-04,INDUSTRIAL,48104,121
544,2019-02-27,INDUSTRIAL,35315,130
548,2021-01-25,INDUSTRIAL,194480,136
562,2020-03-19,INDUSTRIAL,115690,17
565,2021-01-19,INDUSTRIAL,35737,77
568,2019-09-07,INDUSTRIAL,29650,133
570,2019-06-04,INDUSTRIAL,30620,135
573,2019-03-14,INDUSTRIAL,73599,128
579,2019-03-23,INDUSTRIAL,38029,121
599,2019-02-13,INDUSTRIAL,26335,130
603,2021-01-29,INDUSTRIAL,200970,136
617,2020-03-18,INDUSTRIAL,117390,17
620,2021-01-27,INDUSTRIAL,60553,77
625,2019-06-19,INDUSTRIAL,68270,135
628,2019-03-16,INDUSTRIAL,36195,128
634,2019-03-10,INDUSTRIAL,41568,121
646,2019-02-19,INDUSTRIAL,37280,1
653,2019-03-27,INDUSTRIAL,25283,125
654,2019-02-06,INDUSTRIAL,25593,130
658,2021-01-30,INDUSTRIAL,186700,136
671,2021-08-19,INDUSTRIAL,-1,150
672,2020-03-17,INDUSTRIAL,113820,17
677,2019-10-05,INDUSTRIAL,27049,58
680,2019-06-24,INDUSTRIAL,75730,135
683,2019-03-13,INDUSTRIAL,59560,128
684,2019-07-30,INDUSTRIAL,26124,48
689,2019-03-02,INDUSTRIAL,39730,121
701,2019-02-21,INDUSTRIAL,56070,1
708,2019-03-25,INDUSTRIAL,25275,125
709,2019-02-05,INDUSTRIAL,31095,130
713,2021-02-09,INDUSTRIAL,156220,136
727,2020-03-16,INDUSTRIAL,109040,17
733,2019-09-10,INDUSTRIAL,34540,133
738,2019-03-11,INDUSTRIAL,72728,128
744,2019-03-25,INDUSTRIAL,44154,121
763,2019-03-15,INDUSTRIAL,25210,125
764,2019-02-25,INDUSTRIAL,32020,130
768,2021-02-10,INDUSTRIAL,200010,136
773,2021-11-29,INDUSTRIAL,25999,16
782,2020-03-15,INDUSTRIAL,107690,17
788,2019-09-04,INDUSTRIAL,29070,133
790,2019-06-21,INDUSTRIAL,75600,135
793,2019-03-10,INDUSTRIAL,34267,128
799,2019-03-03,INDUSTRIAL,43511,121
811,2019-02-13,INDUSTRIAL,32120,1
819,2019-02-07,INDUSTRIAL,38830,130
823,2021-02-11,INDUSTRIAL,230520,136
828,2021-11-30,INDUSTRIAL,26231,16
837,2020-03-14,INDUSTRIAL,106440,17
844,2019-06-26,INDUSTRIAL,79550,135
847,2019-03-02,INDUSTRIAL,35637,128
848,2019-10-15,INDUSTRIAL,31594,48
853,2019-03-05,INDUSTRIAL,43508,121
865,2019-02-26,INDUSTRIAL,44680,1
877,2021-02-12,INDUSTRIAL,119450,136
882,2021-11-22,INDUSTRIAL,28069,16
891,2020-03-13,INDUSTRIAL,128920,17
896,2019-09-29,INDUSTRIAL,28540,133
901,2019-03-26,INDUSTRIAL,69283,128
907,2019-03-01,INDUSTRIAL,39249,121
919,2019-02-28,INDUSTRIAL,31940,1
927,2019-02-20,INDUSTRIAL,30555,130
931,2021-02-13,INDUSTRIAL,242940,136
936,2021-11-04,INDUSTRIAL,28845,16
945,2020-03-12,INDUSTRIAL,121840,17
952,2019-06-03,INDUSTRIAL,59340,135
955,2019-03-27,INDUSTRIAL,65228,128
961,2019-03-14,INDUSTRIAL,43072,121
973,2019-02-18,INDUSTRIAL,26520,1
981,2019-02-15,INDUSTRIAL,29985,130
985,2021-02-15,INDUSTRIAL,164180,136
990,2021-11-05,INDUSTRIAL,29219,16
999,2020-03-11,INDUSTRIAL,162410,17
1004,2019-09-12,INDUSTRIAL,38850,133
1006,2019-06-28,INDUSTRIAL,92550,135
1009,2019-03-12,INDUSTRIAL,71481,128
1015,2019-03-11,INDUSTRIAL,42275,121
1034,2019-04-01,INDUSTRIAL,30161,125
1053,2020-03-10,INDUSTRIAL,112020,17
1060,2019-06-12,INDUSTRIAL,71420,135
1063,2019-03-19,INDUSTRIAL,69578,128
1069,2019-03-26,INDUSTRIAL,43154,121
1081,2019-02-12,INDUSTRIAL,36190,1
1088,2019-04-15,INDUSTRIAL,26675,125
1089,2019-02-22,INDUSTRIAL,27640,130
1093,2021-02-16,INDUSTRIAL,195250,136
1104,2021-05-24,INDUSTRIAL,37996,114
1107,2020-03-09,INDUSTRIAL,113230,17
1112,2019-09-06,INDUSTRIAL,28170,133
1114,2019-06-14,INDUSTRIAL,70740,135
1116,2019-04-27,INDUSTRIAL,27060,123
1117,2019-03-01,INDUSTRIAL,63129,128
1123,2019-03-07,INDUSTRIAL,39601,121
1142,2019-04-29,INDUSTRIAL,26026,125
1147,2021-02-26,INDUSTRIAL,204730,136
1161,2020-03-08,INDUSTRIAL,103500,17
1166,2019-09-14,INDUSTRIAL,28260,133
1167,2021-02-20,INDUSTRIAL,-1,87
1168,2019-06-05,INDUSTRIAL,27000,135
1170,2019-04-26,INDUSTRIAL,29704,123
1171,2019-03-03,INDUSTRIAL,31951,128
1172,2019-10-11,INDUSTRIAL,25689,48
1177,2019-03-30,INDUSTRIAL,39370,121
1196,2019-04-08,INDUSTRIAL,26394,125
1215,2020-03-07,INDUSTRIAL,98410,17
1225,2019-03-28,INDUSTRIAL,68841,128
1226,2019-10-04,INDUSTRIAL,29068,48
1231,2019-03-09,INDUSTRIAL,39775,121
1243,2019-02-22,INDUSTRIAL,46120,1
1250,2019-04-12,INDUSTRIAL,26627,125
1251,2019-02-11,INDUSTRIAL,29520,130
1255,2021-02-27,INDUSTRIAL,172190,136
1269,2020-03-06,INDUSTRIAL,102660,17
1276,2019-06-07,INDUSTRIAL,39540,135
1278,2019-04-28,INDUSTRIAL,27364,123
1279,2019-03-07,INDUSTRIAL,79734,128
1285,2019-03-06,INDUSTRIAL,44475,121
1297,2019-02-20,INDUSTRIAL,30450,1
1304,2019-04-26,INDUSTRIAL,26538,125
1309,2021-02-28,INDUSTRIAL,48470,136
1320,2021-05-22,INDUSTRIAL,27895,114
1323,2020-03-05,INDUSTRIAL,103630,17
1325,2021-01-18,INDUSTRIAL,71513,77
1333,2019-03-15,INDUSTRIAL,57266,128
1339,2019-03-17,INDUSTRIAL,43873,121
1351,2019-02-27,INDUSTRIAL,29610,1
1358,2019-04-19,INDUSTRIAL,26252,125
1377,2020-03-04,INDUSTRIAL,103200,17
1379,2021-01-26,INDUSTRIAL,35932,77
1382,2019-09-08,INDUSTRIAL,29650,133
1387,2019-03-29,INDUSTRIAL,65514,128
1393,2019-03-08,INDUSTRIAL,43538,121
1412,2019-04-17,INDUSTRIAL,26580,125
1413,2019-02-14,INDUSTRIAL,30495,130
1431,2020-03-03,INDUSTRIAL,107300,17
1436,2019-09-15,INDUSTRIAL,26790,133
1438,2019-06-17,INDUSTRIAL,58990,135
1441,2019-03-17,INDUSTRIAL,34274,128
1447,2019-03-29,INDUSTRIAL,41375,121
1459,2019-02-25,INDUSTRIAL,38380,1
1466,2019-04-24,INDUSTRIAL,26597,125
1467,2019-02-02,INDUSTRIAL,25430,130
1482,2021-05-21,INDUSTRIAL,36384,114
1485,2020-03-02,INDUSTRIAL,115210,17
1490,2019-09-11,INDUSTRIAL,42980,133
1492,2019-06-20,INDUSTRIAL,28856,135
1495,2019-03-21,INDUSTRIAL,69643,128
1501,2019-03-22,INDUSTRIAL,40799,121
1513,2019-02-05,INDUSTRIAL,178950,1
1521,2019-02-16,INDUSTRIAL,27365,130
1536,2021-05-30,INDUSTRIAL,32663,114
