,FECHA,USO,CONSUMO,ID_CONTADOR
1,2019-09-03,INDUSTRIAL,62077,200
5,2020-05-12,INDUSTRIAL,76741,207
11,2019-05-28,INDUSTRIAL,68789,260
12,2019-03-17,INDUSTRIAL,41246,175
14,2019-01-17,INDUSTRIAL,37100,277
25,2019-03-27,INDUSTRIAL,13950,125
27,2020-07-23,INDUSTRIAL,22153,262
34,2019-03-17,INDUSTRIAL,104860,296
36,2020-02-02,INDUSTRIAL,24510,302
40,2019-12-20,INDUSTRIAL,31150,285
51,2020-07-12,INDUSTRIAL,16396,210
52,2019-01-30,INDUSTRIAL,112560,276
56,2019-02-19,INDUSTRIAL,62320,55
57,2019-01-22,INDUSTRIAL,79083,264
59,2019-01-04,INDUSTRIAL,22963,270
61,2019-09-05,INDUSTRIAL,24853,200
65,2020-05-08,INDUSTRIAL,50531,207
66,2019-01-10,INDUSTRIAL,22348,289
67,2019-03-19,INDUSTRIAL,54230,294
71,2019-05-23,INDUSTRIAL,69101,260
72,2019-03-20,INDUSTRIAL,32434,175
74,2019-01-21,INDUSTRIAL,37800,277
85,2019-03-05,INDUSTRIAL,14300,125
87,2020-07-21,INDUSTRIAL,24691,262
94,2019-03-27,INDUSTRIAL,54113,296
96,2020-02-26,INDUSTRIAL,22360,302
100,2019-12-06,INDUSTRIAL,18750,285
104,2019-03-01,INDUSTRIAL,54720,275
111,2020-07-13,INDUSTRIAL,25525,210
112,2019-01-23,INDUSTRIAL,122440,276
116,2019-02-21,INDUSTRIAL,127270,55
117,2019-01-13,INDUSTRIAL,56329,264
119,2019-01-22,INDUSTRIAL,41960,270
121,2019-09-26,INDUSTRIAL,25834,200
132,2019-03-27,INDUSTRIAL,36860,175
134,2019-01-15,INDUSTRIAL,30300,277
140,2019-02-21,INDUSTRIAL,14400,274
145,2019-03-07,INDUSTRIAL,14050,125
147,2020-07-22,INDUSTRIAL,24670,262
148,2019-06-25,INDUSTRIAL,26500,280
154,2019-03-26,INDUSTRIAL,77494,296
156,2020-02-20,INDUSTRIAL,27770,302
160,2019-12-10,INDUSTRIAL,26040,285
164,2019-03-20,INDUSTRIAL,69180,275
171,2020-07-02,INDUSTRIAL,32178,210
172,2019-01-08,INDUSTRIAL,85000,276
176,2019-02-13,INDUSTRIAL,85210,55
177,2019-01-21,INDUSTRIAL,51020,264
179,2019-01-06,INDUSTRIAL,18915,270
