,FECHA,USO,CONSUMO,ID_CONTADOR
0,2019-03-16,INDUSTRIAL,3296,23
2,2019-02-12,INDUSTRIAL,2106,100
17,2019-02-11,INDUSTRIAL,49130,189
18,2019-02-27,INDUSTRIAL,1614,54
24,2019-01-02,INDUSTRIAL,2525,142
39,2019-01-21,INDUSTRIAL,2878,144
57,2019-03-19,INDUSTRIAL,5198,23
74,2019-02-06,INDUSTRIAL,47340,189
81,2019-01-01,INDUSTRIAL,2513,142
96,2019-01-14,INDUSTRIAL,3655,144
114,2019-03-04,INDUSTRIAL,5817,23
116,2019-02-04,INDUSTRIAL,1617,100
131,2019-02-18,INDUSTRIAL,88420,189
153,2019-01-22,INDUSTRIAL,4321,144
171,2019-03-05,INDUSTRIAL,2657,23
173,2019-02-18,INDUSTRIAL,1607,100
188,2019-02-07,INDUSTRIAL,45810,189
210,2019-01-10,INDUSTRIAL,3002,144
228,2019-03-08,INDUSTRIAL,1910,23
245,2019-02-19,INDUSTRIAL,78120,189
246,2019-02-13,INDUSTRIAL,2985,54
267,2019-01-31,INDUSTRIAL,3232,144
285,2019-03-15,INDUSTRIAL,1962,23
302,2019-02-14,INDUSTRIAL,141780,189
324,2019-01-25,INDUSTRIAL,1538,144
342,2019-03-26,INDUSTRIAL,5179,23
344,2019-02-07,INDUSTRIAL,1698,100
355,2019-02-06,INDUSTRIAL,1912,135
357,2019-02-18,INDUSTRIAL,2111,121
358,2019-01-16,INDUSTRIAL,1662,120
359,2019-02-22,INDUSTRIAL,66420,189
360,2019-02-04,INDUSTRIAL,1575,54
381,2019-01-09,INDUSTRIAL,3809,144
393,2019-02-05,INDUSTRIAL,3895,82
411,2019-01-16,INDUSTRIAL,4860,122
416,2019-02-13,INDUSTRIAL,112930,189
438,2019-01-29,INDUSTRIAL,4307,144
458,2019-02-20,INDUSTRIAL,2030,100
473,2019-02-08,INDUSTRIAL,89620,189
495,2019-01-08,INDUSTRIAL,2754,144
507,2019-02-11,INDUSTRIAL,3296,82
530,2019-02-04,INDUSTRIAL,40950,189
552,2019-01-19,INDUSTRIAL,2475,144
570,2019-03-22,INDUSTRIAL,5509,23
587,2019-02-12,INDUSTRIAL,64340,189
609,2019-01-16,INDUSTRIAL,7971,144
644,2019-02-01,INDUSTRIAL,60650,189
666,2019-01-15,INDUSTRIAL,3789,144
674,2019-01-04,INDUSTRIAL,1550,132
684,2019-03-10,INDUSTRIAL,3259,23
697,2019-02-07,INDUSTRIAL,2026,135
723,2019-01-30,INDUSTRIAL,3758,144
731,2019-01-09,INDUSTRIAL,1575,132
741,2019-03-14,INDUSTRIAL,2334,23
743,2019-02-27,INDUSTRIAL,3094,100
780,2019-01-12,INDUSTRIAL,2767,144
798,2019-03-01,INDUSTRIAL,5166,23
815,2019-02-20,INDUSTRIAL,70872,189
845,2019-01-25,INDUSTRIAL,1548,132
855,2019-03-11,INDUSTRIAL,2216,23
868,2019-02-11,INDUSTRIAL,1888,135
872,2019-02-28,INDUSTRIAL,37240,189
880,2019-03-29,INDUSTRIAL,8482,155
914,2019-02-25,INDUSTRIAL,1969,100
929,2019-02-05,INDUSTRIAL,41768,189
937,2019-03-27,INDUSTRIAL,6438,155
951,2019-01-28,INDUSTRIAL,5879,144
969,2019-03-13,INDUSTRIAL,5577,23
971,2019-02-26,INDUSTRIAL,1822,100
980,2019-02-27,INDUSTRIAL,1416,81
982,2019-02-28,INDUSTRIAL,2125,135
994,2019-03-20,INDUSTRIAL,5013,155
1008,2019-01-17,INDUSTRIAL,1504,144
1026,2019-03-24,INDUSTRIAL,3204,23
1043,2019-02-15,INDUSTRIAL,63770,189
