,FECHA,USO,CONSUMO,ID_CONTADOR
10,2019-03-22,INDUSTRIAL,-72680,226
16,2019-02-05,INDUSTRIAL,46655,43
31,2019-01-22,INDUSTRIAL,15020,0
37,2019-03-25,INDUSTRIAL,22273,62
43,2020-05-01,INDUSTRIAL,26137,153
45,2019-01-26,INDUSTRIAL,12776,69
46,2019-01-24,INDUSTRIAL,190275,214
51,2019-02-12,INDUSTRIAL,67967,213
55,2019-01-15,INDUSTRIAL,38528,211
59,2019-07-20,INDUSTRIAL,41808,210
69,2019-03-23,INDUSTRIAL,-108980,226
75,2019-02-21,INDUSTRIAL,52380,43
90,2019-01-21,INDUSTRIAL,14440,0
96,2019-03-19,INDUSTRIAL,18490,62
102,2020-05-15,INDUSTRIAL,25312,153
104,2019-01-17,INDUSTRIAL,18564,69
105,2019-01-20,INDUSTRIAL,126408,214
110,2019-02-22,INDUSTRIAL,68498,213
114,2019-01-03,INDUSTRIAL,49696,211
118,2019-07-16,INDUSTRIAL,43436,210
128,2019-03-09,INDUSTRIAL,-114070,226
134,2019-02-02,INDUSTRIAL,46058,43
149,2019-01-28,INDUSTRIAL,16096,0
153,2019-09-17,INDUSTRIAL,10748,149
155,2019-03-27,INDUSTRIAL,19708,62
161,2020-05-24,INDUSTRIAL,17840,153
163,2019-01-27,INDUSTRIAL,16870,69
164,2019-01-17,INDUSTRIAL,204847,214
169,2019-02-06,INDUSTRIAL,64114,213
173,2019-01-17,INDUSTRIAL,44792,211
177,2019-07-28,INDUSTRIAL,44584,210
187,2019-03-13,INDUSTRIAL,-107100,226
193,2019-02-08,INDUSTRIAL,55121,43
208,2019-01-23,INDUSTRIAL,13744,0
212,2019-09-29,INDUSTRIAL,13851,149
220,2020-05-27,INDUSTRIAL,45246,153
223,2019-01-31,INDUSTRIAL,221873,214
228,2019-02-27,INDUSTRIAL,60250,213
232,2019-01-22,INDUSTRIAL,42464,211
236,2019-07-19,INDUSTRIAL,41732,210
246,2019-03-24,INDUSTRIAL,-72340,226
252,2019-02-20,INDUSTRIAL,50308,43
267,2019-01-31,INDUSTRIAL,13716,0
271,2019-09-24,INDUSTRIAL,10878,149
279,2020-05-13,INDUSTRIAL,35849,153
282,2019-01-30,INDUSTRIAL,200483,214
287,2019-02-21,INDUSTRIAL,49001,213
291,2019-01-09,INDUSTRIAL,47088,211
295,2019-07-31,INDUSTRIAL,44764,210
305,2019-03-14,INDUSTRIAL,-72050,226
311,2019-02-28,INDUSTRIAL,52634,43
330,2019-09-22,INDUSTRIAL,12349,149
338,2020-05-11,INDUSTRIAL,38448,153
341,2019-01-22,INDUSTRIAL,194734,214
346,2019-02-26,INDUSTRIAL,59861,213
350,2019-01-13,INDUSTRIAL,31168,211
354,2019-07-26,INDUSTRIAL,50372,210
364,2019-03-28,INDUSTRIAL,-73540,226
370,2019-02-22,INDUSTRIAL,55723,43
380,2021-07-29,INDUSTRIAL,11580,209
385,2019-01-25,INDUSTRIAL,28396,0
389,2019-09-19,INDUSTRIAL,11895,149
391,2019-03-20,INDUSTRIAL,17157,62
397,2020-05-03,INDUSTRIAL,13015,153
400,2019-01-19,INDUSTRIAL,130194,214
405,2019-02-01,INDUSTRIAL,63197,213
409,2019-01-27,INDUSTRIAL,27368,211
413,2019-07-11,INDUSTRIAL,42824,210
423,2019-03-25,INDUSTRIAL,-74810,226
429,2019-02-25,INDUSTRIAL,51950,43
444,2019-01-29,INDUSTRIAL,16032,0
450,2019-03-29,INDUSTRIAL,16740,62
456,2020-05-31,INDUSTRIAL,18903,153
459,2019-01-18,INDUSTRIAL,178895,214
464,2019-02-08,INDUSTRIAL,63029,213
468,2019-01-24,INDUSTRIAL,51792,211
472,2019-07-27,INDUSTRIAL,44572,210
482,2019-03-16,INDUSTRIAL,-110430,226
488,2019-02-14,INDUSTRIAL,52009,43
503,2019-01-18,INDUSTRIAL,14240,0
507,2019-09-20,INDUSTRIAL,10973,149
515,2020-05-18,INDUSTRIAL,38005,153
518,2019-01-10,INDUSTRIAL,170188,214
523,2019-02-25,INDUSTRIAL,53810,213
527,2019-01-05,INDUSTRIAL,33152,211
531,2019-07-12,INDUSTRIAL,43080,210
541,2019-03-11,INDUSTRIAL,-49970,226
547,2019-02-24,INDUSTRIAL,38206,43
554,2019-01-20,INDUSTRIAL,28861,212
566,2019-09-21,INDUSTRIAL,11995,149
574,2020-05-14,INDUSTRIAL,26266,153
577,2019-01-03,INDUSTRIAL,137970,214
582,2019-02-03,INDUSTRIAL,55134,213
586,2019-01-19,INDUSTRIAL,27152,211
590,2019-07-13,INDUSTRIAL,43176,210
600,2019-03-26,INDUSTRIAL,-109800,226
606,2019-02-18,INDUSTRIAL,52476,43
613,2019-01-17,INDUSTRIAL,46426,212
625,2019-09-28,INDUSTRIAL,11040,149
627,2019-03-22,INDUSTRIAL,20891,62
633,2020-05-08,INDUSTRIAL,35308,153
636,2019-01-29,INDUSTRIAL,183792,214
641,2019-02-13,INDUSTRIAL,66055,213
645,2019-01-12,INDUSTRIAL,33600,211
649,2019-07-30,INDUSTRIAL,44592,210
659,2019-03-08,INDUSTRIAL,-73380,226
665,2019-02-04,INDUSTRIAL,51370,43
672,2019-01-05,INDUSTRIAL,13838,212
680,2019-01-24,INDUSTRIAL,21336,0
686,2019-03-07,INDUSTRIAL,14538,62
692,2020-05-25,INDUSTRIAL,40456,153
695,2019-01-07,INDUSTRIAL,157664,214
697,2019-02-21,INDUSTRIAL,13789,78
700,2019-02-07,INDUSTRIAL,57185,213
704,2019-01-29,INDUSTRIAL,42496,211
708,2019-07-22,INDUSTRIAL,41944,210
718,2019-03-10,INDUSTRIAL,-35790,226
724,2019-02-13,INDUSTRIAL,53295,43
731,2019-01-23,INDUSTRIAL,37674,212
735,2019-03-12,INDUSTRIAL,15813,46
745,2019-03-01,INDUSTRIAL,15399,62
751,2020-05-06,INDUSTRIAL,33527,153
754,2019-01-21,INDUSTRIAL,184947,214
759,2019-02-28,INDUSTRIAL,51849,213
763,2019-01-07,INDUSTRIAL,50680,211
767,2019-07-14,INDUSTRIAL,43448,210
777,2019-03-19,INDUSTRIAL,-77260,226
783,2019-02-17,INDUSTRIAL,39378,43
790,2019-01-12,INDUSTRIAL,33129,212
795,2019-06-17,INDUSTRIAL,12346,131
798,2019-01-30,INDUSTRIAL,14488,0
804,2019-03-21,INDUSTRIAL,18446,62
810,2020-05-16,INDUSTRIAL,17394,153
811,2019-01-23,INDUSTRIAL,12983,223
813,2019-01-23,INDUSTRIAL,201370,214
818,2019-02-10,INDUSTRIAL,26534,213
822,2019-01-21,INDUSTRIAL,54432,211
826,2019-07-17,INDUSTRIAL,43524,210
836,2019-03-15,INDUSTRIAL,-71100,226
842,2019-02-10,INDUSTRIAL,43309,43
849,2019-01-21,INDUSTRIAL,47326,212
852,2021-08-20,INDUSTRIAL,12680,209
853,2019-03-18,INDUSTRIAL,19574,46
863,2019-03-18,INDUSTRIAL,16785,62
869,2020-05-05,INDUSTRIAL,30441,153
872,2019-01-09,INDUSTRIAL,205818,214
877,2019-02-18,INDUSTRIAL,59146,213
