,FECHA,USO,CONSUMO,ID_CONTADOR
29,2019-03-27,INDUSTRIAL,2771,344
36,2019-02-22,INDUSTRIAL,5287,343
46,2019-03-05,INDUSTRIAL,2950,213
135,2019-01-14,INDUSTRIAL,7955,9
195,2019-01-09,INDUSTRIAL,8849,9
196,2019-03-12,INDUSTRIAL,2305,357
211,2019-01-03,INDUSTRIAL,2988,280
234,2019-01-25,INDUSTRIAL,10217,286
255,2019-01-17,INDUSTRIAL,7316,9
256,2019-03-09,INDUSTRIAL,2348,357
279,2019-02-14,INDUSTRIAL,3121,334
315,2019-01-04,INDUSTRIAL,10158,9
316,2019-03-15,INDUSTRIAL,2305,357
330,2019-01-16,INDUSTRIAL,14686,194
346,2019-03-12,INDUSTRIAL,2706,213
375,2019-01-10,INDUSTRIAL,9430,9
376,2019-03-08,INDUSTRIAL,2310,357
390,2019-01-14,INDUSTRIAL,6497,194
396,2019-02-20,INDUSTRIAL,5378,343
399,2019-02-28,INDUSTRIAL,3718,334
435,2019-01-11,INDUSTRIAL,9484,9
436,2019-03-14,INDUSTRIAL,2238,357
466,2019-03-14,INDUSTRIAL,2257,213
473,2019-01-16,INDUSTRIAL,3981,200
495,2019-01-22,INDUSTRIAL,4926,9
496,2019-03-18,INDUSTRIAL,2306,357
549,2019-01-30,INDUSTRIAL,3697,49
555,2019-01-24,INDUSTRIAL,9104,9
556,2019-03-11,INDUSTRIAL,2308,357
615,2019-01-08,INDUSTRIAL,8299,9
616,2019-03-13,INDUSTRIAL,2302,357
675,2019-01-12,INDUSTRIAL,9733,9
676,2019-03-16,INDUSTRIAL,2370,357
735,2019-01-31,INDUSTRIAL,6297,9
736,2019-03-27,INDUSTRIAL,2865,357
766,2019-03-13,INDUSTRIAL,3380,213
777,2019-01-05,INDUSTRIAL,4106,249
796,2019-03-05,INDUSTRIAL,2770,357
855,2019-01-25,INDUSTRIAL,10818,9
856,2019-03-29,INDUSTRIAL,5041,357
859,2019-01-17,INDUSTRIAL,14400,323
915,2019-01-16,INDUSTRIAL,8229,9
916,2019-03-19,INDUSTRIAL,2304,357
922,2019-02-04,INDUSTRIAL,6443,51
936,2019-02-16,INDUSTRIAL,5328,343
975,2019-01-15,INDUSTRIAL,7977,9
976,2019-03-28,INDUSTRIAL,2851,357
980,2019-03-28,INDUSTRIAL,2866,222
982,2019-02-18,INDUSTRIAL,6013,51
996,2019-02-28,INDUSTRIAL,6999,343
999,2019-02-20,INDUSTRIAL,2631,334
1036,2019-03-26,INDUSTRIAL,2882,357
1048,2019-02-09,INDUSTRIAL,62180,446
1056,2019-02-08,INDUSTRIAL,5303,343
1059,2019-02-25,INDUSTRIAL,3102,334
1095,2019-01-18,INDUSTRIAL,5254,9
1096,2019-03-22,INDUSTRIAL,2281,357
1102,2019-02-15,INDUSTRIAL,5375,51
1108,2019-02-13,INDUSTRIAL,30910,446
1116,2019-02-15,INDUSTRIAL,5267,343
1121,2019-03-20,INDUSTRIAL,2742,326
