,FECHA,USO,CONSUMO,ID_CONTADOR
0,2019-02-26,INDUSTRIAL,23070,444
7,2019-02-16,INDUSTRIAL,10049,412
26,2019-03-02,INDUSTRIAL,5480,831
60,2019-02-06,INDUSTRIAL,11640,444
67,2019-02-10,INDUSTRIAL,9764,412
86,2019-03-18,INDUSTRIAL,80100,831
120,2019-02-12,INDUSTRIAL,16650,444
128,2019-01-14,INDUSTRIAL,5934,384
129,2019-02-06,INDUSTRIAL,11010,468
146,2019-03-01,INDUSTRIAL,53980,831
180,2019-02-05,INDUSTRIAL,11690,444
189,2019-02-12,INDUSTRIAL,14821,468
206,2019-03-20,INDUSTRIAL,98020,831
214,2019-01-17,INDUSTRIAL,6603,470
224,2019-03-16,INDUSTRIAL,15030,349
240,2019-02-21,INDUSTRIAL,25260,444
253,2019-02-27,INDUSTRIAL,4460,829
266,2019-03-12,INDUSTRIAL,71130,831
274,2019-01-30,INDUSTRIAL,6830,470
284,2019-03-23,INDUSTRIAL,12911,349
300,2019-02-16,INDUSTRIAL,11330,444
326,2019-03-08,INDUSTRIAL,53020,831
334,2019-01-26,INDUSTRIAL,6947,470
360,2019-02-15,INDUSTRIAL,11940,444
368,2019-01-13,INDUSTRIAL,12288,384
385,2019-01-02,INDUSTRIAL,8580,429
386,2019-03-07,INDUSTRIAL,64670,831
394,2019-01-31,INDUSTRIAL,6718,470
405,2019-02-28,INDUSTRIAL,4634,183
446,2019-03-13,INDUSTRIAL,53230,831
454,2019-01-02,INDUSTRIAL,10449,470
493,2019-02-13,INDUSTRIAL,5080,829
514,2019-01-21,INDUSTRIAL,7220,470
561,2019-03-14,INDUSTRIAL,4479,494
566,2019-03-28,INDUSTRIAL,13702,405
574,2019-01-22,INDUSTRIAL,6127,470
608,2019-01-12,INDUSTRIAL,9068,384
626,2019-03-24,INDUSTRIAL,11237,405
634,2019-01-06,INDUSTRIAL,7560,470
686,2019-03-08,INDUSTRIAL,13550,405
694,2019-01-04,INDUSTRIAL,9342,470
733,2019-02-19,INDUSTRIAL,6310,829
746,2019-03-20,INDUSTRIAL,14214,405
754,2019-01-25,INDUSTRIAL,6586,470
788,2019-01-11,INDUSTRIAL,4486,466
806,2019-03-26,INDUSTRIAL,13522,405
814,2019-01-10,INDUSTRIAL,7347,470
866,2019-03-30,INDUSTRIAL,10348,405
874,2019-01-19,INDUSTRIAL,9512,470
926,2019-03-13,INDUSTRIAL,13153,405
934,2019-01-24,INDUSTRIAL,17357,470
986,2019-03-18,INDUSTRIAL,104583,405
994,2019-01-05,INDUSTRIAL,9075,470
1046,2019-03-19,INDUSTRIAL,16092,405
1048,2019-02-01,INDUSTRIAL,16690,274
1050,2019-01-25,INDUSTRIAL,7500,434
1054,2019-01-09,INDUSTRIAL,7419,470
1106,2019-03-10,INDUSTRIAL,10472,405
1108,2019-02-27,INDUSTRIAL,22100,274
1114,2019-01-16,INDUSTRIAL,6013,470
1166,2019-03-07,INDUSTRIAL,13146,405
1168,2019-02-09,INDUSTRIAL,19680,274
1170,2019-01-03,INDUSTRIAL,9340,434
1174,2019-01-07,INDUSTRIAL,6018,470
1202,2019-02-27,INDUSTRIAL,54000,821
1213,2019-02-22,INDUSTRIAL,4490,829
1226,2019-03-25,INDUSTRIAL,13440,405
1228,2019-02-03,INDUSTRIAL,16840,274
1231,2019-02-14,INDUSTRIAL,5134,465
1234,2019-01-08,INDUSTRIAL,7852,470
1262,2019-02-17,INDUSTRIAL,53340,821
1286,2019-03-03,INDUSTRIAL,10022,405
1288,2019-02-12,INDUSTRIAL,22720,274
1290,2019-01-30,INDUSTRIAL,9060,434
1294,2019-01-15,INDUSTRIAL,5063,470
1297,2019-03-28,INDUSTRIAL,6828,106
1345,2019-01-24,INDUSTRIAL,21460,429
1346,2019-03-21,INDUSTRIAL,14216,405
1351,2019-02-28,INDUSTRIAL,5452,465
1354,2019-01-20,INDUSTRIAL,9756,470
1382,2019-02-27,INDUSTRIAL,4680,275
1393,2019-02-04,INDUSTRIAL,8180,829
1405,2019-01-04,INDUSTRIAL,14080,429
1406,2019-03-04,INDUSTRIAL,12672,405
1408,2019-02-17,INDUSTRIAL,16520,274
1410,2019-01-24,INDUSTRIAL,7880,434
1414,2019-01-01,INDUSTRIAL,9910,470
1465,2019-01-22,INDUSTRIAL,18913,428
1466,2019-03-23,INDUSTRIAL,11090,405
1468,2019-02-15,INDUSTRIAL,16980,274
1470,2019-01-16,INDUSTRIAL,7270,434
1474,2019-01-23,INDUSTRIAL,6219,470
1502,2019-02-18,INDUSTRIAL,5120,275
1525,2019-01-09,INDUSTRIAL,17981,428
1526,2019-03-01,INDUSTRIAL,14398,405
1528,2019-02-13,INDUSTRIAL,20350,274
1530,2019-01-31,INDUSTRIAL,8050,434
1531,2019-02-07,INDUSTRIAL,5914,465
1534,2019-01-18,INDUSTRIAL,5094,470
1562,2019-02-12,INDUSTRIAL,41330,821
1585,2019-01-19,INDUSTRIAL,10507,428
1586,2019-03-05,INDUSTRIAL,13011,405
1588,2019-02-26,INDUSTRIAL,16830,274
1590,2019-01-11,INDUSTRIAL,8310,434
1591,2019-02-21,INDUSTRIAL,4720,465
1594,2019-01-03,INDUSTRIAL,11020,470
1622,2019-02-03,INDUSTRIAL,49680,821
1645,2019-01-05,INDUSTRIAL,10043,428
1646,2019-03-29,INDUSTRIAL,15411,405
1648,2019-02-06,INDUSTRIAL,16940,274
