,FECHA,USO,CONSUMO,ID_CONTADOR
5,2020-11-16,INDUSTRIAL,2198900,3
7,2021-03-11,INDUSTRIAL,-1300,0
10,2021-03-02,INDUSTRIAL,9639120,2
26,2021-03-06,INDUSTRIAL,2863900,3
45,2020-12-02,INDUSTRIAL,2114500,3
49,2020-09-10,INDUSTRIAL,2274700,3
57,2020-12-13,INDUSTRIAL,5392400,3
77,2020-12-06,INDUSTRIAL,2316600,3
87,2021-01-26,INDUSTRIAL,2854000,3
91,2020-12-15,INDUSTRIAL,2166500,3
106,2021-09-17,INDUSTRIAL,2046100,3
111,2020-12-08,INDUSTRIAL,2233100,3
116,2020-11-14,INDUSTRIAL,2198300,3
125,2020-12-22,INDUSTRIAL,6526400,3
139,2020-10-28,INDUSTRIAL,2421900,3
149,2020-11-11,INDUSTRIAL,2107600,3
158,2020-12-28,INDUSTRIAL,2433200,3
160,2020-09-08,INDUSTRIAL,3157600,3
163,2021-02-26,INDUSTRIAL,2438600,3
184,2021-01-19,INDUSTRIAL,3738500,3
187,2020-12-26,INDUSTRIAL,3050600,3
193,2020-10-25,INDUSTRIAL,3247600,3
232,2020-11-27,INDUSTRIAL,7439500,3
242,2020-09-03,INDUSTRIAL,2245300,3
246,2020-10-22,INDUSTRIAL,4278100,3
261,2021-01-23,INDUSTRIAL,2826300,3
283,2021-08-03,INDUSTRIAL,2055300,3
318,2020-11-02,INDUSTRIAL,2111000,3
382,2021-01-12,INDUSTRIAL,3128400,3
385,2021-03-12,INDUSTRIAL,5349200,2
413,2020-08-16,INDUSTRIAL,6931900,2
423,2021-01-07,INDUSTRIAL,2848100,3
438,2021-02-15,INDUSTRIAL,3927100,3
457,2020-10-21,INDUSTRIAL,43156790,2
489,2021-02-03,INDUSTRIAL,51639800,2
577,2021-02-01,INDUSTRIAL,4945000,3
593,2021-02-09,INDUSTRIAL,2098300,3
