,FECHA,USO,CONSUMO,ID_CONTADOR
52,2020-08-15,INDUSTRIAL,491600,7
155,2021-01-12,INDUSTRIAL,437450,5
202,2020-07-26,INDUSTRIAL,459000,7
260,2021-01-04,INDUSTRIAL,433580,5
274,2021-03-03,INDUSTRIAL,446070,5
410,2020-08-11,INDUSTRIAL,437000,7
416,2021-01-13,INDUSTRIAL,435480,5
564,2021-09-19,INDUSTRIAL,443940,5
566,2020-08-12,INDUSTRIAL,439400,7
571,2019-06-08,INDUSTRIAL,436380,5
630,2020-08-13,INDUSTRIAL,453300,7
728,2021-09-10,INDUSTRIAL,439590,5
736,2021-03-23,INDUSTRIAL,436020,5
829,2021-09-08,INDUSTRIAL,453920,5
944,2020-07-24,INDUSTRIAL,431880,5
981,2021-03-18,INDUSTRIAL,438190,5
1136,2020-08-14,INDUSTRIAL,431930,5
1315,2020-08-19,INDUSTRIAL,456650,5
1391,2021-08-27,INDUSTRIAL,-24,1
1511,2021-04-04,INDUSTRIAL,440790,5
1585,2021-08-27,INDUSTRIAL,447450,5
1622,2019-08-08,INDUSTRIAL,493940,5
1625,2021-08-26,INDUSTRIAL,467560,5
1631,2021-04-01,INDUSTRIAL,428350,5
1664,2021-08-25,INDUSTRIAL,466650,5
1699,2019-08-13,INDUSTRIAL,460560,5
1708,2021-03-16,INDUSTRIAL,442080,5
1709,2021-04-30,INDUSTRIAL,578980,5
1737,2019-08-28,INDUSTRIAL,448500,5
1747,2021-04-29,INDUSTRIAL,833560,5
1774,2019-08-02,INDUSTRIAL,538680,5
1777,2021-08-23,INDUSTRIAL,437900,5
1811,2019-08-01,INDUSTRIAL,475260,5
1848,2019-08-29,INDUSTRIAL,446310,5
1857,2021-04-22,INDUSTRIAL,496530,5
1884,2019-08-05,INDUSTRIAL,492180,5
1920,2019-08-04,INDUSTRIAL,507060,5
1956,2019-08-24,INDUSTRIAL,466380,5
1958,2021-08-20,INDUSTRIAL,426110,5
1965,2021-04-19,INDUSTRIAL,451270,5
1992,2019-08-18,INDUSTRIAL,457850,5
1994,2021-08-19,INDUSTRIAL,446300,5
2028,2019-08-17,INDUSTRIAL,495200,5
2030,2021-08-18,INDUSTRIAL,490710,5
2036,2021-03-30,INDUSTRIAL,435440,5
2037,2021-04-17,INDUSTRIAL,437540,5
2064,2019-08-11,INDUSTRIAL,512570,5
2066,2021-08-17,INDUSTRIAL,463930,5
2100,2019-08-07,INDUSTRIAL,533800,5
2102,2021-08-16,INDUSTRIAL,473910,5
2135,2019-08-23,INDUSTRIAL,497300,5
2144,2021-05-06,INDUSTRIAL,433690,5
2170,2019-08-30,INDUSTRIAL,451490,5
2205,2019-08-31,INDUSTRIAL,443830,5
2240,2019-08-09,INDUSTRIAL,535940,5
2310,2019-08-15,INDUSTRIAL,494080,5
2379,2019-08-10,INDUSTRIAL,480660,5
2544,2019-06-30,INDUSTRIAL,489560,5
2575,2019-06-26,INDUSTRIAL,440290,5
2606,2019-06-24,INDUSTRIAL,433440,5
2644,2021-07-30,INDUSTRIAL,434840,5
2667,2019-06-21,INDUSTRIAL,436150,5
2673,2021-07-29,INDUSTRIAL,441480,5
2696,2019-06-29,INDUSTRIAL,515940,5
2702,2021-07-28,INDUSTRIAL,448870,5
2731,2021-07-27,INDUSTRIAL,442230,5
2760,2021-07-26,INDUSTRIAL,449140,5
2894,2019-06-23,INDUSTRIAL,480300,5
2921,2019-06-05,INDUSTRIAL,429520,5
3028,2019-06-16,INDUSTRIAL,445580,5
3033,2021-07-22,INDUSTRIAL,429400,5
3053,2019-06-22,INDUSTRIAL,470370,5
3058,2021-07-21,INDUSTRIAL,431150,5
3078,2019-06-14,INDUSTRIAL,426440,5
3083,2021-07-20,INDUSTRIAL,454610,5
3147,2019-06-15,INDUSTRIAL,458750,5
3556,2021-06-25,INDUSTRIAL,505260,5
3574,2021-06-24,INDUSTRIAL,520850,5
3592,2021-06-23,INDUSTRIAL,514440,5
3603,2021-05-20,INDUSTRIAL,748520,5
3610,2021-06-15,INDUSTRIAL,576890,5
3628,2021-06-14,INDUSTRIAL,549570,5
3645,2021-06-13,INDUSTRIAL,559310,5
3655,2021-06-11,INDUSTRIAL,432580,5
3662,2021-06-12,INDUSTRIAL,497230,5
3672,2021-06-09,INDUSTRIAL,437990,5
3689,2021-06-10,INDUSTRIAL,433290,5
3706,2021-05-31,INDUSTRIAL,447940,5
3713,2021-06-29,INDUSTRIAL,457630,5
3723,2021-05-29,INDUSTRIAL,459690,5
3740,2021-05-30,INDUSTRIAL,434850,5
3747,2021-06-21,INDUSTRIAL,545520,5
3757,2021-05-13,INDUSTRIAL,447090,5
3764,2021-06-20,INDUSTRIAL,540880,5
3781,2021-06-19,INDUSTRIAL,552960,5
3783,2020-02-19,INDUSTRIAL,491680,5
3798,2021-06-18,INDUSTRIAL,532970,5
3808,2021-05-16,INDUSTRIAL,456570,5
3815,2021-06-17,INDUSTRIAL,452930,5
3832,2021-06-16,INDUSTRIAL,533260,5
3849,2021-06-22,INDUSTRIAL,569950,5
3927,2021-05-27,INDUSTRIAL,431100,5
3978,2021-06-08,INDUSTRIAL,426460,5
4012,2021-06-05,INDUSTRIAL,503010,5
4029,2021-06-04,INDUSTRIAL,430700,5
4118,2021-05-24,INDUSTRIAL,454420,5
4144,2021-05-22,INDUSTRIAL,452530,5
4572,2019-08-19,INDUSTRIAL,436650,5
4581,2019-08-06,INDUSTRIAL,507470,5
4590,2019-08-21,INDUSTRIAL,471320,5
4599,2019-08-03,INDUSTRIAL,576090,5
4608,2019-08-16,INDUSTRIAL,439630,5
4617,2019-08-25,INDUSTRIAL,466830,5
4626,2019-08-14,INDUSTRIAL,492130,5
4915,2019-07-23,INDUSTRIAL,463410,5
4923,2019-07-21,INDUSTRIAL,508240,5
4931,2019-07-29,INDUSTRIAL,438570,5
4939,2019-07-26,INDUSTRIAL,488540,5
4947,2019-07-25,INDUSTRIAL,506970,5
4955,2019-07-14,INDUSTRIAL,465030,5
4963,2019-07-17,INDUSTRIAL,490670,5
4971,2019-07-07,INDUSTRIAL,504050,5
4979,2019-07-06,INDUSTRIAL,555090,5
4987,2019-07-15,INDUSTRIAL,463590,5
4995,2019-07-12,INDUSTRIAL,507250,5
5003,2019-07-18,INDUSTRIAL,476440,5
5011,2019-07-13,INDUSTRIAL,550330,5
5019,2019-07-20,INDUSTRIAL,495190,5
5027,2019-07-28,INDUSTRIAL,496670,5
5035,2019-07-09,INDUSTRIAL,437180,5
5051,2019-07-22,INDUSTRIAL,435880,5
5059,2019-07-16,INDUSTRIAL,459490,5
5067,2019-07-19,INDUSTRIAL,506900,5
5075,2019-07-02,INDUSTRIAL,455480,5
5083,2019-07-04,INDUSTRIAL,513390,5
5091,2019-07-31,INDUSTRIAL,490780,5
5099,2019-07-24,INDUSTRIAL,497180,5
5107,2019-07-11,INDUSTRIAL,492590,5
5753,2019-09-04,INDUSTRIAL,429580,5
5823,2019-07-03,INDUSTRIAL,430322,5
5828,2019-07-05,INDUSTRIAL,477346,5
5833,2019-07-08,INDUSTRIAL,440368,5
5843,2019-07-30,INDUSTRIAL,475910,5
5848,2019-07-01,INDUSTRIAL,430730,5
6203,2019-01-04,INDUSTRIAL,449700,5
6236,2019-01-06,INDUSTRIAL,451990,5
6248,2019-01-08,INDUSTRIAL,437920,5
6254,2019-01-10,INDUSTRIAL,451290,5
6266,2019-01-05,INDUSTRIAL,436700,5
6284,2019-01-07,INDUSTRIAL,475930,5
