,FECHA,USO,CONSUMO,ID_CONTADOR
10,2019-03-01,INDUSTRIAL,5480,184
28,2019-01-01,INDUSTRIAL,61940,394
88,2019-01-03,INDUSTRIAL,70300,394
94,2019-02-14,INDUSTRIAL,2465,219
112,2019-02-14,INDUSTRIAL,37228,379
148,2019-01-14,INDUSTRIAL,81040,394
172,2019-02-27,INDUSTRIAL,29480,379
208,2019-01-25,INDUSTRIAL,101510,394
232,2019-02-10,INDUSTRIAL,48332,379
268,2019-01-09,INDUSTRIAL,77920,394
292,2019-02-18,INDUSTRIAL,38524,379
298,2019-05-16,INDUSTRIAL,3022,257
328,2019-01-19,INDUSTRIAL,94060,394
338,2019-01-03,INDUSTRIAL,2134,230
352,2019-02-13,INDUSTRIAL,15968,379
384,2019-03-21,INDUSTRIAL,4140,291
388,2019-01-07,INDUSTRIAL,73260,394
412,2019-02-07,INDUSTRIAL,28408,379
448,2019-01-28,INDUSTRIAL,105230,394
451,2019-03-27,INDUSTRIAL,2794,225
454,2019-02-21,INDUSTRIAL,2437,219
472,2019-02-20,INDUSTRIAL,22668,379
504,2019-03-26,INDUSTRIAL,3800,291
508,2019-01-20,INDUSTRIAL,93140,394
511,2019-03-26,INDUSTRIAL,2489,225
514,2019-02-07,INDUSTRIAL,2505,219
518,2019-01-17,INDUSTRIAL,2106,230
532,2019-02-12,INDUSTRIAL,32636,379
536,2019-01-31,INDUSTRIAL,164360,393
546,2019-01-15,INDUSTRIAL,3760,244
564,2019-03-25,INDUSTRIAL,3390,291
568,2019-01-30,INDUSTRIAL,109560,394
571,2019-03-14,INDUSTRIAL,2339,225
592,2019-02-15,INDUSTRIAL,36592,379
624,2019-03-15,INDUSTRIAL,3930,291
628,2019-01-05,INDUSTRIAL,69350,394
634,2019-02-28,INDUSTRIAL,2430,219
638,2019-01-10,INDUSTRIAL,2125,230
652,2019-02-08,INDUSTRIAL,42544,379
688,2019-01-10,INDUSTRIAL,77700,394
693,2019-03-17,INDUSTRIAL,2073,267
694,2019-05-02,INDUSTRIAL,2224,219
712,2019-02-28,INDUSTRIAL,25088,379
720,2021-10-08,INDUSTRIAL,2717,309
748,2019-01-18,INDUSTRIAL,93890,394
753,2019-03-18,INDUSTRIAL,2076,267
754,2019-05-30,INDUSTRIAL,2015,219
772,2019-02-06,INDUSTRIAL,22524,379
