,FECHA,USO,CONSUMO,ID_CONTADOR
8,2020-07-27,INDUSTRIAL,9773,46
9,2019-11-19,INDUSTRIAL,5230,13
12,2020-07-31,INDUSTRIAL,6341,8
32,2020-09-17,INDUSTRIAL,20681,52
41,2020-02-22,INDUSTRIAL,8580,14
80,2019-11-27,INDUSTRIAL,3401,53
83,2019-12-15,INDUSTRIAL,2981,29
87,2020-02-26,INDUSTRIAL,52630,14
100,2020-07-24,INDUSTRIAL,9649,46
115,2019-11-29,INDUSTRIAL,6378,20
124,2020-07-01,INDUSTRIAL,27499,52
129,2019-12-16,INDUSTRIAL,6686,29
133,2020-02-27,INDUSTRIAL,40570,14
147,2019-11-30,INDUSTRIAL,5893,13
155,2020-09-25,INDUSTRIAL,5266,11
169,2019-12-23,INDUSTRIAL,3708,37
170,2020-07-07,INDUSTRIAL,3246,52
172,2019-11-12,INDUSTRIAL,6260,53
175,2019-12-19,INDUSTRIAL,4952,29
179,2020-02-14,INDUSTRIAL,60430,14
192,2020-07-29,INDUSTRIAL,9798,46
193,2019-11-25,INDUSTRIAL,18537,13
207,2019-11-27,INDUSTRIAL,4561,20
216,2020-07-13,INDUSTRIAL,17609,52
218,2019-11-11,INDUSTRIAL,12586,53
221,2019-12-14,INDUSTRIAL,5140,29
225,2020-02-21,INDUSTRIAL,38870,14
227,2020-01-15,INDUSTRIAL,9822,51
238,2020-07-30,INDUSTRIAL,8302,46
261,2019-12-30,INDUSTRIAL,3710,37
267,2019-12-12,INDUSTRIAL,5903,29
271,2020-02-08,INDUSTRIAL,12500,14
273,2020-01-10,INDUSTRIAL,6209,51
284,2020-07-28,INDUSTRIAL,8177,46
285,2019-11-28,INDUSTRIAL,12380,13
299,2020-02-05,INDUSTRIAL,4681,20
308,2020-07-11,INDUSTRIAL,2933,52
310,2019-11-10,INDUSTRIAL,2784,53
313,2019-12-28,INDUSTRIAL,3272,29
317,2020-02-01,INDUSTRIAL,10840,14
330,2020-07-23,INDUSTRIAL,8042,46
346,2020-02-24,INDUSTRIAL,14185,6
354,2020-07-14,INDUSTRIAL,5936,52
355,2021-07-26,INDUSTRIAL,2860,77
356,2019-11-19,INDUSTRIAL,3584,53
359,2019-12-23,INDUSTRIAL,5150,29
363,2020-02-13,INDUSTRIAL,56782,14
365,2020-01-16,INDUSTRIAL,7140,51
372,2020-12-12,INDUSTRIAL,4510,75
376,2020-07-22,INDUSTRIAL,6974,46
385,2021-02-07,INDUSTRIAL,42402,11
391,2020-02-10,INDUSTRIAL,6278,20
393,2020-03-08,INDUSTRIAL,6450,80
400,2020-07-12,INDUSTRIAL,2834,52
402,2019-11-25,INDUSTRIAL,4290,53
405,2019-12-29,INDUSTRIAL,3626,29
409,2020-02-12,INDUSTRIAL,46432,14
411,2020-01-03,INDUSTRIAL,5732,51
422,2020-07-21,INDUSTRIAL,5343,46
423,2019-11-18,INDUSTRIAL,4883,13
430,2020-02-05,INDUSTRIAL,7605,67
437,2020-02-07,INDUSTRIAL,6287,20
448,2019-11-26,INDUSTRIAL,4575,53
451,2019-12-05,INDUSTRIAL,5242,29
455,2020-02-10,INDUSTRIAL,32156,14
