,FECHA,USO,CONSUMO,ID_CONTADOR
0,2021-10-21,INDUSTRIAL,12025,8
16,2019-11-27,INDUSTRIAL,11118,27
19,2021-09-26,INDUSTRIAL,60668,50
27,2021-03-19,INDUSTRIAL,10524,24
28,2021-07-20,INDUSTRIAL,12587,24
29,2020-11-19,INDUSTRIAL,20060,15
43,2020-07-30,INDUSTRIAL,7297,9
45,2019-03-27,INDUSTRIAL,66680,15
57,2020-12-16,INDUSTRIAL,10875,8
58,2020-09-10,INDUSTRIAL,12325,27
60,2021-10-19,INDUSTRIAL,12366,8
74,2020-11-17,INDUSTRIAL,20667,26
79,2021-09-25,INDUSTRIAL,22766,50
81,2019-09-04,INDUSTRIAL,11209,26
87,2021-03-18,INDUSTRIAL,16993,24
88,2021-07-19,INDUSTRIAL,9493,24
89,2020-11-20,INDUSTRIAL,16320,15
93,2021-11-24,INDUSTRIAL,11617,8
98,2020-09-27,INDUSTRIAL,16876,18
99,2021-12-10,INDUSTRIAL,30364,24
103,2020-07-29,INDUSTRIAL,7202,9
104,2020-10-23,INDUSTRIAL,11898,47
115,2020-10-01,INDUSTRIAL,18130,15
118,2020-11-19,INDUSTRIAL,6291,14
120,2021-10-20,INDUSTRIAL,12384,8
122,2021-07-16,INDUSTRIAL,11574,3
128,2019-02-18,INDUSTRIAL,6364,17
136,2019-11-12,INDUSTRIAL,17601,27
138,2020-11-19,INDUSTRIAL,6010,18
139,2021-10-08,INDUSTRIAL,31295,50
147,2021-03-17,INDUSTRIAL,11687,24
148,2021-07-17,INDUSTRIAL,8252,24
153,2021-11-29,INDUSTRIAL,12241,8
159,2021-12-09,INDUSTRIAL,21401,24
165,2019-03-15,INDUSTRIAL,51760,15
173,2020-09-17,INDUSTRIAL,7996,9
175,2020-09-17,INDUSTRIAL,24620,15
179,2021-01-29,INDUSTRIAL,10953,8
180,2021-10-18,INDUSTRIAL,12743,8
199,2021-09-30,INDUSTRIAL,30962,50
201,2019-09-11,INDUSTRIAL,11818,26
207,2021-03-13,INDUSTRIAL,9112,24
208,2021-07-16,INDUSTRIAL,15255,24
213,2021-11-30,INDUSTRIAL,11576,8
218,2020-09-28,INDUSTRIAL,10354,18
219,2021-12-07,INDUSTRIAL,16669,24
229,2020-05-11,INDUSTRIAL,9674,37
233,2020-09-18,INDUSTRIAL,6313,9
239,2021-01-18,INDUSTRIAL,10974,8
240,2021-10-17,INDUSTRIAL,5937,8
248,2019-02-25,INDUSTRIAL,6219,17
258,2020-09-15,INDUSTRIAL,13481,22
259,2021-09-28,INDUSTRIAL,40215,50
261,2019-09-20,INDUSTRIAL,13187,26
267,2021-03-16,INDUSTRIAL,8300,24
273,2021-11-23,INDUSTRIAL,12129,8
278,2020-10-01,INDUSTRIAL,6556,18
279,2021-12-06,INDUSTRIAL,25399,24
284,2020-10-25,INDUSTRIAL,13270,47
285,2019-03-04,INDUSTRIAL,48130,15
295,2020-09-18,INDUSTRIAL,32310,15
299,2021-01-20,INDUSTRIAL,10978,8
314,2020-11-06,INDUSTRIAL,10596,26
316,2019-11-29,INDUSTRIAL,10262,27
319,2021-09-29,INDUSTRIAL,31073,50
321,2019-09-18,INDUSTRIAL,12435,26
327,2021-03-09,INDUSTRIAL,10895,24
328,2021-07-05,INDUSTRIAL,13136,24
333,2021-11-26,INDUSTRIAL,12343,8
339,2021-12-03,INDUSTRIAL,17997,24
343,2020-07-27,INDUSTRIAL,7612,9
344,2020-10-21,INDUSTRIAL,5942,47
345,2019-03-22,INDUSTRIAL,51290,15
357,2020-12-11,INDUSTRIAL,11439,8
359,2021-10-15,INDUSTRIAL,13055,8
362,2021-11-08,INDUSTRIAL,5890,49
367,2019-02-22,INDUSTRIAL,6037,17
373,2020-11-05,INDUSTRIAL,10222,26
375,2019-11-15,INDUSTRIAL,19976,27
378,2021-10-07,INDUSTRIAL,29527,50
380,2019-09-17,INDUSTRIAL,7145,26
386,2021-03-15,INDUSTRIAL,9715,24
387,2021-07-06,INDUSTRIAL,12269,24
398,2021-12-01,INDUSTRIAL,17365,24
414,2020-09-30,INDUSTRIAL,19690,15
417,2021-01-25,INDUSTRIAL,10790,8
432,2020-11-02,INDUSTRIAL,10527,26
437,2021-10-06,INDUSTRIAL,30996,50
439,2019-09-09,INDUSTRIAL,11594,26
445,2021-03-12,INDUSTRIAL,11216,24
446,2021-07-03,INDUSTRIAL,13295,24
451,2021-11-25,INDUSTRIAL,12504,8
463,2019-03-20,INDUSTRIAL,56890,15
473,2020-09-21,INDUSTRIAL,31920,15
476,2021-01-26,INDUSTRIAL,10635,8
491,2020-11-04,INDUSTRIAL,10377,26
