,FECHA,USO,CONSUMO,ID_CONTADOR
7,2019-02-25,INDUSTRIAL,11812,120
38,2020-10-09,INDUSTRIAL,17170,159
41,2020-08-21,INDUSTRIAL,7600,135
58,2020-02-29,INDUSTRIAL,8854,28
67,2019-02-23,INDUSTRIAL,5407,120
98,2020-10-03,INDUSTRIAL,9180,159
118,2020-02-04,INDUSTRIAL,11587,28
127,2019-02-05,INDUSTRIAL,4960,53
158,2020-10-08,INDUSTRIAL,13090,159
178,2020-02-06,INDUSTRIAL,11970,28
187,2019-02-21,INDUSTRIAL,4658,53
218,2020-10-01,INDUSTRIAL,8980,159
221,2020-08-20,INDUSTRIAL,6000,135
238,2020-02-27,INDUSTRIAL,13571,28
247,2019-02-13,INDUSTRIAL,13117,53
278,2020-10-02,INDUSTRIAL,31460,159
298,2020-02-10,INDUSTRIAL,13218,28
307,2019-02-17,INDUSTRIAL,4653,53
333,2019-02-28,INDUSTRIAL,29860,116
358,2020-02-18,INDUSTRIAL,20240,28
367,2019-02-06,INDUSTRIAL,13382,53
380,2021-01-26,INDUSTRIAL,36417,158
398,2020-10-06,INDUSTRIAL,26090,159
418,2020-02-07,INDUSTRIAL,11236,28
427,2019-02-19,INDUSTRIAL,4734,53
440,2021-01-20,INDUSTRIAL,27445,158
458,2020-10-04,INDUSTRIAL,10840,159
469,2019-01-07,INDUSTRIAL,11632,74
478,2020-02-17,INDUSTRIAL,13981,28
487,2019-02-18,INDUSTRIAL,13050,53
500,2021-01-05,INDUSTRIAL,36008,158
513,2019-02-21,INDUSTRIAL,29664,116
518,2020-10-20,INDUSTRIAL,12150,159
538,2020-02-25,INDUSTRIAL,14656,28
547,2019-02-22,INDUSTRIAL,12957,53
560,2021-01-09,INDUSTRIAL,36150,158
576,2019-01-11,INDUSTRIAL,23442,121
581,2020-08-26,INDUSTRIAL,6190,135
598,2020-02-13,INDUSTRIAL,16074,28
607,2019-02-10,INDUSTRIAL,4879,53
620,2021-01-04,INDUSTRIAL,27398,158
638,2020-10-25,INDUSTRIAL,12960,159
658,2020-02-01,INDUSTRIAL,5768,28
667,2019-02-09,INDUSTRIAL,5045,53
680,2021-01-18,INDUSTRIAL,27166,158
696,2019-01-21,INDUSTRIAL,13619,121
698,2020-10-15,INDUSTRIAL,9550,159
701,2020-08-06,INDUSTRIAL,6350,135
718,2020-02-14,INDUSTRIAL,20074,28
727,2019-02-04,INDUSTRIAL,13245,53
740,2021-01-11,INDUSTRIAL,26303,158
758,2020-10-19,INDUSTRIAL,22300,159
759,2019-02-07,INDUSTRIAL,35630,177
761,2020-08-07,INDUSTRIAL,5050,135
778,2020-02-08,INDUSTRIAL,15523,28
785,2019-01-23,INDUSTRIAL,6822,67
787,2019-02-10,INDUSTRIAL,6495,120
800,2021-01-07,INDUSTRIAL,27265,158
818,2020-10-07,INDUSTRIAL,17810,159
819,2019-02-10,INDUSTRIAL,31530,177
838,2020-02-16,INDUSTRIAL,6716,28
844,2019-01-09,INDUSTRIAL,11850,99
847,2019-02-11,INDUSTRIAL,11421,120
860,2021-01-06,INDUSTRIAL,27198,158
878,2020-10-23,INDUSTRIAL,20890,159
879,2019-02-22,INDUSTRIAL,40550,177
881,2020-08-10,INDUSTRIAL,6110,135
898,2020-02-15,INDUSTRIAL,13139,28
907,2019-02-15,INDUSTRIAL,7570,120
920,2021-01-02,INDUSTRIAL,36169,158
938,2020-10-31,INDUSTRIAL,6010,159
939,2019-02-02,INDUSTRIAL,56540,177
941,2020-08-04,INDUSTRIAL,6080,135
958,2020-02-23,INDUSTRIAL,6070,28
967,2019-02-21,INDUSTRIAL,6429,120
980,2021-01-28,INDUSTRIAL,27126,158
983,2020-09-30,INDUSTRIAL,4620,13
998,2020-10-11,INDUSTRIAL,17790,159
999,2019-02-16,INDUSTRIAL,34070,177
1018,2020-02-19,INDUSTRIAL,13363,28
1024,2019-01-14,INDUSTRIAL,11780,99
1027,2019-02-16,INDUSTRIAL,7035,120
