,FECHA,USO,CONSUMO,ID_CONTADOR
24,2019-05-30,INDUSTRIAL,36850,196
27,2020-03-31,INDUSTRIAL,51963,179
34,2019-02-26,INDUSTRIAL,22626,3
36,2021-03-09,INDUSTRIAL,-54,96
40,2019-03-31,INDUSTRIAL,23563,4
42,2019-07-27,INDUSTRIAL,40520,190
44,2019-01-11,INDUSTRIAL,140230,198
51,2019-03-31,INDUSTRIAL,24153,175
64,2019-09-20,INDUSTRIAL,43403,185
67,2020-02-17,INDUSTRIAL,26360,43
77,2019-02-26,INDUSTRIAL,16137,191
82,2019-05-10,INDUSTRIAL,37400,196
84,2019-02-09,INDUSTRIAL,14731,94
85,2020-03-30,INDUSTRIAL,50460,179
92,2019-02-10,INDUSTRIAL,31347,3
94,2021-03-10,INDUSTRIAL,-22,96
98,2019-03-06,INDUSTRIAL,28515,4
100,2019-07-12,INDUSTRIAL,53740,190
102,2019-01-21,INDUSTRIAL,146030,198
109,2019-03-09,INDUSTRIAL,41373,175
122,2019-09-13,INDUSTRIAL,31348,185
125,2020-02-19,INDUSTRIAL,38210,43
129,2019-03-30,INDUSTRIAL,17349,177
140,2019-05-24,INDUSTRIAL,36310,196
143,2020-03-29,INDUSTRIAL,48230,179
152,2021-03-11,INDUSTRIAL,-3,96
156,2019-03-13,INDUSTRIAL,32948,4
158,2019-07-20,INDUSTRIAL,40370,190
160,2019-01-15,INDUSTRIAL,125240,198
161,2019-03-27,INDUSTRIAL,50218,193
167,2019-03-10,INDUSTRIAL,19100,175
180,2019-09-16,INDUSTRIAL,52514,185
183,2020-02-16,INDUSTRIAL,41560,43
198,2019-05-27,INDUSTRIAL,36930,196
201,2020-03-28,INDUSTRIAL,50094,179
205,2019-07-08,INDUSTRIAL,60425,90
208,2019-02-28,INDUSTRIAL,48295,3
210,2021-03-12,INDUSTRIAL,-10,96
214,2019-03-30,INDUSTRIAL,20486,4
216,2019-07-18,INDUSTRIAL,42350,190
218,2019-01-31,INDUSTRIAL,153910,198
225,2019-03-07,INDUSTRIAL,86663,175
241,2020-02-14,INDUSTRIAL,40390,43
256,2019-05-02,INDUSTRIAL,37890,196
258,2019-02-18,INDUSTRIAL,16658,94
259,2020-03-27,INDUSTRIAL,51633,179
266,2019-02-05,INDUSTRIAL,24095,3
268,2021-03-15,INDUSTRIAL,-5,96
272,2019-03-27,INDUSTRIAL,29528,4
274,2019-07-24,INDUSTRIAL,27360,190
276,2019-01-04,INDUSTRIAL,181360,198
283,2019-03-08,INDUSTRIAL,57723,175
294,2019-11-08,INDUSTRIAL,22366,101
296,2019-09-30,INDUSTRIAL,62941,185
299,2020-02-09,INDUSTRIAL,71970,43
314,2019-05-01,INDUSTRIAL,36180,196
316,2019-02-12,INDUSTRIAL,15196,94
317,2020-03-26,INDUSTRIAL,53590,179
320,2019-07-22,INDUSTRIAL,31573,90
323,2019-02-14,INDUSTRIAL,24786,3
325,2021-03-16,INDUSTRIAL,-4,96
329,2019-03-26,INDUSTRIAL,26820,4
331,2019-07-21,INDUSTRIAL,52340,190
333,2019-01-08,INDUSTRIAL,173640,198
334,2019-03-25,INDUSTRIAL,83980,193
340,2019-03-18,INDUSTRIAL,92870,175
356,2020-02-11,INDUSTRIAL,37810,43
373,2019-02-22,INDUSTRIAL,15268,94
374,2020-03-25,INDUSTRIAL,53403,179
380,2019-02-27,INDUSTRIAL,29677,3
382,2021-03-29,INDUSTRIAL,-27,96
384,2019-03-26,INDUSTRIAL,15067,176
386,2019-03-20,INDUSTRIAL,41796,4
388,2019-07-23,INDUSTRIAL,39350,190
390,2019-01-26,INDUSTRIAL,158850,198
397,2019-03-02,INDUSTRIAL,41332,175
408,2019-11-05,INDUSTRIAL,27641,101
410,2019-09-17,INDUSTRIAL,45573,185
413,2020-02-10,INDUSTRIAL,70500,43
430,2019-02-01,INDUSTRIAL,14885,94
431,2020-03-24,INDUSTRIAL,56735,179
434,2019-07-18,INDUSTRIAL,40380,90
437,2019-02-15,INDUSTRIAL,28117,3
439,2021-03-30,INDUSTRIAL,-4,96
441,2019-03-29,INDUSTRIAL,32349,176
443,2019-03-14,INDUSTRIAL,49142,4
445,2019-07-06,INDUSTRIAL,40030,190
447,2019-01-25,INDUSTRIAL,157640,198
454,2019-03-30,INDUSTRIAL,43469,175
467,2019-09-23,INDUSTRIAL,67032,185
470,2020-02-07,INDUSTRIAL,26800,43
485,2019-05-29,INDUSTRIAL,36890,196
488,2020-03-23,INDUSTRIAL,53614,179
496,2021-03-31,INDUSTRIAL,-24,96
500,2019-03-24,INDUSTRIAL,24179,4
502,2019-07-22,INDUSTRIAL,27280,190
504,2019-01-20,INDUSTRIAL,122110,198
511,2019-03-12,INDUSTRIAL,72952,175
514,2020-05-25,INDUSTRIAL,27530,182
524,2019-09-24,INDUSTRIAL,58972,185
526,2019-05-19,INDUSTRIAL,28330,95
527,2020-02-05,INDUSTRIAL,35570,43
542,2019-05-06,INDUSTRIAL,36870,196
544,2019-02-05,INDUSTRIAL,16685,94
545,2020-03-22,INDUSTRIAL,48660,179
548,2019-07-04,INDUSTRIAL,49927,90
551,2019-02-01,INDUSTRIAL,28632,3
553,2021-05-20,INDUSTRIAL,-7,96
555,2019-03-15,INDUSTRIAL,15843,176
557,2019-03-29,INDUSTRIAL,26927,4
559,2019-07-25,INDUSTRIAL,41560,190
561,2019-01-28,INDUSTRIAL,157630,198
562,2019-03-10,INDUSTRIAL,37046,193
568,2019-03-25,INDUSTRIAL,97922,175
579,2019-11-13,INDUSTRIAL,24529,101
581,2019-09-19,INDUSTRIAL,54748,185
601,2019-02-08,INDUSTRIAL,15013,94
602,2020-03-21,INDUSTRIAL,48505,179
605,2019-07-23,INDUSTRIAL,39438,90
608,2019-02-03,INDUSTRIAL,49828,3
610,2021-05-18,INDUSTRIAL,-66,96
614,2019-03-08,INDUSTRIAL,31462,4
616,2019-07-13,INDUSTRIAL,65280,190
617,2019-10-29,INDUSTRIAL,19200,201
618,2019-01-07,INDUSTRIAL,145040,198
619,2019-03-24,INDUSTRIAL,94242,193
625,2019-03-15,INDUSTRIAL,61418,175
636,2019-11-06,INDUSTRIAL,27075,101
