,FECHA,USO,CONSUMO,ID_CONTADOR
4,2020-02-04,INDUSTRIAL,4919,53
5,2019-01-21,INDUSTRIAL,4131,68
8,2019-03-13,INDUSTRIAL,11611,77
9,2019-03-15,INDUSTRIAL,2108,83
19,2019-08-05,INDUSTRIAL,38924,78
26,2020-07-29,INDUSTRIAL,5713,62
36,2019-03-31,INDUSTRIAL,1047,81
38,2019-01-24,INDUSTRIAL,4375,82
39,2020-02-27,INDUSTRIAL,1045,34
46,2020-02-29,INDUSTRIAL,10511,53
50,2019-03-11,INDUSTRIAL,7696,77
51,2019-03-18,INDUSTRIAL,1054,83
61,2019-08-08,INDUSTRIAL,54182,78
68,2020-07-30,INDUSTRIAL,5763,62
72,2020-03-20,INDUSTRIAL,1136,24
73,2020-05-29,INDUSTRIAL,2362,79
80,2019-01-23,INDUSTRIAL,1925,82
88,2020-02-05,INDUSTRIAL,4498,53
92,2019-03-05,INDUSTRIAL,5368,77
93,2019-03-19,INDUSTRIAL,1058,83
103,2019-08-12,INDUSTRIAL,58278,78
108,2019-01-28,INDUSTRIAL,2553,74
109,2019-07-06,INDUSTRIAL,3001,76
120,2019-03-03,INDUSTRIAL,2098,81
122,2019-01-05,INDUSTRIAL,1107,82
130,2020-02-09,INDUSTRIAL,6421,53
145,2019-08-11,INDUSTRIAL,55817,78
156,2020-03-03,INDUSTRIAL,966,24
164,2019-01-01,INDUSTRIAL,1088,82
172,2020-02-17,INDUSTRIAL,7282,53
177,2019-03-14,INDUSTRIAL,1561,83
187,2019-08-06,INDUSTRIAL,51020,78
192,2019-01-02,INDUSTRIAL,5697,74
194,2020-07-13,INDUSTRIAL,3293,62
206,2019-01-02,INDUSTRIAL,1146,82
214,2020-02-10,INDUSTRIAL,8334,53
226,2020-06-28,INDUSTRIAL,4043,61
229,2019-08-31,INDUSTRIAL,24350,78
234,2019-01-30,INDUSTRIAL,6087,74
236,2020-07-10,INDUSTRIAL,6752,62
248,2019-01-28,INDUSTRIAL,1573,82
252,2020-02-04,INDUSTRIAL,1231,14
256,2020-02-18,INDUSTRIAL,9266,53
260,2019-03-08,INDUSTRIAL,7717,77
261,2019-03-16,INDUSTRIAL,1058,83
271,2019-08-18,INDUSTRIAL,52477,78
276,2019-01-14,INDUSTRIAL,1657,74
278,2020-07-08,INDUSTRIAL,5788,62
290,2019-01-17,INDUSTRIAL,1456,82
291,2020-02-17,INDUSTRIAL,936,34
295,2020-03-25,INDUSTRIAL,1683,43
297,2020-02-20,INDUSTRIAL,4969,51
298,2020-02-08,INDUSTRIAL,7394,53
302,2019-03-01,INDUSTRIAL,8605,77
313,2019-08-07,INDUSTRIAL,52503,78
317,2019-01-15,INDUSTRIAL,5456,74
319,2020-07-11,INDUSTRIAL,2342,62
331,2019-01-03,INDUSTRIAL,1151,82
339,2020-02-20,INDUSTRIAL,8275,53
354,2019-08-16,INDUSTRIAL,52097,78
358,2019-01-21,INDUSTRIAL,1987,74
360,2020-07-12,INDUSTRIAL,3109,62
372,2019-01-19,INDUSTRIAL,2276,82
373,2020-02-18,INDUSTRIAL,1179,34
377,2020-03-27,INDUSTRIAL,1007,43
380,2020-02-03,INDUSTRIAL,4825,53
384,2019-03-29,INDUSTRIAL,9124,77
395,2019-08-17,INDUSTRIAL,51208,78
399,2019-01-22,INDUSTRIAL,4083,74
413,2019-01-25,INDUSTRIAL,3265,82
421,2020-02-15,INDUSTRIAL,7930,53
431,2020-04-23,INDUSTRIAL,1396,2
433,2020-06-10,INDUSTRIAL,1531,61
436,2019-08-19,INDUSTRIAL,51408,78
440,2019-01-29,INDUSTRIAL,4854,74
454,2019-01-22,INDUSTRIAL,1858,82
455,2020-02-03,INDUSTRIAL,971,34
462,2020-02-28,INDUSTRIAL,10336,53
466,2019-03-07,INDUSTRIAL,7671,77
474,2020-06-30,INDUSTRIAL,1866,61
477,2019-08-09,INDUSTRIAL,54157,78
481,2019-01-16,INDUSTRIAL,4140,74
493,2019-03-23,INDUSTRIAL,1328,81
495,2019-01-14,INDUSTRIAL,1750,82
503,2020-02-13,INDUSTRIAL,7273,53
515,2020-06-29,INDUSTRIAL,4011,61
518,2019-08-21,INDUSTRIAL,54259,78
522,2019-01-09,INDUSTRIAL,6618,74
524,2020-07-07,INDUSTRIAL,7649,62
536,2019-01-13,INDUSTRIAL,2262,82
544,2020-02-12,INDUSTRIAL,5872,53
548,2019-03-25,INDUSTRIAL,9784,77
556,2020-06-02,INDUSTRIAL,4004,61
559,2019-08-10,INDUSTRIAL,53634,78
577,2019-01-18,INDUSTRIAL,1628,82
578,2020-02-07,INDUSTRIAL,1827,34
581,2020-02-27,INDUSTRIAL,1032,14
585,2020-02-24,INDUSTRIAL,11006,53
589,2019-03-18,INDUSTRIAL,7764,77
595,2020-04-18,INDUSTRIAL,1374,57
597,2020-06-23,INDUSTRIAL,3982,61
600,2019-08-02,INDUSTRIAL,51557,78
604,2019-01-03,INDUSTRIAL,1008,74
610,2020-03-05,INDUSTRIAL,2553,24
618,2019-01-30,INDUSTRIAL,1456,82
626,2020-02-07,INDUSTRIAL,6538,53
630,2019-03-19,INDUSTRIAL,7831,77
636,2020-04-03,INDUSTRIAL,2219,57
641,2019-08-22,INDUSTRIAL,54406,78
659,2019-01-16,INDUSTRIAL,1553,82
666,2020-02-03,INDUSTRIAL,3690,51
667,2020-02-01,INDUSTRIAL,4396,53
677,2020-04-15,INDUSTRIAL,1975,57
679,2020-06-27,INDUSTRIAL,4020,61
682,2019-08-26,INDUSTRIAL,55457,78
686,2019-01-17,INDUSTRIAL,3491,74
700,2019-01-07,INDUSTRIAL,1342,82
708,2020-02-23,INDUSTRIAL,10773,53
712,2019-03-12,INDUSTRIAL,7544,77
718,2020-04-01,INDUSTRIAL,1889,57
723,2019-08-23,INDUSTRIAL,53909,78
727,2019-01-04,INDUSTRIAL,3077,74
729,2020-07-03,INDUSTRIAL,2636,62
741,2019-01-10,INDUSTRIAL,1370,82
749,2020-02-11,INDUSTRIAL,6853,53
759,2020-04-13,INDUSTRIAL,1536,57
764,2019-08-03,INDUSTRIAL,50222,78
768,2019-01-07,INDUSTRIAL,3509,74
779,2020-07-18,INDUSTRIAL,977,52
780,2019-03-01,INDUSTRIAL,1190,81
782,2019-01-20,INDUSTRIAL,1627,82
783,2020-02-26,INDUSTRIAL,922,34
790,2020-02-21,INDUSTRIAL,10162,53
794,2019-03-14,INDUSTRIAL,7560,77
800,2020-04-07,INDUSTRIAL,1679,57
805,2019-08-24,INDUSTRIAL,53916,78
809,2019-01-08,INDUSTRIAL,4551,74
823,2019-01-29,INDUSTRIAL,1305,82
827,2020-02-05,INDUSTRIAL,1740,14
831,2020-02-14,INDUSTRIAL,7635,53
835,2019-03-20,INDUSTRIAL,7290,77
841,2020-04-24,INDUSTRIAL,1459,57
843,2020-06-20,INDUSTRIAL,3930,61
846,2019-08-14,INDUSTRIAL,54420,78
850,2019-01-25,INDUSTRIAL,3860,74
852,2020-07-14,INDUSTRIAL,6230,62
864,2019-01-31,INDUSTRIAL,1430,82
865,2020-02-24,INDUSTRIAL,2605,34
872,2020-02-06,INDUSTRIAL,5670,53
882,2020-04-10,INDUSTRIAL,1761,57
884,2020-06-26,INDUSTRIAL,3993,61
887,2019-08-25,INDUSTRIAL,53230,78
893,2020-08-28,INDUSTRIAL,4206,62
905,2019-01-15,INDUSTRIAL,1315,82
913,2020-02-16,INDUSTRIAL,8213,53
917,2019-03-26,INDUSTRIAL,7553,77
923,2020-04-06,INDUSTRIAL,2352,57
928,2019-08-15,INDUSTRIAL,51646,78
934,2020-08-25,INDUSTRIAL,1624,62
946,2019-01-26,INDUSTRIAL,2453,82
954,2020-02-02,INDUSTRIAL,4613,53
957,2020-02-06,INDUSTRIAL,1758,58
958,2019-03-22,INDUSTRIAL,9335,77
964,2020-04-16,INDUSTRIAL,1264,57
969,2019-08-20,INDUSTRIAL,53155,78
973,2019-01-18,INDUSTRIAL,4363,74
979,2020-03-12,INDUSTRIAL,1078,24
987,2019-01-04,INDUSTRIAL,1279,82
995,2020-02-25,INDUSTRIAL,9403,53
999,2019-03-27,INDUSTRIAL,8360,77
1005,2020-04-02,INDUSTRIAL,1295,57
1010,2019-08-27,INDUSTRIAL,46759,78
1014,2019-01-11,INDUSTRIAL,1825,74
1028,2019-01-06,INDUSTRIAL,1122,82
1036,2020-02-19,INDUSTRIAL,9649,53
1040,2019-03-28,INDUSTRIAL,9333,77
1046,2020-04-21,INDUSTRIAL,1471,57
1048,2020-06-04,INDUSTRIAL,4022,61
1051,2019-08-30,INDUSTRIAL,54118,78
1057,2020-08-02,INDUSTRIAL,5800,62
1069,2019-01-08,INDUSTRIAL,1298,82
1077,2020-02-27,INDUSTRIAL,12195,53
1081,2019-03-30,INDUSTRIAL,10635,77
1087,2020-04-19,INDUSTRIAL,1608,57
1092,2019-08-28,INDUSTRIAL,55592,78
1098,2020-08-01,INDUSTRIAL,5686,62
1102,2020-03-06,INDUSTRIAL,1174,44
1110,2019-01-27,INDUSTRIAL,1036,82
1111,2020-02-25,INDUSTRIAL,957,34
1118,2020-02-26,INDUSTRIAL,11795,53
1122,2019-03-31,INDUSTRIAL,11298,77
1128,2020-04-05,INDUSTRIAL,1830,57
1130,2020-06-25,INDUSTRIAL,1592,61
1133,2019-08-13,INDUSTRIAL,60146,78
1139,2020-08-13,INDUSTRIAL,5484,62
1149,2019-03-11,INDUSTRIAL,979,81
1151,2019-01-11,INDUSTRIAL,1350,82
1159,2020-02-22,INDUSTRIAL,10531,53
1163,2019-03-21,INDUSTRIAL,4346,77
1169,2020-04-11,INDUSTRIAL,1562,57
1174,2019-08-29,INDUSTRIAL,45620,78
1178,2019-05-15,INDUSTRIAL,3812,74
1180,2020-08-14,INDUSTRIAL,11389,62
1192,2019-01-09,INDUSTRIAL,1456,82
1204,2019-03-15,INDUSTRIAL,9518,77
1210,2020-04-22,INDUSTRIAL,1597,57
1212,2020-06-22,INDUSTRIAL,3970,61
1215,2019-08-04,INDUSTRIAL,49617,78
1219,2019-05-20,INDUSTRIAL,2154,74
1221,2020-08-12,INDUSTRIAL,5499,62
1233,2019-01-21,INDUSTRIAL,2563,82
1241,2020-03-14,INDUSTRIAL,3185,53
1245,2019-03-06,INDUSTRIAL,8561,77
1251,2020-04-20,INDUSTRIAL,2231,57
1253,2020-08-02,INDUSTRIAL,4030,61
1256,2019-08-01,INDUSTRIAL,50048,78
1262,2020-08-04,INDUSTRIAL,5712,62
1268,2020-05-26,INDUSTRIAL,1572,32
1274,2019-01-12,INDUSTRIAL,3198,82
1286,2019-05-20,INDUSTRIAL,7635,77
1292,2020-04-14,INDUSTRIAL,1790,57
1294,2020-08-04,INDUSTRIAL,4020,61
1301,2019-05-28,INDUSTRIAL,5235,74
1303,2020-09-16,INDUSTRIAL,1295,62
1315,2019-04-26,INDUSTRIAL,29786,82
1323,2020-03-02,INDUSTRIAL,13874,53
1327,2019-05-02,INDUSTRIAL,8062,77
1333,2020-04-12,INDUSTRIAL,1864,57
1335,2020-08-01,INDUSTRIAL,4044,61
1338,2019-10-18,INDUSTRIAL,25296,78
1342,2019-05-21,INDUSTRIAL,1886,74
1344,2020-11-13,INDUSTRIAL,4841,62
1352,2020-02-15,INDUSTRIAL,1758,41
1356,2019-04-21,INDUSTRIAL,46519,82
1364,2020-03-04,INDUSTRIAL,14819,53
