,FECHA,USO,CONSUMO,ID_CONTADOR
13,2019-02-09,INDUSTRIAL,3990,103
43,2019-03-21,INDUSTRIAL,4356,215
46,2019-02-14,INDUSTRIAL,5016,165
51,2019-02-25,INDUSTRIAL,5750,376
73,2019-02-23,INDUSTRIAL,4900,103
102,2019-02-01,INDUSTRIAL,6121,363
103,2019-03-05,INDUSTRIAL,5269,215
106,2019-02-15,INDUSTRIAL,4118,165
111,2019-02-20,INDUSTRIAL,9050,376
133,2019-02-16,INDUSTRIAL,3820,103
166,2019-02-12,INDUSTRIAL,4372,165
171,2019-02-21,INDUSTRIAL,4830,376
193,2019-02-24,INDUSTRIAL,4830,103
231,2019-02-06,INDUSTRIAL,5850,376
253,2019-02-03,INDUSTRIAL,5870,103
286,2019-02-24,INDUSTRIAL,4475,165
346,2019-02-22,INDUSTRIAL,3969,165
373,2019-02-10,INDUSTRIAL,3870,103
406,2019-02-19,INDUSTRIAL,4466,165
466,2019-02-21,INDUSTRIAL,5058,165
522,2019-02-14,INDUSTRIAL,4398,363
526,2019-02-13,INDUSTRIAL,3969,165
531,2019-02-12,INDUSTRIAL,4500,376
569,2019-03-18,INDUSTRIAL,4829,169
574,2019-02-20,INDUSTRIAL,4041,278
586,2019-02-11,INDUSTRIAL,3956,165
591,2019-02-01,INDUSTRIAL,6220,376
642,2019-02-28,INDUSTRIAL,12226,363
646,2019-02-01,INDUSTRIAL,4025,165
649,2019-03-11,INDUSTRIAL,5972,284
651,2019-02-07,INDUSTRIAL,4630,376
706,2019-02-10,INDUSTRIAL,4482,165
744,2019-02-11,INDUSTRIAL,8360,151
766,2019-02-18,INDUSTRIAL,3964,165
823,2019-03-26,INDUSTRIAL,6077,215
824,2019-02-12,INDUSTRIAL,7270,160
826,2019-02-25,INDUSTRIAL,3968,165
831,2019-02-22,INDUSTRIAL,7010,376
882,2019-02-25,INDUSTRIAL,7625,363
924,2019-02-22,INDUSTRIAL,7360,151
942,2019-02-19,INDUSTRIAL,3713,363
946,2019-02-03,INDUSTRIAL,4482,165
957,2019-02-08,INDUSTRIAL,4273,341
1002,2019-02-23,INDUSTRIAL,7396,363
1006,2019-02-06,INDUSTRIAL,3958,165
1017,2019-02-26,INDUSTRIAL,5075,341
1037,2019-03-11,INDUSTRIAL,5634,91
1062,2019-02-21,INDUSTRIAL,10800,363
1063,2019-03-25,INDUSTRIAL,5505,215
