,FECHA,USO,CONSUMO,ID_CONTADOR
30,2019-02-25,INDUSTRIAL,15410,148
47,2019-03-25,INDUSTRIAL,9360,150
105,2019-02-27,INDUSTRIAL,30001,143
125,2019-01-30,INDUSTRIAL,8490,146
147,2019-01-31,INDUSTRIAL,16428,158
148,2019-02-15,INDUSTRIAL,15160,148
158,2019-01-19,INDUSTRIAL,10360,151
164,2019-02-28,INDUSTRIAL,30028,143
184,2019-01-12,INDUSTRIAL,8090,146
207,2019-02-01,INDUSTRIAL,22020,148
223,2019-02-25,INDUSTRIAL,33468,143
243,2019-01-15,INDUSTRIAL,8060,146
253,2019-01-07,INDUSTRIAL,19491,170
260,2019-03-04,INDUSTRIAL,11141,123
269,2019-01-04,INDUSTRIAL,22940,241
271,2019-01-08,INDUSTRIAL,8589,157
282,2019-02-26,INDUSTRIAL,29965,143
302,2019-01-24,INDUSTRIAL,8340,146
312,2019-01-31,INDUSTRIAL,10099,170
361,2019-01-16,INDUSTRIAL,25250,146
400,2019-02-14,INDUSTRIAL,10093,143
420,2019-01-07,INDUSTRIAL,25200,146
446,2019-01-03,INDUSTRIAL,8170,241
459,2019-02-17,INDUSTRIAL,10167,143
479,2019-01-27,INDUSTRIAL,8530,146
489,2019-01-16,INDUSTRIAL,10075,170
518,2019-02-11,INDUSTRIAL,10047,143
538,2019-01-29,INDUSTRIAL,8520,146
540,2019-03-05,INDUSTRIAL,8563,133
577,2019-02-21,INDUSTRIAL,31471,143
597,2019-01-05,INDUSTRIAL,8070,146
636,2019-02-16,INDUSTRIAL,10133,143
656,2019-01-21,INDUSTRIAL,8270,146
661,2019-03-10,INDUSTRIAL,7903,171
682,2019-01-10,INDUSTRIAL,8570,241
689,2019-01-12,INDUSTRIAL,29976,151
695,2019-02-10,INDUSTRIAL,9996,143
715,2019-01-13,INDUSTRIAL,8100,146
732,2019-03-26,INDUSTRIAL,11230,123
754,2019-02-01,INDUSTRIAL,39051,143
774,2019-01-03,INDUSTRIAL,25200,146
777,2019-03-13,INDUSTRIAL,24638,116
791,2019-03-25,INDUSTRIAL,11063,123
807,2019-01-26,INDUSTRIAL,25088,151
