,FECHA,USO,CONSUMO,ID_CONTADOR
0,2019-02-26,INDUSTRIAL,127120,171
3,2019-02-18,INDUSTRIAL,19354,50
28,2019-01-24,INDUSTRIAL,31481,54
40,2019-03-08,INDUSTRIAL,11275,36
43,2019-02-12,INDUSTRIAL,88170,166
51,2020-01-11,INDUSTRIAL,35690,174
53,2019-01-03,INDUSTRIAL,10724,60
61,2019-02-09,INDUSTRIAL,17837,50
86,2019-01-07,INDUSTRIAL,28895,54
90,2019-02-26,INDUSTRIAL,42760,172
101,2019-02-20,INDUSTRIAL,34400,166
109,2020-01-15,INDUSTRIAL,41640,174
118,2019-02-14,INDUSTRIAL,19202,50
143,2019-01-25,INDUSTRIAL,30816,54
155,2019-03-19,INDUSTRIAL,14216,36
166,2020-01-04,INDUSTRIAL,34050,174
173,2019-02-11,INDUSTRIAL,66100,171
175,2019-02-16,INDUSTRIAL,17939,50
204,2019-02-11,INDUSTRIAL,9070,172
215,2019-02-28,INDUSTRIAL,178260,166
219,2020-02-28,INDUSTRIAL,12520,163
223,2020-01-31,INDUSTRIAL,41210,174
230,2019-02-22,INDUSTRIAL,66570,171
232,2019-02-11,INDUSTRIAL,18922,50
257,2019-01-09,INDUSTRIAL,31112,54
272,2019-02-04,INDUSTRIAL,12550,166
274,2019-02-03,INDUSTRIAL,10890,55
280,2020-01-30,INDUSTRIAL,40350,174
287,2019-02-14,INDUSTRIAL,112630,171
289,2019-02-01,INDUSTRIAL,18096,50
314,2019-01-17,INDUSTRIAL,30355,54
329,2019-02-19,INDUSTRIAL,80550,166
331,2019-02-19,INDUSTRIAL,12110,55
337,2020-01-05,INDUSTRIAL,30810,174
344,2019-02-13,INDUSTRIAL,131290,171
346,2019-02-19,INDUSTRIAL,18949,50
371,2019-01-03,INDUSTRIAL,28902,54
375,2019-02-27,INDUSTRIAL,42690,172
386,2019-02-16,INDUSTRIAL,16860,166
388,2019-02-21,INDUSTRIAL,13030,55
394,2020-01-03,INDUSTRIAL,46980,174
401,2019-02-01,INDUSTRIAL,50350,171
403,2019-02-21,INDUSTRIAL,18572,50
428,2019-01-31,INDUSTRIAL,30939,54
439,2019-03-25,INDUSTRIAL,9202,93
443,2019-02-17,INDUSTRIAL,14140,166
445,2019-02-26,INDUSTRIAL,13370,55
451,2020-01-13,INDUSTRIAL,36420,174
458,2019-02-08,INDUSTRIAL,86200,171
460,2019-02-13,INDUSTRIAL,18682,50
470,2019-07-09,INDUSTRIAL,18371,104
485,2019-01-22,INDUSTRIAL,25759,54
497,2019-03-27,INDUSTRIAL,15506,36
500,2019-02-14,INDUSTRIAL,70670,166
502,2019-02-01,INDUSTRIAL,20850,55
508,2020-01-12,INDUSTRIAL,32580,174
515,2019-02-19,INDUSTRIAL,93290,171
