,FECHA,USO,CONSUMO,ID_CONTADOR
1,2020-06-09,INDUSTRIAL,15751,0
2,2021-07-13,INDUSTRIAL,15690,39
28,2019-06-26,INDUSTRIAL,3138,40
55,2020-09-16,INDUSTRIAL,3910,40
58,2021-11-03,INDUSTRIAL,-143,5
61,2020-01-28,INDUSTRIAL,39948,0
62,2021-07-12,INDUSTRIAL,12470,39
83,2020-10-10,INDUSTRIAL,4040,40
114,2021-11-21,INDUSTRIAL,21530,39
121,2021-07-11,INDUSTRIAL,9570,39
132,2021-06-23,INDUSTRIAL,8490,39
161,2021-12-05,INDUSTRIAL,6300,39
173,2021-11-20,INDUSTRIAL,4150,39
179,2019-11-09,INDUSTRIAL,16594,0
180,2021-07-10,INDUSTRIAL,9370,39
191,2021-06-22,INDUSTRIAL,3820,39
205,2019-06-21,INDUSTRIAL,5541,40
220,2021-12-01,INDUSTRIAL,22830,39
232,2021-11-19,INDUSTRIAL,4760,39
238,2019-11-04,INDUSTRIAL,24452,0
239,2021-07-09,INDUSTRIAL,10880,39
250,2021-06-21,INDUSTRIAL,2870,39
264,2019-06-25,INDUSTRIAL,2840,40
279,2021-12-07,INDUSTRIAL,7160,39
290,2021-05-28,INDUSTRIAL,2420,39
291,2021-11-18,INDUSTRIAL,4740,39
297,2019-11-12,INDUSTRIAL,22349,0
319,2020-10-23,INDUSTRIAL,3600,40
323,2019-06-27,INDUSTRIAL,8868,40
338,2021-12-06,INDUSTRIAL,6130,39
350,2021-11-17,INDUSTRIAL,5060,39
356,2019-11-05,INDUSTRIAL,29145,0
368,2021-06-19,INDUSTRIAL,77300,39
378,2020-10-05,INDUSTRIAL,2740,40
397,2021-12-04,INDUSTRIAL,5980,39
408,2021-11-16,INDUSTRIAL,2504,3
409,2021-11-16,INDUSTRIAL,9960,39
415,2019-11-07,INDUSTRIAL,15399,0
416,2021-11-13,INDUSTRIAL,2143,9
427,2021-06-29,INDUSTRIAL,9380,39
456,2021-12-03,INDUSTRIAL,25010,39
468,2021-11-15,INDUSTRIAL,7600,39
474,2019-11-08,INDUSTRIAL,29397,0
485,2020-09-12,INDUSTRIAL,44420,40
486,2021-06-30,INDUSTRIAL,8460,39
495,2020-10-08,INDUSTRIAL,7030,40
514,2021-12-02,INDUSTRIAL,30440,39
521,2020-09-15,INDUSTRIAL,2350,40
526,2021-11-14,INDUSTRIAL,3530,39
543,2020-08-28,INDUSTRIAL,21018,0
544,2021-06-28,INDUSTRIAL,57130,39
570,2021-09-14,INDUSTRIAL,3445,3
572,2021-12-08,INDUSTRIAL,7490,39
584,2021-11-13,INDUSTRIAL,4000,39
590,2019-11-06,INDUSTRIAL,29869,0
601,2020-08-29,INDUSTRIAL,34187,0
602,2021-07-08,INDUSTRIAL,11800,39
611,2020-10-06,INDUSTRIAL,4140,40
615,2019-10-07,INDUSTRIAL,10202,40
628,2021-09-13,INDUSTRIAL,5860,3
630,2021-12-14,INDUSTRIAL,20580,39
637,2021-06-08,INDUSTRIAL,2698,20
642,2021-11-12,INDUSTRIAL,3510,39
659,2020-08-24,INDUSTRIAL,23400,0
660,2021-06-09,INDUSTRIAL,5730,39
669,2020-10-13,INDUSTRIAL,2320,40
688,2021-12-13,INDUSTRIAL,20770,39
695,2020-09-25,INDUSTRIAL,3570,40
699,2021-06-07,INDUSTRIAL,4570,39
700,2021-11-30,INDUSTRIAL,5770,39
717,2020-08-20,INDUSTRIAL,19120,0
718,2021-06-08,INDUSTRIAL,55470,39
726,2020-10-20,INDUSTRIAL,2730,40
730,2019-10-02,INDUSTRIAL,6481,40
