,FECHA,USO,CONSUMO,ID_CONTADOR
34,2019-03-04,INDUSTRIAL,39620,89
45,2019-02-04,INDUSTRIAL,80210,90
47,2019-06-29,INDUSTRIAL,43490,54
53,2019-11-30,INDUSTRIAL,31548,86
69,2020-02-25,INDUSTRIAL,66853,58
83,2019-03-13,INDUSTRIAL,40560,89
87,2019-05-23,INDUSTRIAL,32900,92
94,2019-02-26,INDUSTRIAL,87490,90
96,2019-06-27,INDUSTRIAL,44380,54
118,2020-02-23,INDUSTRIAL,35159,58
119,2021-06-19,INDUSTRIAL,31226,75
136,2019-05-14,INDUSTRIAL,32140,92
143,2019-02-01,INDUSTRIAL,68250,90
145,2019-06-21,INDUSTRIAL,45660,54
167,2020-02-22,INDUSTRIAL,36297,58
168,2021-06-20,INDUSTRIAL,31453,75
185,2019-05-17,INDUSTRIAL,34000,92
190,2019-03-11,INDUSTRIAL,30716,52
192,2019-02-14,INDUSTRIAL,96160,90
194,2019-06-28,INDUSTRIAL,59170,54
216,2020-02-24,INDUSTRIAL,49919,58
217,2021-06-21,INDUSTRIAL,32663,75
230,2019-03-20,INDUSTRIAL,47970,89
234,2019-05-18,INDUSTRIAL,28760,92
241,2019-02-22,INDUSTRIAL,69730,90
249,2020-02-13,INDUSTRIAL,35600,86
265,2020-02-10,INDUSTRIAL,61687,58
266,2021-06-22,INDUSTRIAL,30937,75
279,2019-03-07,INDUSTRIAL,30940,89
283,2019-05-12,INDUSTRIAL,29420,92
290,2019-02-18,INDUSTRIAL,78130,90
292,2019-06-26,INDUSTRIAL,34290,54
314,2020-02-09,INDUSTRIAL,33491,58
328,2019-03-27,INDUSTRIAL,41620,89
332,2019-05-11,INDUSTRIAL,29120,92
363,2020-02-04,INDUSTRIAL,54348,58
377,2019-03-15,INDUSTRIAL,52970,89
381,2019-05-24,INDUSTRIAL,33812,92
386,2019-03-28,INDUSTRIAL,30604,52
388,2019-02-15,INDUSTRIAL,86330,90
390,2019-06-30,INDUSTRIAL,34960,54
412,2020-02-06,INDUSTRIAL,65218,58
413,2021-06-25,INDUSTRIAL,29315,75
426,2019-03-12,INDUSTRIAL,46400,89
430,2019-05-28,INDUSTRIAL,27864,92
437,2019-02-05,INDUSTRIAL,85980,90
461,2020-02-29,INDUSTRIAL,35085,58
475,2019-03-08,INDUSTRIAL,50270,89
479,2019-05-22,INDUSTRIAL,26040,92
486,2019-02-09,INDUSTRIAL,42670,90
488,2019-06-24,INDUSTRIAL,29580,54
510,2020-02-18,INDUSTRIAL,53844,58
524,2019-03-19,INDUSTRIAL,45800,89
528,2019-05-25,INDUSTRIAL,25652,92
535,2019-02-25,INDUSTRIAL,84480,90
543,2020-03-11,INDUSTRIAL,33080,86
544,2019-01-01,INDUSTRIAL,30610,48
545,2021-08-15,INDUSTRIAL,-1,80
559,2020-02-20,INDUSTRIAL,62564,58
584,2019-02-23,INDUSTRIAL,40710,90
594,2021-08-19,INDUSTRIAL,-1,80
608,2020-02-21,INDUSTRIAL,54711,58
626,2019-05-20,INDUSTRIAL,34998,92
633,2019-02-16,INDUSTRIAL,39800,90
643,2021-08-16,INDUSTRIAL,-1,80
657,2020-02-17,INDUSTRIAL,64376,58
671,2019-03-21,INDUSTRIAL,26368,89
675,2019-05-27,INDUSTRIAL,25908,92
682,2019-02-06,INDUSTRIAL,96346,90
684,2019-08-08,INDUSTRIAL,45154,54
692,2021-08-18,INDUSTRIAL,-1,80
706,2020-02-19,INDUSTRIAL,50795,58
720,2019-03-29,INDUSTRIAL,34724,89
729,2019-03-07,INDUSTRIAL,30632,52
731,2019-02-28,INDUSTRIAL,89019,90
739,2020-03-29,INDUSTRIAL,59140,86
741,2021-08-20,INDUSTRIAL,-1,80
755,2020-02-16,INDUSTRIAL,32729,58
780,2019-02-13,INDUSTRIAL,53094,90
788,2020-03-21,INDUSTRIAL,191480,86
804,2020-02-15,INDUSTRIAL,32392,58
818,2019-03-18,INDUSTRIAL,32564,89
822,2019-05-30,INDUSTRIAL,35514,92
829,2019-02-21,INDUSTRIAL,83664,90
837,2020-03-25,INDUSTRIAL,146164,86
853,2020-02-14,INDUSTRIAL,47958,58
871,2019-05-19,INDUSTRIAL,28210,92
878,2019-02-08,INDUSTRIAL,64876,90
886,2020-03-27,INDUSTRIAL,52476,86
902,2020-02-01,INDUSTRIAL,34135,58
916,2019-03-22,INDUSTRIAL,44294,89
920,2019-05-26,INDUSTRIAL,25662,92
927,2019-02-11,INDUSTRIAL,63198,90
935,2020-04-30,INDUSTRIAL,26336,86
951,2020-02-26,INDUSTRIAL,40002,58
965,2019-03-11,INDUSTRIAL,42909,89
969,2019-05-15,INDUSTRIAL,25518,92
984,2020-04-29,INDUSTRIAL,44248,86
985,2019-01-29,INDUSTRIAL,25943,48
986,2021-08-07,INDUSTRIAL,-1,80
1000,2020-02-07,INDUSTRIAL,42989,58
1014,2019-03-26,INDUSTRIAL,41862,89
1025,2019-02-19,INDUSTRIAL,81746,90
1033,2020-04-25,INDUSTRIAL,30032,86
1048,2021-11-14,INDUSTRIAL,29760,73
1049,2020-02-08,INDUSTRIAL,39443,58
1055,2019-10-24,INDUSTRIAL,51307,47
1067,2019-05-29,INDUSTRIAL,32690,92
1072,2019-03-04,INDUSTRIAL,26225,52
1098,2020-02-05,INDUSTRIAL,67331,58
1112,2019-03-28,INDUSTRIAL,24900,89
1116,2019-08-21,INDUSTRIAL,46050,92
1125,2019-10-31,INDUSTRIAL,45998,54
1140,2020-03-22,INDUSTRIAL,46144,0
1147,2020-02-02,INDUSTRIAL,38093,58
1151,2021-10-22,INDUSTRIAL,35398,25
1165,2019-08-13,INDUSTRIAL,40630,92
1170,2019-03-21,INDUSTRIAL,30175,52
1172,2019-02-20,INDUSTRIAL,68680,90
1180,2020-04-08,INDUSTRIAL,61940,86
1196,2020-02-28,INDUSTRIAL,29019,58
1210,2019-03-05,INDUSTRIAL,40660,89
1214,2019-08-01,INDUSTRIAL,39580,92
1221,2019-02-07,INDUSTRIAL,63150,90
1223,2019-10-04,INDUSTRIAL,46490,54
1229,2020-04-28,INDUSTRIAL,46488,86
1245,2020-02-03,INDUSTRIAL,64327,58
1263,2019-08-10,INDUSTRIAL,36350,92
1268,2019-03-25,INDUSTRIAL,32320,52
1270,2019-02-12,INDUSTRIAL,90040,90
1294,2020-02-12,INDUSTRIAL,54595,58
1308,2019-03-25,INDUSTRIAL,41000,89
1312,2019-08-20,INDUSTRIAL,54790,92
1319,2019-02-27,INDUSTRIAL,66490,90
1327,2020-04-16,INDUSTRIAL,44080,86
1343,2020-02-11,INDUSTRIAL,68082,58
1361,2019-08-03,INDUSTRIAL,38160,92
1368,2019-02-02,INDUSTRIAL,37930,90
1392,2020-02-27,INDUSTRIAL,49397,58
1410,2019-08-18,INDUSTRIAL,41780,92
1415,2019-03-18,INDUSTRIAL,31947,52
1417,2019-06-15,INDUSTRIAL,180160,90
1425,2020-04-12,INDUSTRIAL,56224,86
1455,2019-03-06,INDUSTRIAL,25783,89
1459,2019-08-14,INDUSTRIAL,38300,92
1466,2019-06-12,INDUSTRIAL,203440,90
1474,2020-04-04,INDUSTRIAL,178352,86
1490,2020-03-06,INDUSTRIAL,25567,58
1494,2021-11-20,INDUSTRIAL,31275,25
1508,2019-08-06,INDUSTRIAL,41880,92
1513,2019-03-14,INDUSTRIAL,30200,52
1515,2019-06-08,INDUSTRIAL,172310,90
1523,2020-05-22,INDUSTRIAL,27720,86
1539,2020-03-29,INDUSTRIAL,50347,58
1556,2019-08-12,INDUSTRIAL,35510,92
1563,2019-06-11,INDUSTRIAL,168420,90
1571,2020-05-24,INDUSTRIAL,35272,86
1587,2020-03-18,INDUSTRIAL,44546,58
1604,2019-08-11,INDUSTRIAL,37140,92
1611,2019-06-05,INDUSTRIAL,164130,90
1634,2021-10-30,INDUSTRIAL,56200,73
1635,2020-03-28,INDUSTRIAL,34610,58
1652,2019-08-31,INDUSTRIAL,36730,92
1659,2019-06-04,INDUSTRIAL,227020,90
1667,2020-05-06,INDUSTRIAL,60768,86
1668,2019-04-21,INDUSTRIAL,31120,48
1683,2020-03-08,INDUSTRIAL,37195,58
1696,2019-06-06,INDUSTRIAL,28890,89
1700,2019-08-02,INDUSTRIAL,43350,92
1707,2019-06-23,INDUSTRIAL,164110,90
1716,2019-04-27,INDUSTRIAL,30660,48
1731,2020-03-26,INDUSTRIAL,54431,58
1748,2019-08-08,INDUSTRIAL,30416,92
1753,2019-05-23,INDUSTRIAL,30558,52
1755,2019-06-09,INDUSTRIAL,123050,90
1763,2020-05-19,INDUSTRIAL,58944,86
1779,2020-03-30,INDUSTRIAL,45051,58
1796,2019-08-15,INDUSTRIAL,34774,92
1803,2019-06-14,INDUSTRIAL,157240,90
1811,2020-05-09,INDUSTRIAL,40224,86
1812,2019-04-06,INDUSTRIAL,28650,48
1827,2020-03-21,INDUSTRIAL,39676,58
1844,2019-08-04,INDUSTRIAL,35320,92
1851,2019-06-13,INDUSTRIAL,164500,90
1860,2019-04-26,INDUSTRIAL,26570,48
