,FECHA,USO,CONSUMO,ID_CONTADOR
4,2020-09-16,INDUSTRIAL,5171,1
7,2020-07-19,INDUSTRIAL,4589,7
25,2020-08-10,INDUSTRIAL,18912,24
48,2020-09-10,INDUSTRIAL,16782,3
53,2019-09-23,INDUSTRIAL,2870,21
67,2020-07-16,INDUSTRIAL,2257,7
79,2019-12-03,INDUSTRIAL,8638,1
84,2020-08-09,INDUSTRIAL,18757,24
98,2019-03-19,INDUSTRIAL,4698,20
103,2020-10-15,INDUSTRIAL,4863,27
112,2019-02-09,INDUSTRIAL,11219,21
135,2021-11-21,INDUSTRIAL,3227,47
141,2021-07-08,INDUSTRIAL,4999,41
143,2020-08-07,INDUSTRIAL,18290,24
157,2019-03-05,INDUSTRIAL,4873,20
171,2019-02-12,INDUSTRIAL,2610,21
196,2020-10-01,INDUSTRIAL,5696,1
202,2020-08-08,INDUSTRIAL,18640,24
230,2019-02-10,INDUSTRIAL,4695,21
255,2020-09-30,INDUSTRIAL,5325,1
259,2021-07-06,INDUSTRIAL,2476,41
261,2020-08-06,INDUSTRIAL,17989,24
311,2020-10-01,INDUSTRIAL,2234,7
314,2020-09-29,INDUSTRIAL,5701,1
320,2020-08-05,INDUSTRIAL,17565,24
334,2019-03-07,INDUSTRIAL,4793,20
348,2019-02-26,INDUSTRIAL,2170,21
362,2020-07-14,INDUSTRIAL,2685,7
373,2020-09-21,INDUSTRIAL,5517,1
377,2021-07-03,INDUSTRIAL,2532,41
379,2020-08-11,INDUSTRIAL,9764,24
407,2019-02-28,INDUSTRIAL,2494,21
421,2020-07-13,INDUSTRIAL,2921,7
429,2020-09-15,INDUSTRIAL,3831,7
432,2020-09-22,INDUSTRIAL,4873,1
438,2020-08-04,INDUSTRIAL,5916,24
440,2020-07-19,INDUSTRIAL,2787,39
466,2019-02-05,INDUSTRIAL,3591,21
482,2020-11-02,INDUSTRIAL,4580,1
488,2020-09-18,INDUSTRIAL,2643,7
491,2020-09-23,INDUSTRIAL,4922,1
