,FECHA,USO,CONSUMO,ID_CONTADOR
2,2021-12-08,INDUSTRIAL,7668,140
6,2019-02-23,INDUSTRIAL,50256,141
10,2019-05-13,INDUSTRIAL,7874,94
28,2019-03-29,INDUSTRIAL,14942,152
33,2019-01-07,INDUSTRIAL,5429,75
35,2019-06-12,INDUSTRIAL,79170,157
58,2021-12-11,INDUSTRIAL,7945,140
83,2019-02-17,INDUSTRIAL,6000,154
84,2019-03-11,INDUSTRIAL,14997,152
91,2019-06-11,INDUSTRIAL,42220,157
105,2019-01-05,INDUSTRIAL,15972,35
114,2021-12-12,INDUSTRIAL,8008,140
118,2019-02-09,INDUSTRIAL,51052,141
140,2019-03-22,INDUSTRIAL,14675,152
143,2019-01-22,INDUSTRIAL,10373,39
160,2020-05-27,INDUSTRIAL,7928,25
161,2019-01-03,INDUSTRIAL,13968,35
170,2021-12-13,INDUSTRIAL,8271,140
172,2019-02-27,INDUSTRIAL,6100,26
174,2019-02-01,INDUSTRIAL,53601,141
195,2019-02-28,INDUSTRIAL,31400,154
196,2019-03-04,INDUSTRIAL,12104,152
203,2019-06-16,INDUSTRIAL,29580,157
211,2019-02-13,INDUSTRIAL,7650,77
217,2019-01-06,INDUSTRIAL,13364,35
219,2019-02-08,INDUSTRIAL,7940,50
226,2021-12-14,INDUSTRIAL,8379,140
228,2019-02-15,INDUSTRIAL,5830,26
230,2019-02-11,INDUSTRIAL,53832,141
251,2019-02-27,INDUSTRIAL,28400,154
252,2019-03-15,INDUSTRIAL,17639,152
255,2019-01-19,INDUSTRIAL,11503,39
259,2019-06-13,INDUSTRIAL,72670,157
273,2019-01-04,INDUSTRIAL,14211,35
275,2019-02-19,INDUSTRIAL,9255,50
282,2021-12-09,INDUSTRIAL,7981,140
286,2019-02-05,INDUSTRIAL,47778,141
308,2019-03-13,INDUSTRIAL,14938,152
311,2019-01-11,INDUSTRIAL,8986,39
315,2019-06-15,INDUSTRIAL,35940,157
329,2019-01-07,INDUSTRIAL,8342,35
331,2019-02-09,INDUSTRIAL,38271,147
338,2021-12-10,INDUSTRIAL,7959,140
340,2019-02-08,INDUSTRIAL,6450,26
342,2019-02-12,INDUSTRIAL,48872,141
363,2019-02-25,INDUSTRIAL,35290,154
364,2019-03-21,INDUSTRIAL,14947,152
367,2019-01-14,INDUSTRIAL,11656,39
371,2019-06-14,INDUSTRIAL,58330,157
387,2019-02-02,INDUSTRIAL,42826,147
388,2019-01-12,INDUSTRIAL,14256,84
396,2019-02-11,INDUSTRIAL,6030,26
398,2019-02-07,INDUSTRIAL,48757,141
419,2019-02-18,INDUSTRIAL,48070,154
420,2019-03-19,INDUSTRIAL,14064,152
423,2019-01-08,INDUSTRIAL,29886,39
427,2019-06-18,INDUSTRIAL,61690,157
441,2019-01-31,INDUSTRIAL,7213,35
443,2019-02-22,INDUSTRIAL,55933,147
452,2019-02-06,INDUSTRIAL,6330,26
454,2019-02-04,INDUSTRIAL,48278,141
456,2019-03-28,INDUSTRIAL,40615,91
475,2019-02-20,INDUSTRIAL,29590,154
476,2019-03-06,INDUSTRIAL,19277,152
479,2019-01-26,INDUSTRIAL,10879,39
483,2019-06-30,INDUSTRIAL,58160,157
496,2020-05-25,INDUSTRIAL,7923,25
497,2019-01-11,INDUSTRIAL,14565,35
499,2019-02-25,INDUSTRIAL,63206,147
506,2021-12-02,INDUSTRIAL,6534,140
508,2019-02-28,INDUSTRIAL,11110,26
510,2019-02-03,INDUSTRIAL,30305,141
531,2019-02-19,INDUSTRIAL,43980,154
532,2019-03-20,INDUSTRIAL,19886,152
535,2019-01-18,INDUSTRIAL,14515,39
539,2019-06-26,INDUSTRIAL,47630,157
553,2019-01-17,INDUSTRIAL,12751,35
555,2019-02-24,INDUSTRIAL,33657,147
562,2021-12-04,INDUSTRIAL,6995,140
564,2019-02-13,INDUSTRIAL,5840,26
566,2019-02-08,INDUSTRIAL,49492,141
587,2019-02-22,INDUSTRIAL,27650,154
588,2019-03-10,INDUSTRIAL,18716,152
591,2019-01-25,INDUSTRIAL,16021,39
595,2019-06-29,INDUSTRIAL,60010,157
611,2019-02-06,INDUSTRIAL,71197,147
