,FECHA,USO,CONSUMO,ID_CONTADOR
0,2021-05-30,INDUSTRIAL,1,171
1,2021-06-14,INDUSTRIAL,276,195
2,2019-02-24,INDUSTRIAL,220,109
4,2019-02-28,INDUSTRIAL,3110,128
5,2019-10-09,INDUSTRIAL,3575,249
6,2021-06-24,INDUSTRIAL,7,17
8,2019-09-27,INDUSTRIAL,2280,254
9,2021-06-09,INDUSTRIAL,1992,225
10,2019-04-25,INDUSTRIAL,1130,80
11,2020-12-10,INDUSTRIAL,4244,346
12,2021-05-29,INDUSTRIAL,347,83
13,2021-06-10,INDUSTRIAL,2439,263
14,2021-06-26,INDUSTRIAL,301,89
15,2021-05-31,INDUSTRIAL,432,191
17,2021-05-27,INDUSTRIAL,368,348
18,2021-05-27,INDUSTRIAL,550,337
19,2021-06-28,INDUSTRIAL,206,409
23,2019-11-28,INDUSTRIAL,5341,245
24,2019-05-31,INDUSTRIAL,3793,121
25,2019-01-07,INDUSTRIAL,45,237
26,2019-08-08,INDUSTRIAL,20,84
28,2019-01-17,INDUSTRIAL,845,4
29,2019-09-26,INDUSTRIAL,3237,133
30,2019-10-20,INDUSTRIAL,59,226
31,2021-06-17,INDUSTRIAL,38,172
32,2019-02-23,INDUSTRIAL,1359,236
33,2021-05-26,INDUSTRIAL,16,12
34,2019-03-04,INDUSTRIAL,345,239
35,2019-10-04,INDUSTRIAL,2442,256
36,2021-05-27,INDUSTRIAL,2493,297
37,2019-03-13,INDUSTRIAL,1030,392
38,2021-05-27,INDUSTRIAL,3688,247
40,2021-06-27,INDUSTRIAL,510,173
42,2019-03-18,INDUSTRIAL,3410,136
44,2021-05-28,INDUSTRIAL,53,132
45,2021-05-27,INDUSTRIAL,124,328
46,2021-06-10,INDUSTRIAL,141,317
48,2019-03-31,INDUSTRIAL,238,233
49,2021-06-15,INDUSTRIAL,307,340
50,2021-05-29,INDUSTRIAL,1043,122
51,2021-06-11,INDUSTRIAL,6,199
52,2021-05-26,INDUSTRIAL,1414,240
53,2021-05-26,INDUSTRIAL,29,339
55,2021-06-29,INDUSTRIAL,260,347
56,2019-02-20,INDUSTRIAL,1269,0
58,2019-10-04,INDUSTRIAL,12,92
59,2021-05-28,INDUSTRIAL,155,198
60,2021-05-30,INDUSTRIAL,1515,44
61,2021-06-15,INDUSTRIAL,274,195
62,2019-02-01,INDUSTRIAL,9,109
64,2019-02-11,INDUSTRIAL,2910,128
66,2021-06-29,INDUSTRIAL,150,17
67,2020-04-30,INDUSTRIAL,5560,1
68,2019-09-30,INDUSTRIAL,3737,254
69,2021-06-09,INDUSTRIAL,6,26
70,2019-04-17,INDUSTRIAL,660,80
71,2020-12-11,INDUSTRIAL,3356,346
72,2021-05-30,INDUSTRIAL,2191,264
73,2021-06-16,INDUSTRIAL,1233,263
74,2021-06-15,INDUSTRIAL,21,89
75,2021-05-30,INDUSTRIAL,2,156
77,2021-05-28,INDUSTRIAL,276,348
78,2020-03-27,INDUSTRIAL,1612,232
79,2021-06-29,INDUSTRIAL,643,409
81,2019-06-10,INDUSTRIAL,5860,394
82,2019-01-06,INDUSTRIAL,5695,238
83,2019-11-05,INDUSTRIAL,5893,245
85,2019-01-20,INDUSTRIAL,31,237
