,FECHA,USO,CONSUMO,ID_CONTADOR
0,2019-02-10,INDUSTRIAL,14,69
1,2019-03-07,INDUSTRIAL,162,61
2,2019-02-06,INDUSTRIAL,32,59
3,2019-02-03,INDUSTRIAL,258,57
4,2019-02-27,INDUSTRIAL,55,55
5,2019-02-08,INDUSTRIAL,825,93
6,2019-03-02,INDUSTRIAL,1770,96
7,2019-01-06,INDUSTRIAL,189,71
9,2020-10-05,INDUSTRIAL,250,19
10,2020-02-17,INDUSTRIAL,525,28
11,2019-03-16,INDUSTRIAL,669,83
12,2019-01-30,INDUSTRIAL,422,50
13,2019-02-12,INDUSTRIAL,277,97
14,2019-02-24,INDUSTRIAL,1656,76
15,2019-01-27,INDUSTRIAL,16,48
16,2019-03-18,INDUSTRIAL,1637,91
17,2020-02-17,INDUSTRIAL,169,22
19,2019-02-14,INDUSTRIAL,263,5
20,2019-02-09,INDUSTRIAL,1481,99
21,2019-07-19,INDUSTRIAL,138,87
22,2019-01-19,INDUSTRIAL,16,62
23,2019-01-03,INDUSTRIAL,105,66
24,2019-01-06,INDUSTRIAL,595,74
25,2020-10-03,INDUSTRIAL,30,40
26,2020-09-20,INDUSTRIAL,13,102
27,2019-02-25,INDUSTRIAL,2,3
28,2019-02-18,INDUSTRIAL,141,1
29,2019-01-18,INDUSTRIAL,163,6
30,2019-01-27,INDUSTRIAL,13,79
31,2020-10-16,INDUSTRIAL,996,39
32,2020-12-22,INDUSTRIAL,84,106
33,2019-02-07,INDUSTRIAL,487,53
34,2019-05-22,INDUSTRIAL,936,12
35,2019-01-27,INDUSTRIAL,34,78
36,2019-02-04,INDUSTRIAL,34,81
37,2019-01-10,INDUSTRIAL,270,10
38,2019-01-27,INDUSTRIAL,368,7
40,2019-01-21,INDUSTRIAL,409,46
41,2021-02-26,INDUSTRIAL,103,100
42,2019-03-08,INDUSTRIAL,429,84
43,2019-03-05,INDUSTRIAL,51,88
44,2019-02-10,INDUSTRIAL,218,82
45,2020-04-28,INDUSTRIAL,344,16
46,2019-01-28,INDUSTRIAL,3,47
47,2019-02-24,INDUSTRIAL,11,75
48,2020-03-01,INDUSTRIAL,2,35
50,2019-02-04,INDUSTRIAL,13,69
51,2019-03-11,INDUSTRIAL,116,61
52,2019-02-06,INDUSTRIAL,32,59
53,2019-02-10,INDUSTRIAL,91,57
54,2019-02-11,INDUSTRIAL,9,55
55,2019-02-05,INDUSTRIAL,952,93
57,2019-01-17,INDUSTRIAL,571,71
59,2020-10-21,INDUSTRIAL,279,19
60,2020-02-24,INDUSTRIAL,881,28
61,2019-03-26,INDUSTRIAL,74,83
62,2019-01-28,INDUSTRIAL,453,50
63,2019-02-02,INDUSTRIAL,678,97
65,2019-01-13,INDUSTRIAL,17,48
67,2020-02-14,INDUSTRIAL,160,22
69,2019-02-15,INDUSTRIAL,347,5
70,2019-02-17,INDUSTRIAL,1229,99
71,2020-05-26,INDUSTRIAL,468,45
72,2019-01-16,INDUSTRIAL,44,62
73,2019-01-12,INDUSTRIAL,109,66
74,2019-01-02,INDUSTRIAL,155,74
75,2020-10-14,INDUSTRIAL,16,40
76,2020-02-24,INDUSTRIAL,3,43
77,2019-02-10,INDUSTRIAL,2,3
78,2019-02-27,INDUSTRIAL,207,1
79,2019-01-01,INDUSTRIAL,433,6
80,2019-01-21,INDUSTRIAL,4,79
81,2020-10-10,INDUSTRIAL,1266,39
82,2021-01-25,INDUSTRIAL,428,106
83,2019-02-03,INDUSTRIAL,384,53
84,2019-05-03,INDUSTRIAL,1097,12
85,2019-01-23,INDUSTRIAL,82,78
86,2019-02-14,INDUSTRIAL,24,81
87,2019-01-04,INDUSTRIAL,192,10
88,2019-01-06,INDUSTRIAL,26,7
89,2019-01-28,INDUSTRIAL,255,46
90,2021-02-27,INDUSTRIAL,1,100
91,2019-03-16,INDUSTRIAL,278,84
92,2019-03-08,INDUSTRIAL,21,88
93,2019-02-02,INDUSTRIAL,132,82
94,2020-04-22,INDUSTRIAL,260,16
95,2019-01-14,INDUSTRIAL,12,47
96,2019-02-17,INDUSTRIAL,356,73
97,2020-03-13,INDUSTRIAL,4,35
98,2019-02-05,INDUSTRIAL,1790,92
99,2019-02-24,INDUSTRIAL,13,69
100,2019-03-15,INDUSTRIAL,138,61
101,2019-02-03,INDUSTRIAL,5,59
102,2019-02-24,INDUSTRIAL,588,77
103,2019-02-24,INDUSTRIAL,37,55
104,2019-02-01,INDUSTRIAL,809,93
106,2019-01-13,INDUSTRIAL,195,71
108,2020-10-26,INDUSTRIAL,305,19
110,2019-03-12,INDUSTRIAL,115,83
111,2019-01-19,INDUSTRIAL,287,50
112,2019-02-10,INDUSTRIAL,866,97
113,2019-02-14,INDUSTRIAL,1449,76
114,2019-01-30,INDUSTRIAL,33,48
115,2019-03-18,INDUSTRIAL,1,70
116,2020-02-15,INDUSTRIAL,19,22
118,2019-02-04,INDUSTRIAL,520,5
120,2020-05-29,INDUSTRIAL,678,45
121,2019-01-03,INDUSTRIAL,54,62
122,2019-01-22,INDUSTRIAL,124,66
123,2019-01-04,INDUSTRIAL,206,74
124,2020-10-13,INDUSTRIAL,22,40
126,2019-02-26,INDUSTRIAL,11,3
127,2019-02-01,INDUSTRIAL,248,1
128,2019-01-07,INDUSTRIAL,169,6
129,2019-01-18,INDUSTRIAL,4,79
130,2020-10-11,INDUSTRIAL,402,39
131,2021-01-26,INDUSTRIAL,258,106
132,2019-02-14,INDUSTRIAL,229,53
133,2019-05-26,INDUSTRIAL,1165,12
134,2019-01-02,INDUSTRIAL,36,78
135,2019-02-03,INDUSTRIAL,50,81
136,2019-01-11,INDUSTRIAL,320,10
137,2019-01-14,INDUSTRIAL,596,7
138,2019-01-09,INDUSTRIAL,346,46
139,2021-02-28,INDUSTRIAL,1,100
140,2019-03-23,INDUSTRIAL,256,84
141,2019-03-12,INDUSTRIAL,88,88
142,2019-02-26,INDUSTRIAL,82,82
143,2020-04-27,INDUSTRIAL,24,31
144,2019-01-16,INDUSTRIAL,19,47
145,2019-02-06,INDUSTRIAL,35,75
146,2020-03-07,INDUSTRIAL,6,35
147,2019-02-18,INDUSTRIAL,1236,92
148,2019-02-03,INDUSTRIAL,13,69
149,2019-03-22,INDUSTRIAL,168,61
150,2019-02-10,INDUSTRIAL,3,59
151,2019-02-11,INDUSTRIAL,22,58
152,2019-02-18,INDUSTRIAL,9,55
153,2019-02-27,INDUSTRIAL,617,93
155,2019-01-15,INDUSTRIAL,1131,71
157,2020-10-20,INDUSTRIAL,279,19
158,2020-02-15,INDUSTRIAL,219,28
159,2019-03-04,INDUSTRIAL,598,83
160,2019-01-14,INDUSTRIAL,394,50
161,2019-02-28,INDUSTRIAL,180,97
162,2019-02-18,INDUSTRIAL,13,76
163,2019-01-28,INDUSTRIAL,51,48
164,2019-03-16,INDUSTRIAL,2,70
165,2020-02-03,INDUSTRIAL,206,22
167,2019-02-03,INDUSTRIAL,311,5
169,2020-05-13,INDUSTRIAL,512,45
170,2019-01-09,INDUSTRIAL,43,62
171,2019-01-24,INDUSTRIAL,152,66
172,2019-01-10,INDUSTRIAL,132,74
173,2020-10-11,INDUSTRIAL,63,40
174,2020-02-12,INDUSTRIAL,1482,115
175,2019-02-04,INDUSTRIAL,2,3
176,2019-02-09,INDUSTRIAL,81,1
177,2019-01-23,INDUSTRIAL,146,6
178,2019-01-23,INDUSTRIAL,5,79
180,2021-01-27,INDUSTRIAL,272,106
181,2019-02-15,INDUSTRIAL,448,53
182,2019-05-25,INDUSTRIAL,1007,12
183,2019-01-05,INDUSTRIAL,40,78
184,2019-02-20,INDUSTRIAL,64,81
185,2019-01-03,INDUSTRIAL,286,10
186,2019-01-02,INDUSTRIAL,1379,7
187,2019-01-16,INDUSTRIAL,316,46
189,2019-03-30,INDUSTRIAL,277,84
190,2019-03-04,INDUSTRIAL,81,88
191,2019-02-20,INDUSTRIAL,282,82
192,2020-04-06,INDUSTRIAL,8,31
193,2019-01-30,INDUSTRIAL,4,47
194,2019-02-21,INDUSTRIAL,28,75
195,2020-03-06,INDUSTRIAL,425,35
196,2019-02-07,INDUSTRIAL,1401,92
197,2019-02-12,INDUSTRIAL,10,69
198,2019-03-31,INDUSTRIAL,361,61
199,2019-02-17,INDUSTRIAL,351,86
200,2019-02-04,INDUSTRIAL,447,77
201,2019-02-05,INDUSTRIAL,3,55
202,2019-02-14,INDUSTRIAL,674,93
204,2019-01-20,INDUSTRIAL,156,71
206,2020-10-15,INDUSTRIAL,353,19
207,2020-02-21,INDUSTRIAL,1146,28
208,2019-03-03,INDUSTRIAL,415,83
209,2019-01-16,INDUSTRIAL,367,50
210,2019-02-09,INDUSTRIAL,663,97
211,2019-02-26,INDUSTRIAL,1181,76
212,2019-01-07,INDUSTRIAL,58,48
213,2019-03-24,INDUSTRIAL,1,70
214,2020-02-08,INDUSTRIAL,30,22
216,2019-02-10,INDUSTRIAL,197,5
217,2019-02-10,INDUSTRIAL,1210,99
218,2020-05-23,INDUSTRIAL,453,45
219,2019-01-24,INDUSTRIAL,52,62
220,2019-01-23,INDUSTRIAL,156,66
221,2019-01-15,INDUSTRIAL,157,74
222,2020-10-09,INDUSTRIAL,36,40
224,2019-02-12,INDUSTRIAL,1,3
225,2019-02-07,INDUSTRIAL,102,1
226,2019-01-11,INDUSTRIAL,149,6
227,2019-01-26,INDUSTRIAL,4,79
228,2020-02-28,INDUSTRIAL,1736,39
229,2021-01-31,INDUSTRIAL,131,106
230,2019-02-10,INDUSTRIAL,463,53
231,2019-05-15,INDUSTRIAL,553,12
232,2019-01-03,INDUSTRIAL,59,78
233,2019-02-13,INDUSTRIAL,47,81
234,2019-01-08,INDUSTRIAL,291,10
235,2019-01-17,INDUSTRIAL,1457,7
236,2019-01-04,INDUSTRIAL,447,46
237,2021-03-20,INDUSTRIAL,11,100
238,2019-03-31,INDUSTRIAL,416,84
239,2019-03-13,INDUSTRIAL,7,88
240,2019-02-05,INDUSTRIAL,194,82
241,2020-04-17,INDUSTRIAL,1,31
242,2019-01-17,INDUSTRIAL,15,47
243,2019-02-12,INDUSTRIAL,67,75
244,2020-03-12,INDUSTRIAL,101,35
245,2019-02-12,INDUSTRIAL,1279,92
246,2019-02-13,INDUSTRIAL,12,69
247,2019-03-05,INDUSTRIAL,136,61
248,2019-02-17,INDUSTRIAL,7,59
249,2019-02-04,INDUSTRIAL,348,57
250,2019-02-07,INDUSTRIAL,6,55
251,2019-02-07,INDUSTRIAL,930,93
253,2019-01-21,INDUSTRIAL,379,71
255,2020-10-09,INDUSTRIAL,537,19
256,2020-02-08,INDUSTRIAL,180,28
257,2019-03-18,INDUSTRIAL,515,83
258,2019-01-06,INDUSTRIAL,621,50
259,2019-02-16,INDUSTRIAL,961,97
260,2019-02-15,INDUSTRIAL,1290,76
261,2019-01-03,INDUSTRIAL,45,48
262,2019-03-02,INDUSTRIAL,1,70
263,2020-02-01,INDUSTRIAL,37,22
265,2019-02-21,INDUSTRIAL,178,5
266,2019-02-13,INDUSTRIAL,1521,99
267,2020-05-25,INDUSTRIAL,396,45
268,2019-01-10,INDUSTRIAL,64,62
269,2019-01-08,INDUSTRIAL,168,66
270,2019-01-26,INDUSTRIAL,208,74
271,2020-10-07,INDUSTRIAL,28,40
273,2019-02-11,INDUSTRIAL,2,3
274,2019-02-15,INDUSTRIAL,238,1
275,2019-01-02,INDUSTRIAL,222,6
276,2019-01-20,INDUSTRIAL,4,79
277,2020-02-13,INDUSTRIAL,1561,39
278,2021-01-29,INDUSTRIAL,102,106
279,2019-02-11,INDUSTRIAL,284,53
280,2019-05-30,INDUSTRIAL,654,12
281,2019-01-30,INDUSTRIAL,37,78
282,2019-02-15,INDUSTRIAL,118,81
283,2019-01-19,INDUSTRIAL,180,10
284,2019-01-15,INDUSTRIAL,1506,7
285,2019-01-12,INDUSTRIAL,665,46
286,2021-03-21,INDUSTRIAL,156,100
287,2019-03-05,INDUSTRIAL,378,84
288,2019-03-20,INDUSTRIAL,78,88
289,2019-02-17,INDUSTRIAL,519,82
290,2020-04-24,INDUSTRIAL,14,31
291,2019-01-24,INDUSTRIAL,32,47
292,2019-02-05,INDUSTRIAL,218,73
293,2020-03-08,INDUSTRIAL,1,35
294,2019-02-13,INDUSTRIAL,829,92
295,2019-02-02,INDUSTRIAL,11,69
296,2019-03-30,INDUSTRIAL,353,61
297,2019-02-24,INDUSTRIAL,26,86
298,2019-02-19,INDUSTRIAL,25,58
299,2019-02-19,INDUSTRIAL,8,55
300,2019-02-09,INDUSTRIAL,692,93
302,2019-01-07,INDUSTRIAL,431,71
304,2020-10-06,INDUSTRIAL,375,19
305,2020-02-01,INDUSTRIAL,367,28
306,2019-03-24,INDUSTRIAL,424,83
307,2019-01-15,INDUSTRIAL,372,50
308,2019-02-20,INDUSTRIAL,124,97
