,FECHA,USO,CONSUMO,ID_CONTADOR
0,2021-03-27,INDUSTRIAL,24430,118
1,2021-01-31,INDUSTRIAL,19,100
2,2021-01-31,INDUSTRIAL,229,27
4,2020-10-05,INDUSTRIAL,2723,73
5,2019-11-09,INDUSTRIAL,3341,81
6,2021-01-31,INDUSTRIAL,1,66
7,2019-02-07,INDUSTRIAL,438,0
8,2021-01-25,INDUSTRIAL,163,51
10,2021-02-18,INDUSTRIAL,1314,79
11,2021-07-22,INDUSTRIAL,326,150
13,2021-06-18,INDUSTRIAL,7677,103
14,2021-02-01,INDUSTRIAL,570,2
15,2021-01-28,INDUSTRIAL,2203,46
16,2021-01-30,INDUSTRIAL,21,56
17,2019-07-31,INDUSTRIAL,23251,58
19,2021-01-25,INDUSTRIAL,20,87
21,2019-01-22,INDUSTRIAL,579,10
24,2019-07-31,INDUSTRIAL,19828,48
25,2019-12-31,INDUSTRIAL,462,140
26,2021-01-31,INDUSTRIAL,1,24
27,2019-08-26,INDUSTRIAL,260,132
28,2020-02-18,INDUSTRIAL,22530,138
30,2021-01-26,INDUSTRIAL,403,60
31,2021-02-27,INDUSTRIAL,2,61
32,2021-01-21,INDUSTRIAL,205,53
33,2019-03-17,INDUSTRIAL,7826,75
34,2021-01-28,INDUSTRIAL,269,102
35,2019-11-04,INDUSTRIAL,79,12
36,2021-01-29,INDUSTRIAL,235,63
37,2020-11-09,INDUSTRIAL,1100,23
38,2020-04-27,INDUSTRIAL,394,72
39,2021-01-24,INDUSTRIAL,2,69
40,2021-01-27,INDUSTRIAL,293,29
42,2021-01-29,INDUSTRIAL,31,34
43,2020-10-30,INDUSTRIAL,4990,131
44,2021-02-14,INDUSTRIAL,857,18
45,2019-06-10,INDUSTRIAL,610,139
46,2020-03-06,INDUSTRIAL,270,21
47,2019-12-23,INDUSTRIAL,2456,88
48,2019-03-18,INDUSTRIAL,23571,125
49,2019-02-18,INDUSTRIAL,24190,130
50,2021-02-14,INDUSTRIAL,2477,115
51,2021-02-28,INDUSTRIAL,37,4
52,2021-05-30,INDUSTRIAL,560,105
53,2021-01-31,INDUSTRIAL,5550,136
54,2021-06-29,INDUSTRIAL,37,26
55,2021-03-29,INDUSTRIAL,150,118
56,2021-01-30,INDUSTRIAL,765,100
57,2021-01-29,INDUSTRIAL,265,9
59,2020-10-06,INDUSTRIAL,2871,73
60,2019-11-07,INDUSTRIAL,3759,81
61,2021-01-29,INDUSTRIAL,1,66
62,2019-02-08,INDUSTRIAL,382,0
63,2021-02-16,INDUSTRIAL,140,51
65,2021-02-21,INDUSTRIAL,25,79
66,2021-07-21,INDUSTRIAL,585,150
68,2021-06-21,INDUSTRIAL,2604,103
69,2021-02-03,INDUSTRIAL,915,2
70,2021-01-29,INDUSTRIAL,2177,46
71,2021-01-31,INDUSTRIAL,1,25
72,2019-07-30,INDUSTRIAL,20592,58
74,2021-01-31,INDUSTRIAL,20,87
75,2019-06-22,INDUSTRIAL,21000,135
76,2019-01-31,INDUSTRIAL,529,10
77,2019-02-11,INDUSTRIAL,1,123
79,2019-07-24,INDUSTRIAL,5843,48
80,2019-12-17,INDUSTRIAL,955,140
81,2021-01-29,INDUSTRIAL,356,24
82,2019-08-10,INDUSTRIAL,244,132
83,2020-02-29,INDUSTRIAL,16630,138
85,2021-02-03,INDUSTRIAL,412,60
86,2021-02-26,INDUSTRIAL,8,61
87,2021-01-20,INDUSTRIAL,173,53
88,2019-03-18,INDUSTRIAL,11246,75
89,2021-01-22,INDUSTRIAL,251,102
90,2019-11-09,INDUSTRIAL,351,12
91,2021-01-20,INDUSTRIAL,147,63
92,2020-11-11,INDUSTRIAL,410,23
93,2020-04-26,INDUSTRIAL,285,72
94,2021-01-29,INDUSTRIAL,20,69
95,2021-02-24,INDUSTRIAL,72,29
97,2021-01-28,INDUSTRIAL,15,34
98,2020-10-31,INDUSTRIAL,2140,131
