,FECHA,USO,CONSUMO,ID_CONTADOR
0,2021-01-28,INDUSTRIAL,140,95
2,2019-11-22,INDUSTRIAL,19,203
3,2021-01-28,INDUSTRIAL,200,26
4,2019-01-06,INDUSTRIAL,348,120
6,2019-01-19,INDUSTRIAL,8220,289
7,2019-03-18,INDUSTRIAL,2350,294
8,2019-11-11,INDUSTRIAL,7952,202
9,2019-02-04,INDUSTRIAL,6490,279
10,2019-02-23,INDUSTRIAL,60,179
13,2020-05-17,INDUSTRIAL,12,196
15,2021-01-28,INDUSTRIAL,50,48
16,2019-02-16,INDUSTRIAL,1537,258
17,2021-01-25,INDUSTRIAL,247,173
18,2021-02-19,INDUSTRIAL,19,249
19,2021-01-21,INDUSTRIAL,83,73
20,2019-02-05,INDUSTRIAL,8330,274
21,2021-03-06,INDUSTRIAL,8,15
22,2021-01-21,INDUSTRIAL,25,162
23,2021-01-26,INDUSTRIAL,21,193
24,2021-01-28,INDUSTRIAL,111,50
26,2021-01-24,INDUSTRIAL,243,24
28,2019-06-24,INDUSTRIAL,7880,280
29,2021-01-20,INDUSTRIAL,2,31
30,2021-01-28,INDUSTRIAL,494,104
31,2021-01-21,INDUSTRIAL,133,4
32,2021-01-31,INDUSTRIAL,6,17
33,2021-01-28,INDUSTRIAL,186,164
35,2019-01-02,INDUSTRIAL,2660,290
37,2019-07-21,INDUSTRIAL,5602,170
38,2021-01-29,INDUSTRIAL,31,63
39,2021-01-28,INDUSTRIAL,34,80
41,2020-01-13,INDUSTRIAL,2068,205
42,2019-03-09,INDUSTRIAL,40,286
43,2019-07-29,INDUSTRIAL,1780,292
44,2019-03-23,INDUSTRIAL,12000,275
45,2021-01-20,INDUSTRIAL,256,75
46,2021-01-20,INDUSTRIAL,524,155
47,2021-01-21,INDUSTRIAL,1386,29
48,2021-01-26,INDUSTRIAL,223,14
49,2019-11-09,INDUSTRIAL,6,198
50,2020-11-20,INDUSTRIAL,1058,266
53,2021-01-28,INDUSTRIAL,68,83
54,2019-02-01,INDUSTRIAL,1880,295
55,2019-03-18,INDUSTRIAL,4698,269
58,2019-03-02,INDUSTRIAL,90,288
60,2021-01-26,INDUSTRIAL,955,76
62,2019-11-16,INDUSTRIAL,18,203
63,2021-01-25,INDUSTRIAL,145,26
64,2019-01-09,INDUSTRIAL,179,120
68,2020-05-01,INDUSTRIAL,9632,202
69,2019-02-12,INDUSTRIAL,20,279
70,2019-02-28,INDUSTRIAL,30,179
73,2020-05-23,INDUSTRIAL,1886,196
75,2021-01-22,INDUSTRIAL,50,48
76,2019-02-21,INDUSTRIAL,10072,258
77,2021-02-01,INDUSTRIAL,350,173
78,2021-02-20,INDUSTRIAL,46,249
79,2021-01-24,INDUSTRIAL,2,73
80,2019-02-04,INDUSTRIAL,4570,274
81,2021-01-29,INDUSTRIAL,125,224
82,2021-01-28,INDUSTRIAL,13,162
83,2021-01-22,INDUSTRIAL,42,193
84,2021-01-21,INDUSTRIAL,347,1
86,2021-01-21,INDUSTRIAL,247,24
88,2019-06-23,INDUSTRIAL,7020,280
