,FECHA,USO,CONSUMO,ID_CONTADOR
1,2019-01-01,INDUSTRIAL,13,64
3,2019-02-09,INDUSTRIAL,134,143
4,2019-03-25,INDUSTRIAL,79,30
5,2019-02-03,INDUSTRIAL,14,70
6,2019-01-16,INDUSTRIAL,138,114
7,2019-01-03,INDUSTRIAL,19,62
8,2019-01-28,INDUSTRIAL,43,103
9,2019-01-13,INDUSTRIAL,7,76
10,2019-02-02,INDUSTRIAL,234,106
11,2019-02-12,INDUSTRIAL,603,81
12,2019-01-13,INDUSTRIAL,7,107
13,2019-02-03,INDUSTRIAL,36,115
14,2019-01-02,INDUSTRIAL,18,108
15,2019-02-10,INDUSTRIAL,73,121
16,2019-01-20,INDUSTRIAL,39,120
19,2019-01-13,INDUSTRIAL,631,99
20,2019-01-02,INDUSTRIAL,45,85
21,2019-01-01,INDUSTRIAL,287,77
22,2019-01-06,INDUSTRIAL,18,124
23,2019-01-14,INDUSTRIAL,3,93
25,2019-03-17,INDUSTRIAL,2,78
26,2019-01-20,INDUSTRIAL,11,112
27,2019-01-01,INDUSTRIAL,84,92
28,2019-01-09,INDUSTRIAL,591,56
29,2019-01-06,INDUSTRIAL,15,131
30,2020-12-20,INDUSTRIAL,6,182
31,2019-01-28,INDUSTRIAL,62,105
32,2019-03-09,INDUSTRIAL,79,134
33,2019-03-09,INDUSTRIAL,246,86
34,2019-01-15,INDUSTRIAL,351,66
35,2019-01-01,INDUSTRIAL,18,60
36,2019-02-06,INDUSTRIAL,783,74
37,2019-01-06,INDUSTRIAL,147,73
38,2019-02-15,INDUSTRIAL,631,141
40,2020-07-14,INDUSTRIAL,47,47
41,2019-02-06,INDUSTRIAL,118,91
42,2019-03-25,INDUSTRIAL,244,151
43,2021-01-19,INDUSTRIAL,224,166
44,2019-03-21,INDUSTRIAL,22,113
45,2019-02-03,INDUSTRIAL,3,138
46,2019-02-28,INDUSTRIAL,345,28
47,2019-01-03,INDUSTRIAL,204,61
48,2019-01-11,INDUSTRIAL,287,80
49,2019-01-06,INDUSTRIAL,6,57
50,2019-02-06,INDUSTRIAL,487,101
51,2019-02-10,INDUSTRIAL,28,96
52,2019-01-14,INDUSTRIAL,63,59
53,2019-01-24,INDUSTRIAL,1304,152
54,2019-01-02,INDUSTRIAL,37,128
55,2019-02-06,INDUSTRIAL,76,109
56,2019-03-21,INDUSTRIAL,171,116
58,2019-01-05,INDUSTRIAL,17,64
59,2019-02-14,INDUSTRIAL,1343,100
60,2019-02-08,INDUSTRIAL,290,143
61,2019-03-19,INDUSTRIAL,85,30
62,2019-02-17,INDUSTRIAL,42,70
63,2019-01-23,INDUSTRIAL,120,114
64,2019-01-14,INDUSTRIAL,3,62
65,2019-01-28,INDUSTRIAL,136,111
66,2019-01-01,INDUSTRIAL,12,76
67,2019-02-01,INDUSTRIAL,513,106
68,2019-02-04,INDUSTRIAL,169,98
69,2019-01-05,INDUSTRIAL,6,107
70,2019-02-10,INDUSTRIAL,35,115
71,2019-01-14,INDUSTRIAL,19,108
72,2019-02-06,INDUSTRIAL,11,117
73,2019-01-28,INDUSTRIAL,728,120
75,2019-02-06,INDUSTRIAL,804,54
76,2019-01-20,INDUSTRIAL,546,99
77,2019-01-02,INDUSTRIAL,24,118
78,2019-01-27,INDUSTRIAL,413,77
79,2019-01-20,INDUSTRIAL,8,124
80,2019-01-09,INDUSTRIAL,3,93
82,2019-03-31,INDUSTRIAL,3,78
83,2019-01-30,INDUSTRIAL,276,112
84,2019-01-01,INDUSTRIAL,13,126
85,2019-01-03,INDUSTRIAL,497,56
86,2019-01-02,INDUSTRIAL,81,65
87,2020-12-19,INDUSTRIAL,7,182
88,2019-01-07,INDUSTRIAL,63,105
89,2019-03-05,INDUSTRIAL,122,134
90,2019-03-05,INDUSTRIAL,345,86
91,2019-01-28,INDUSTRIAL,346,66
92,2019-01-09,INDUSTRIAL,380,130
93,2019-02-27,INDUSTRIAL,842,74
94,2019-01-01,INDUSTRIAL,209,73
95,2019-02-08,INDUSTRIAL,404,141
97,2020-07-13,INDUSTRIAL,2,47
98,2019-02-07,INDUSTRIAL,166,91
99,2019-03-27,INDUSTRIAL,304,151
100,2021-01-25,INDUSTRIAL,70,166
101,2019-03-05,INDUSTRIAL,43,113
102,2019-02-06,INDUSTRIAL,142,123
103,2019-02-02,INDUSTRIAL,23,28
104,2019-01-02,INDUSTRIAL,319,61
105,2019-01-30,INDUSTRIAL,394,80
106,2019-01-14,INDUSTRIAL,281,57
107,2019-02-27,INDUSTRIAL,294,101
108,2019-02-12,INDUSTRIAL,229,96
109,2019-01-02,INDUSTRIAL,162,68
110,2019-01-29,INDUSTRIAL,983,152
111,2019-01-24,INDUSTRIAL,47,128
112,2019-02-27,INDUSTRIAL,63,109
113,2019-03-05,INDUSTRIAL,201,116
115,2019-01-03,INDUSTRIAL,476,11
117,2019-02-13,INDUSTRIAL,305,143
118,2019-03-03,INDUSTRIAL,1,30
119,2019-02-11,INDUSTRIAL,190,70
120,2019-01-19,INDUSTRIAL,86,137
121,2019-01-09,INDUSTRIAL,10,62
122,2019-01-02,INDUSTRIAL,130,111
123,2019-01-16,INDUSTRIAL,6,76
124,2019-02-08,INDUSTRIAL,468,106
125,2019-02-17,INDUSTRIAL,23,98
126,2019-01-02,INDUSTRIAL,27,122
127,2019-02-24,INDUSTRIAL,480,135
128,2019-01-29,INDUSTRIAL,6,108
129,2019-02-06,INDUSTRIAL,223,121
130,2019-01-07,INDUSTRIAL,438,120
132,2019-02-12,INDUSTRIAL,329,54
133,2019-01-27,INDUSTRIAL,628,99
134,2019-01-03,INDUSTRIAL,46,85
135,2019-01-13,INDUSTRIAL,504,77
136,2019-01-01,INDUSTRIAL,9,124
137,2019-01-30,INDUSTRIAL,3,93
138,2019-01-03,INDUSTRIAL,1404,142
139,2019-03-21,INDUSTRIAL,2,90
140,2019-01-31,INDUSTRIAL,179,112
141,2019-01-06,INDUSTRIAL,29,87
142,2019-01-02,INDUSTRIAL,420,56
143,2019-01-02,INDUSTRIAL,26,131
144,2020-12-12,INDUSTRIAL,8,182
145,2019-01-09,INDUSTRIAL,185,105
146,2019-03-17,INDUSTRIAL,169,134
147,2019-03-05,INDUSTRIAL,568,133
148,2019-01-07,INDUSTRIAL,315,66
149,2019-01-09,INDUSTRIAL,62,60
150,2019-02-12,INDUSTRIAL,847,74
151,2019-01-17,INDUSTRIAL,65,73
152,2019-02-23,INDUSTRIAL,3,141
154,2020-07-09,INDUSTRIAL,610,47
155,2019-02-27,INDUSTRIAL,1090,91
156,2019-03-04,INDUSTRIAL,244,151
157,2021-02-27,INDUSTRIAL,16,166
158,2019-03-04,INDUSTRIAL,63,113
159,2019-02-10,INDUSTRIAL,17,138
160,2019-02-15,INDUSTRIAL,319,28
161,2019-01-28,INDUSTRIAL,328,61
162,2019-01-12,INDUSTRIAL,372,80
163,2019-01-15,INDUSTRIAL,268,57
164,2019-02-02,INDUSTRIAL,8,101
165,2019-02-06,INDUSTRIAL,471,53
166,2019-01-05,INDUSTRIAL,125,68
167,2019-01-27,INDUSTRIAL,1,152
168,2019-01-28,INDUSTRIAL,47,128
169,2019-02-07,INDUSTRIAL,73,109
170,2019-03-05,INDUSTRIAL,203,129
172,2019-01-28,INDUSTRIAL,425,11
174,2019-02-11,INDUSTRIAL,398,143
175,2019-03-29,INDUSTRIAL,40,30
176,2019-02-10,INDUSTRIAL,6,70
177,2019-01-19,INDUSTRIAL,23,136
178,2019-01-28,INDUSTRIAL,38,62
179,2019-01-05,INDUSTRIAL,38,103
180,2019-01-27,INDUSTRIAL,11,76
181,2019-02-10,INDUSTRIAL,137,106
182,2019-02-18,INDUSTRIAL,225,98
183,2019-01-22,INDUSTRIAL,171,107
184,2019-02-24,INDUSTRIAL,122,115
185,2019-01-15,INDUSTRIAL,15,108
186,2019-02-01,INDUSTRIAL,398,121
187,2019-01-29,INDUSTRIAL,539,120
189,2019-02-24,INDUSTRIAL,86,104
190,2019-01-30,INDUSTRIAL,6,99
191,2019-01-30,INDUSTRIAL,56,118
192,2019-01-02,INDUSTRIAL,410,77
193,2019-01-02,INDUSTRIAL,39,124
194,2019-01-23,INDUSTRIAL,3,93
195,2019-05-03,INDUSTRIAL,282,142
196,2019-03-05,INDUSTRIAL,126,90
197,2019-01-03,INDUSTRIAL,97,112
198,2019-01-20,INDUSTRIAL,15,127
199,2019-01-08,INDUSTRIAL,539,56
200,2019-01-15,INDUSTRIAL,257,65
201,2020-12-17,INDUSTRIAL,49,182
202,2019-01-30,INDUSTRIAL,27,105
203,2019-03-03,INDUSTRIAL,101,134
204,2019-03-03,INDUSTRIAL,82,86
205,2019-01-17,INDUSTRIAL,408,66
206,2019-01-14,INDUSTRIAL,38,60
207,2019-02-07,INDUSTRIAL,633,74
208,2019-01-03,INDUSTRIAL,52,73
209,2019-02-21,INDUSTRIAL,458,141
211,2020-07-15,INDUSTRIAL,64,47
212,2019-02-18,INDUSTRIAL,175,91
213,2019-03-11,INDUSTRIAL,308,151
214,2021-02-28,INDUSTRIAL,1,166
215,2019-03-20,INDUSTRIAL,28,113
216,2019-02-20,INDUSTRIAL,328,123
217,2019-02-26,INDUSTRIAL,417,28
218,2019-01-30,INDUSTRIAL,271,61
219,2019-01-22,INDUSTRIAL,265,80
220,2019-01-09,INDUSTRIAL,487,57
221,2019-02-14,INDUSTRIAL,245,101
222,2019-02-06,INDUSTRIAL,212,96
223,2019-01-08,INDUSTRIAL,117,68
224,2019-01-12,INDUSTRIAL,4,152
225,2019-01-03,INDUSTRIAL,38,128
226,2019-02-12,INDUSTRIAL,68,109
227,2019-03-04,INDUSTRIAL,83,116
229,2019-01-05,INDUSTRIAL,138,11
230,2019-02-13,INDUSTRIAL,1188,100
231,2019-02-04,INDUSTRIAL,323,143
232,2019-03-04,INDUSTRIAL,144,30
233,2019-02-14,INDUSTRIAL,217,70
